Año,geo,Municipio,Porcentaje,Categoria
2005,15001,TUNJA,0.015024,Cabecera
2005,15022,ALMEIDA,0.023891,Cabecera
2005,15047,AQUITANIA,0.038495,Cabecera
2005,15051,ARCABUCO,0.009060,Cabecera
2005,15087,BELÉN,0.016094,Cabecera
2005,15090,BERBEO,0.032520,Cabecera
2005,15092,BETÉITIVA,0.078212,Cabecera
2005,15097,BOAVITA,0.035938,Cabecera
2005,15104,BOYACÁ,0.035461,Cabecera
2005,15106,BRICEÑO,0.040000,Cabecera
2005,15109,BUENAVISTA,0.016484,Cabecera
2005,15114,BUSBANZÁ,0.003436,Cabecera
2005,15131,CALDAS,0.025316,Cabecera
2005,15135,CAMPOHERMOSO,0.034091,Cabecera
2005,15162,CERINZA,0.010183,Cabecera
2005,15172,CHINAVITA,0.028771,Cabecera
2005,15176,CHIQUINQUIRÁ,0.021246,Cabecera
2005,15180,CHISCAS,0.086242,Cabecera
2005,15183,CHITA,0.095852,Cabecera
2005,15185,CHITARAQUE,0.036122,Cabecera
2005,15187,CHIVATÁ,0.017878,Cabecera
2005,15189,CIÉNEGA,0.038710,Cabecera
2005,15204,CÓMBITA,0.026570,Cabecera
2005,15212,COPER,0.030086,Cabecera
2005,15215,CORRALES,0.039662,Cabecera
2005,15218,COVARACHÍA,0.075556,Cabecera
2005,15223,CUBARÁ,0.031529,Cabecera
2005,15224,CUCAITA,0.100254,Cabecera
2005,15226,CUÍTIVA,0.167598,Cabecera
2005,15232,CHÍQUIZA,0.444444,Cabecera
2005,15236,CHIVOR,0.010526,Cabecera
2005,15238,DUITAMA,0.016471,Cabecera
2005,15244,EL COCUY,0.068027,Cabecera
2005,15248,EL ESPINO,0.082312,Cabecera
2005,15272,FIRAVITOBA,0.006846,Cabecera
2005,15276,FLORESTA,0.018441,Cabecera
2005,15293,GACHANTIVÁ,0.021220,Cabecera
2005,15296,GAMEZA,0.023055,Cabecera
2005,15299,GARAGOA,0.021092,Cabecera
2005,15317,GUACAMAYAS,0.003636,Cabecera
2005,15322,GUATEQUE,0.024383,Cabecera
2005,15325,GUAYATÁ,0.027800,Cabecera
2005,15332,GÜICÁN,0.034019,Cabecera
2005,15362,IZA,0.004515,Cabecera
2005,15367,JENESANO,0.052201,Cabecera
2005,15368,JERICÓ,0.058236,Cabecera
2005,15377,LABRANZAGRANDE,0.029412,Cabecera
2005,15380,LA CAPILLA,0.011111,Cabecera
2005,15401,LA VICTORIA,0.041958,Cabecera
2005,15403,LA UVITA,0.035965,Cabecera
2005,15407,VILLA DE LEYVA,0.013411,Cabecera
2005,15425,MACANAL,0.010977,Cabecera
2005,15442,MARIPÍ,0.111991,Cabecera
2005,15455,MIRAFLORES,0.024364,Cabecera
2005,15464,MONGUA,0.053582,Cabecera
2005,15466,MONGUÍ,0.039799,Cabecera
2005,15469,MONIQUIRÁ,0.031124,Cabecera
2005,15476,MOTAVITA,0.112769,Cabecera
2005,15480,MUZO,0.100224,Cabecera
2005,15491,NOBSA,0.015019,Cabecera
2005,15494,NUEVO COLÓN,0.044031,Cabecera
2005,15500,OICATÁ,0.103571,Cabecera
2005,15507,OTANCHE,0.085455,Cabecera
2005,15511,PACHAVITA,0.016129,Cabecera
2005,15514,PÁEZ,0.053715,Cabecera
2005,15516,PAIPA,0.015675,Cabecera
2005,15518,PAJARITO,0.047264,Cabecera
2005,15522,PANQUEBA,0.020870,Cabecera
2005,15531,PAUNA,0.096955,Cabecera
2005,15533,PAYA,0.106173,Cabecera
2005,15537,PAZ DE RÍO,0.015915,Cabecera
2005,15542,PESCA,0.038019,Cabecera
2005,15550,PISBA,0.268482,Cabecera
2005,15572,PUERTO BOYACÁ,0.103466,Cabecera
2005,15580,QUÍPAMA,0.048947,Cabecera
2005,15599,RAMIRIQUÍ,0.031771,Cabecera
2005,15600,RÁQUIRA,0.101002,Cabecera
2005,15621,RONDÓN,0.023148,Cabecera
2005,15632,SABOYÁ,0.021333,Cabecera
2005,15638,SÁCHICA,0.062044,Cabecera
2005,15646,SAMACÁ,0.026787,Cabecera
2005,15660,SAN EDUARDO,0.044510,Cabecera
2005,15664,SAN JOSÉ DE PARE,0.058639,Cabecera
2005,15667,SAN LUIS DE GACENO,0.029073,Cabecera
2005,15673,SAN MATEO,0.023443,Cabecera
2005,15676,SAN MIGUEL DE SEMA,0.060185,Cabecera
2005,15681,SAN PABLO DE BORBUR,0.067961,Cabecera
2005,15686,SANTANA,0.060495,Cabecera
2005,15690,SANTA MARÍA,0.017666,Cabecera
2005,15693,SANTA ROSA DE VITERBO,0.004618,Cabecera
2005,15696,SANTA SOFÍA,0.000000,Cabecera
2005,15720,SATIVANORTE,0.064799,Cabecera
2005,15723,SATIVASUR,0.048689,Cabecera
2005,15740,SIACHOQUE,0.098214,Cabecera
2005,15753,SOATÁ,0.050925,Cabecera
2005,15755,SOCOTÁ,0.036313,Cabecera
2005,15757,SOCHA,0.005952,Cabecera
2005,15759,SOGAMOSO,0.003906,Cabecera
2005,15761,SOMONDOCO,0.006868,Cabecera
2005,15762,SORA,0.065934,Cabecera
2005,15763,SOTAQUIRÁ,0.041252,Cabecera
2005,15764,SORACÁ,0.072022,Cabecera
2005,15774,SUSACÓN,0.042999,Cabecera
2005,15776,SUTAMARCHÁN,0.014540,Cabecera
2005,15778,SUTATENZA,0.031900,Cabecera
2005,15790,TASCO,0.027195,Cabecera
2005,15798,TENZA,0.006861,Cabecera
2005,15804,TIBANÁ,0.022044,Cabecera
2005,15806,TIBASOSA,0.011692,Cabecera
2005,15808,TINJACÁ,0.031863,Cabecera
2005,15810,TIPACOQUE,0.024678,Cabecera
2005,15814,TOCA,0.051351,Cabecera
2005,15816,TOGÜÍ,0.012931,Cabecera
2005,15820,TÓPAGA,0.061889,Cabecera
2005,15822,TOTA,0.062278,Cabecera
2005,15832,TUNUNGUÁ,0.000000,Cabecera
2005,15835,TURMEQUÉ,0.013136,Cabecera
2005,15837,TUTA,0.007929,Cabecera
2005,15839,TUTAZÁ,0.067358,Cabecera
2005,15842,UMBITA,0.087099,Cabecera
2005,15861,VENTAQUEMADA,0.033123,Cabecera
