geo,Periodo del Indicador,Casos
15047,2021,1
15051,2021,4
15087,2021,4
15104,2021,2
15162,2021,3
15176,2021,49
15183,2021,1
15185,2021,2
15204,2021,19
15212,2021,2
15223,2021,4
15224,2021,2
15238,2021,108
15272,2021,3
15299,2021,6
15322,2021,3
15442,2021,2
15455,2021,2
15464,2021,2
15469,2021,17
15476,2021,2
15491,2021,8
15507,2021,8
15516,2021,20
15518,2021,1
15531,2021,2
15537,2021,3
15542,2021,1
15572,2021,41
15599,2021,4
15600,2021,1
15621,2021,1
15632,2021,3
15638,2021,1
15646,2021,4
15664,2021,3
15667,2021,3
15693,2021,8
15696,2021,1
15686,2021,4
15740,2021,3
15757,2021,2
15759,2021,73
15764,2021,8
15763,2021,3
15790,2021,2
15798,2021,2
15806,2021,6
15814,2021,3
15816,2021,1
15001,2021,188
15835,2021,1
15861,2021,6
15407,2021,4
15897,2021,2
15051,2020,1
15087,2020,1
15162,2020,3
15176,2020,46
15232,2020,1
15185,2020,1
15189,2020,1
15204,2020,8
15215,2020,1
15223,2020,1
15224,2020,1
15238,2020,78
15272,2020,2
15299,2020,5
15332,2020,1
15362,2020,2
15377,2020,3
15425,2020,1
15442,2020,1
15455,2020,3
15466,2020,2
15469,2020,3
15476,2020,4
15480,2020,1
15491,2020,10
15494,2020,2
15507,2020,2
15516,2020,11
15542,2020,1
15572,2020,30
15599,2020,3
15632,2020,1
15638,2020,1
15646,2020,1
15664,2020,1
15681,2020,3
15693,2020,3
15686,2020,2
15755,2020,2
15759,2020,91
15764,2020,5
15763,2020,5
15798,2020,1
15806,2020,9
15814,2020,2
15820,2020,3
15822,2020,2
15001,2020,150
15842,2020,1
15407,2020,4
15879,2020,1
15047,2019,3
15051,2019,1
15087,2019,2
15104,2019,1
15106,2019,1
15109,2019,1
15131,2019,1
15135,2019,1
15162,2019,2
15176,2019,104
15180,2019,1
15185,2019,7
15187,2019,2
15204,2019,30
15215,2019,1
15223,2019,1
15224,2019,2
15226,2019,1
15238,2019,139
15244,2019,1
15272,2019,1
15276,2019,1
15296,2019,1
15299,2019,7
15322,2019,8
15332,2019,1
15367,2019,1
15377,2019,2
15442,2019,1
15455,2019,1
15464,2019,3
15466,2019,5
15469,2019,17
15476,2019,6
15491,2019,4
15516,2019,15
15518,2019,3
15531,2019,1
15533,2019,1
15537,2019,3
15542,2019,8
15572,2019,66
15599,2019,2
15600,2019,3
15632,2019,3
15638,2019,1
15646,2019,6
15660,2019,1
15664,2019,5
15676,2019,1
15681,2019,4
15690,2019,1
15693,2019,12
15686,2019,2
15720,2019,1
15740,2019,4
15753,2019,1
15757,2019,8
15759,2019,156
15762,2019,4
15764,2019,6
15763,2019,3
15776,2019,2
15806,2019,5
15814,2019,1
15816,2019,1
15820,2019,1
15822,2019,1
15001,2019,273
15837,2019,1
15842,2019,1
15861,2019,10
15407,2019,5
15001,2018,315
15047,2018,3
15051,2018,5
15087,2018,2
15106,2018,2
15131,2018,4
15162,2018,1
15176,2018,145
15183,2018,1
15185,2018,2
15187,2018,2
15204,2018,34
15215,2018,1
15223,2018,1
15224,2018,4
15238,2018,162
15244,2018,1
15276,2018,2
15299,2018,12
15322,2018,3
15367,2018,2
15368,2018,1
15403,2018,1
15407,2018,1
15455,2018,1
15464,2018,2
15466,2018,1
15469,2018,17
15476,2018,5
15491,2018,18
15500,2018,1
15507,2018,1
15516,2018,22
15518,2018,3
15531,2018,5
15533,2018,2
15537,2018,2
15542,2018,6
15550,2018,1
15572,2018,62
15580,2018,2
15599,2018,2
15600,2018,3
15632,2018,2
15646,2018,3
15667,2018,1
15681,2018,1
15686,2018,5
15693,2018,21
15696,2018,1
15740,2018,9
15755,2018,3
15757,2018,19
15759,2018,215
15764,2018,15
15774,2018,1
15776,2018,5
15778,2018,1
15804,2018,1
15806,2018,16
15808,2018,1
15814,2018,4
15816,2018,1
15820,2018,1
15822,2018,2
15837,2018,4
15842,2018,1
15861,2018,4
15001,2017,344
15047,2017,1
15051,2017,2
15087,2017,4
15104,2017,1
15162,2017,3
15172,2017,1
15176,2017,107
15180,2017,1
15183,2017,3
15185,2017,2
15187,2017,1
15204,2017,41
15223,2017,2
15224,2017,4
15232,2017,2
15238,2017,148
15272,2017,2
15296,2017,1
15299,2017,12
15322,2017,3
15325,2017,1
15367,2017,2
15403,2017,1
15407,2017,2
15425,2017,1
15455,2017,1
15464,2017,1
15469,2017,20
15476,2017,8
15480,2017,3
15491,2017,16
15494,2017,1
15516,2017,11
15518,2017,1
15531,2017,6
15533,2017,1
15537,2017,2
15542,2017,6
15550,2017,1
15572,2017,65
15580,2017,1
15600,2017,1
15621,2017,1
15632,2017,2
15638,2017,1
15646,2017,6
15664,2017,4
15667,2017,1
15676,2017,1
15681,2017,2
15686,2017,5
15693,2017,13
15696,2017,1
15740,2017,3
15753,2017,1
15755,2017,2
15757,2017,11
15759,2017,213
15762,2017,2
15763,2017,4
15764,2017,11
15806,2017,3
15814,2017,4
15816,2017,1
15820,2017,4
15837,2017,4
15839,2017,2
15842,2017,1
15861,2017,1
15897,2017,2
