geo,Municipio,Año,Nivel,Tasa
15001,Tunja,2015,Total,0.074300
15022,Almeida,2015,Total,0.027300
15047,Aquitania,2015,Total,0.033300
15051,Arcabuco,2015,Total,0.000000
15087,Belén,2015,Total,0.000600
15090,Berbeo,2015,Total,0.006600
15092,Betéitiva,2015,Total,0.006000
15097,Boavita,2015,Total,0.000900
15104,Boyacá,2015,Total,0.005500
15106,Briceño,2015,Total,0.000000
15109,Buenavista,2015,Total,0.049400
15114,Busbanzá,2015,Total,0.000000
15131,Caldas,2015,Total,0.008900
15135,Campohermoso,2015,Total,0.001900
15162,Cerinza,2015,Total,0.004600
15172,Chinavita,2015,Total,0.030700
15176,Chiquinquirá,2015,Total,0.006100
15180,Chiscas,2015,Total,0.000000
15183,Chita,2015,Total,0.014400
15185,Chitaraque,2015,Total,0.000000
15187,Chivatá,2015,Total,0.024000
15189,Ciénega,2015,Total,0.008300
15204,Cómbita,2015,Total,0.011700
15212,Coper,2015,Total,0.017800
15215,Corrales,2015,Total,0.000000
15218,Covarachía,2015,Total,0.011800
15223,Cubará,2015,Total,0.006600
15224,Cucaita,2015,Total,0.019300
15226,Cuítiva,2015,Total,0.000000
15232,Chíquiza,2015,Total,0.000000
15236,Chivor,2015,Total,0.064600
15238,Duitama,2015,Total,0.074800
15244,El Cocuy,2015,Total,0.024000
15248,El Espino,2015,Total,0.022200
15272,Firavitoba,2015,Total,0.012800
15276,Floresta,2015,Total,0.003300
15293,Gachantivá,2015,Total,0.000000
15296,Gameza,2015,Total,0.071400
15299,Garagoa,2015,Total,0.007200
15317,Guacamayas,2015,Total,0.006500
15322,Guateque,2015,Total,0.000500
15325,Guayatá,2015,Total,0.000000
15332,Güicán,2015,Total,0.000000
15362,Iza,2015,Total,0.026100
15367,Jenesano,2015,Total,0.003800
15368,Jericó,2015,Total,0.000000
15377,Labranzagrande,2015,Total,0.000000
15380,La Capilla,2015,Total,0.024000
15401,La Victoria,2015,Total,0.021300
15403,La Uvita,2015,Total,0.000000
15407,Villa de Leyva,2015,Total,0.006400
15425,Macanal,2015,Total,0.040400
15442,Maripí,2015,Total,0.011700
15455,Miraflores,2015,Total,0.004200
15464,Mongua,2015,Total,0.007700
15466,Monguí,2015,Total,0.007400
15469,Moniquirá,2015,Total,0.007100
15476,Motavita,2015,Total,0.000000
15480,Muzo,2015,Total,0.003100
15491,Nobsa,2015,Total,0.007400
15494,Nuevo Colón,2015,Total,0.008800
15500,Oicatá,2015,Total,0.004500
15507,Otanche,2015,Total,0.011400
15511,Pachavita,2015,Total,0.039300
15514,Páez,2015,Total,0.000000
15516,Paipa,2015,Total,0.007600
15518,Pajarito,2015,Total,0.035600
15522,Panqueba,2015,Total,0.007100
15531,Pauna,2015,Total,0.000000
15533,Paya,2015,Total,0.022000
15537,Paz de Río,2015,Total,0.000000
15542,Pesca,2015,Total,0.003700
15550,Pisba,2015,Total,0.002900
15572,Puerto Boyacá,2015,Total,0.016300
15580,Quípama,2015,Total,0.038100
15599,Ramiriquí,2015,Total,0.003400
15600,Ráquira,2015,Total,0.008100
15621,Rondón,2015,Total,0.024000
15632,Saboyá,2015,Total,0.009300
15638,Sáchica,2015,Total,0.000000
15646,Samacá,2015,Total,0.015800
15660,San Eduardo,2015,Total,0.025500
15664,San José de Pare,2015,Total,0.002500
15667,San Luis de Gaceno,2015,Total,0.012400
15673,San Mateo,2015,Total,0.008800
15676,San Miguel de Sema,2015,Total,0.014600
15681,San Pablo de Borbur,2015,Total,0.002000
15686,Santana,2015,Total,0.054900
15690,Santa María,2015,Total,0.039000
15693,Santa Rosa de Viterbo,2015,Total,0.000600
15696,Santa Sofía,2015,Total,0.023800
15720,Sativanorte,2015,Total,0.000000
15723,Sativasur,2015,Total,0.000000
15740,Siachoque,2015,Total,0.006700
15753,Soatá,2015,Total,0.000600
15755,Socotá,2015,Total,0.009200
15757,Socha,2015,Total,0.001900
15759,Sogamoso,2015,Total,0.039000
15761,Somondoco,2015,Total,0.000000
15762,Sora,2015,Total,0.013600
15763,Sotaquirá,2015,Total,0.005800
15764,Soracá,2015,Total,0.009800
15774,Susacón,2015,Total,0.000000
15776,Sutamarchán,2015,Total,0.002900
15778,Sutatenza,2015,Total,0.000000
15790,Tasco,2015,Total,0.004100
15798,Tenza,2015,Total,0.022200
15804,Tibaná,2015,Total,0.016800
15806,Tibasosa,2015,Total,0.007100
15808,Tinjacá,2015,Total,0.000000
15810,Tipacoque,2015,Total,0.007700
15814,Toca,2015,Total,0.028300
15816,Togüí,2015,Total,0.054000
15820,Tópaga,2015,Total,0.001300
15822,Tota,2015,Total,0.006100
15832,Tununguá,2015,Total,0.000000
15835,Turmequé,2015,Total,0.003100
15837,Tuta,2015,Total,0.007000
15839,Tutazá,2015,Total,0.000000
15842,Umbita,2015,Total,0.002000
15861,Ventaquemada,2015,Total,0.000700
15879,Viracachá,2015,Total,0.000000
15897,Zetaquira,2015,Total,0.007900
15001,Tunja,2015,Transición,0.026100
15022,Almeida,2015,Transición,0.000000
15047,Aquitania,2015,Transición,0.003500
15051,Arcabuco,2015,Transición,0.000000
15087,Belén,2015,Transición,0.000000
15090,Berbeo,2015,Transición,0.000000
15092,Betéitiva,2015,Transición,0.000000
15097,Boavita,2015,Transición,0.000000
15104,Boyacá,2015,Transición,0.000000
15106,Briceño,2015,Transición,0.000000
15109,Buenavista,2015,Transición,0.000000
15114,Busbanzá,2015,Transición,0.000000
15131,Caldas,2015,Transición,0.000000
15135,Campohermoso,2015,Transición,0.000000
15162,Cerinza,2015,Transición,0.000000
15172,Chinavita,2015,Transición,0.000000
15176,Chiquinquirá,2015,Transición,0.000000
15180,Chiscas,2015,Transición,0.000000
15183,Chita,2015,Transición,0.000000
15185,Chitaraque,2015,Transición,0.000000
15187,Chivatá,2015,Transición,0.000000
15189,Ciénega,2015,Transición,0.000000
15204,Cómbita,2015,Transición,0.000000
15212,Coper,2015,Transición,0.018200
15215,Corrales,2015,Transición,0.000000
15218,Covarachía,2015,Transición,0.000000
15223,Cubará,2015,Transición,0.026300
15224,Cucaita,2015,Transición,0.000000
15226,Cuítiva,2015,Transición,0.000000
15232,Chíquiza,2015,Transición,0.000000
15236,Chivor,2015,Transición,0.000000
15238,Duitama,2015,Transición,0.030200
15244,El Cocuy,2015,Transición,0.000000
15248,El Espino,2015,Transición,0.000000
15272,Firavitoba,2015,Transición,0.000000
15276,Floresta,2015,Transición,0.000000
15293,Gachantivá,2015,Transición,0.000000
15296,Gameza,2015,Transición,0.000000
15299,Garagoa,2015,Transición,0.000000
15317,Guacamayas,2015,Transición,0.000000
15322,Guateque,2015,Transición,0.000000
15325,Guayatá,2015,Transición,0.000000
