Indicador,geo,Area,Periodo,Valor
Cobertura bruta de educación (media),15022,Almeida,2015,0.983000
Cobertura bruta de educación (media),15047,Aquitania,2015,0.624000
Cobertura bruta de educación (media),15051,Arcabuco,2015,0.801000
Cobertura bruta de educación (media),15087,Belén,2015,1.122000
Cobertura bruta de educación (media),15090,Berbeo,2015,0.409000
Cobertura bruta de educación (media),15092,Betéitiva,2015,0.971000
Cobertura bruta de educación (media),15097,Boavita,2015,0.912000
Cobertura bruta de educación (media),15104,Boyacá,2015,0.615000
Cobertura bruta de educación (media),15106,Briceño,2015,0.800000
Cobertura bruta de educación (media),15109,Buenavista,2015,0.714000
Cobertura bruta de educación (media),15114,Busbanzá,2015,0.167000
Cobertura bruta de educación (media),15131,Caldas,2015,0.941000
Cobertura bruta de educación (media),15135,Campohermoso,2015,0.379000
Cobertura bruta de educación (media),15162,Cerinza,2015,0.855000
Cobertura bruta de educación (media),15172,Chinavita,2015,0.617000
Cobertura bruta de educación (media),15176,Chiquinquirá,2015,0.924000
Cobertura bruta de educación (media),15232,Chíquiza,2015,0.564000
Cobertura bruta de educación (media),15180,Chiscas,2015,0.519000
Cobertura bruta de educación (media),15183,Chita,2015,0.731000
Cobertura bruta de educación (media),15185,Chitaraque,2015,0.654000
Cobertura bruta de educación (media),15187,Chivatá,2015,0.223000
Cobertura bruta de educación (media),15236,Chivor,2015,1.225000
Cobertura bruta de educación (media),15189,Ciénega,2015,0.905000
Cobertura bruta de educación (media),15204,Cómbita,2015,0.626000
Cobertura bruta de educación (media),15212,Coper,2015,0.742000
Cobertura bruta de educación (media),15215,Corrales,2015,0.931000
Cobertura bruta de educación (media),15218,Covarachía,2015,0.674000
Cobertura bruta de educación (media),15223,Cubará,2015,0.492000
Cobertura bruta de educación (media),15224,Cucaita,2015,0.636000
Cobertura bruta de educación (media),15226,Cuítiva,2015,0.781000
Cobertura bruta de educación (media),15244,El Cocuy,2015,0.801000
Cobertura bruta de educación (media),15248,El Espino,2015,0.752000
Cobertura bruta de educación (media),15272,Firavitoba,2015,0.765000
Cobertura bruta de educación (media),15276,Floresta,2015,0.590000
Cobertura bruta de educación (media),15293,Gachantivá,2015,1.190000
Cobertura bruta de educación (media),15296,Gámeza,2015,0.625000
Cobertura bruta de educación (media),15299,Garagoa,2015,0.732000
Cobertura bruta de educación (media),15317,Guacamayas,2015,0.877000
Cobertura bruta de educación (media),15322,Guateque,2015,1.186000
Cobertura bruta de educación (media),15325,Guayatá,2015,0.750000
Cobertura bruta de educación (media),15325,Guicán,2015,0.357000
Cobertura bruta de educación (media),15362,Iza,2015,0.485000
