geo,Area,Periodo,Valor
15401,La Victoria,2012,0.310000
15022,Almeida,2014,0.312500
15022,Almeida,2014,0.313000
15660,San Eduardo,2013,0.357100
15660,San Eduardo,2013,0.357100
15332,Guicán,2014,0.375000
15332,Guicán,2014,0.375000
15720,Sativanorte,2015,0.417000
15839,Tutaza,2014,0.424000
15839,Tutaza,2014,0.424200
15676,San Miguel De Sema,2012,0.446400
15621,Rondón,2016,0.452000
15401,La Victoria,2014,0.454500
15401,La Victoria,2014,0.455000
15092,Betéitiva,2013,0.461500
15092,Betéitiva,2013,0.461500
15131,Caldas,2014,0.471700
15131,Caldas,2014,0.472000
15676,San Miguel De Sema,2013,0.473700
15676,San Miguel De Sema,2013,0.473700
15106,Briceño,2014,0.481000
15106,Briceño,2014,0.481500
15676,San Miguel De Sema,2012,0.500000
15425,Macanal,2013,0.500000
15425,Macanal,2013,0.500000
15522,Panqueba,2017,0.500000
15476,Motavita,2013,0.513300
15476,Motavita,2013,0.513300
15362,Iza,2014,0.514000
15362,Iza,2014,0.514300
15232,Chíquiza,2013,0.523800
15215,Corrales,2014,0.523800
15215,Corrales,2014,0.524000
15676,San Miguel De Sema,2017,0.528000
15401,La Victoria,2013,0.534900
15403,La Uvita,2013,0.534900
15022,Almeida,2012,0.545000
15114,Busbanzá,2016,0.545000
15022,Almeida,2013,0.545500
15022,Almeida,2012,0.545500
15022,Almeida,2013,0.545500
15774,Susacón,2015,0.556000
15550,Pisba,2015,0.565000
15380,La Capilla,2015,0.567000
15879,Viracachá,2016,0.567000
15090,Berbeo,2017,0.571000
15480,Muzo,2013,0.572500
15693,Santa Rosa De Viterbo,2014,0.576000
15696,Santa Sofía,2014,0.576100
15232,Chíquiza,2013,0.578900
15778,Sutatenza,2015,0.583000
15317,Guacamayas,2016,0.583000
15723,Sativasur,2016,0.583000
15180,Chiscas,2013,0.583300
15820,Tópaga,2013,0.583300
15180,Chiscas,2013,0.583300
15820,Tópaga,2013,0.583300
15204,Cómbita,2014,0.586000
15204,Cómbita,2014,0.586400
15377,Labranzagrande,2015,0.589000
15236,Chivor,2014,0.592600
15236,Chivor,2014,0.593000
15621,Rondón,2013,0.593800
15621,Rondón,2013,0.593800
15480,Muzo,2013,0.605400
15224,Cucaita,2014,0.607600
15224,Cucaita,2014,0.608000
15218,Covarachía,2015,0.611000
15808,Tinjacá,2015,0.611000
15296,Gámeza,2016,0.611000
15296,Ciénega,2013,0.617300
15296,Ciénega,2013,0.617300
15296,Sutatenza,2012,0.617600
15296,Sutatenza,2012,0.618000
15296,San Miguel De Sema,2016,0.619000
15296,Jericó,2014,0.619700
15296,Jericó,2014,0.620000
15296,La Victoria,2012,0.620700
15296,Coper,2015,0.622000
15296,San Mateo,2015,0.622000
15296,Tasco,2015,0.622000
15296,Gachantivá,2013,0.625000
15296,Gachantivá,2013,0.625000
15296,Corrales,2016,0.625000
15296,Chivatá,2016,0.628000
15296,Mongua,2014,0.631000
15296,Mongua,2014,0.631000
15296,Boavita,2013,0.631600
15296,Boavita,2013,0.631600
15296,Corrales,2015,0.634000
15296,Paya,2013,0.634100
15296,Paya,2013,0.634100
15296,Somondoco,2014,0.636000
15296,Berbeo,2013,0.636400
15296,Berbeo,2013,0.636400
15296,Somondoco,2014,0.636400
15296,Oicatá,2014,0.640000
15296,Oicatá,2014,0.640000
15296,Tibasosa,2013,0.644700
15296,Cerinza,2014,0.645800
15296,Cerinza,2014,0.646000
15296,San José De Pare,2016,0.647000
15296,Betéitiva,2017,0.647000
15296,Gachantivá,2014,0.650000
15296,Gachantivá,2014,0.650000
15296,Maripí,2014,0.653000
15296,Maripí,2014,0.653100
15296,Briceño,2012,0.655000
15296,Briceño,2012,0.655200
15296,Mongua,2012,0.656900
15296,Mongua,2012,0.657000
