geo,Municipio,Periodo,Valor
15022,Almeida,2015,125
15047,Aquitania,2015,1967
15051,Arcabuco,2015,499
15087,Belén,2015,781
15090,Berbeo,2015,146
15092,Betéitiva,2015,135
15097,Boavita,2015,513
15104,Boyacá,2015,512
15106,Briceño,2015,229
15109,Buenavista,2015,445
15114,Busbanzá,2015,61
15131,Caldas,2015,320
15135,Campohermoso,2015,269
15162,Cerinza,2015,298
15172,Chinavita,2015,251
15176,Chiquinquirá,2015,7502
15232,Chíquiza,2015,572
15180,Chiscas,2015,374
15183,Chita,2015,1128
15185,Chitaraque,2015,673
15187,Chivatá,2015,281
15236,Chivor,2015,154
15189,Ciénega,2015,410
15204,Cómbita,2015,866
15212,Coper,2015,312
15215,Corrales,2015,215
15218,Covarachía,2015,265
15223,Cubará,2015,1405
15224,Cucaita,2015,468
15226,Cuítiva,2015,163
15238,Duitama,2015,13515
15244,El Cocuy,2015,608
15248,El Espino,2015,237
15272,Firavitoba,2015,466
15276,Floresta,2015,267
15293,Gachantivá,2015,316
15296,Gámeza,2015,578
15299,Garagoa,2015,1754
15317,Guacamayas,2015,121
15322,Guateque,2015,1047
15325,Guayatá,2015,268
15332,Guicán,2015,586
15362,Iza,2015,176
15367,Jenesano,2015,624
15368,Jericó,2015,412
15380,La Capilla,2015,201
15403,La Uvita,2015,219
15401,La Victoria,2015,115
15377,Labranzagrande,2015,316
15425,Macanal,2015,313
15442,Maripí,2015,583
15455,Miraflores,2015,814
15464,Mongua,2015,453
15466,Monguí,2015,419
15469,Moniquirá,2015,2514
15476,Motavita,2015,637
15480,Muzo,2015,1052
15491,Nobsa,2015,911
15494,Nuevo Colón,2015,579
15500,Oicatá,2015,213
15507,Otanche,2015,992
15511,Pachavita,2015,173
15514,Páez,2015,284
15516,Paipa,2015,3681
15518,Pajarito,2015,209
15522,Panqueba,2015,146
15531,Pauna,2015,740
15533,Paya,2015,275
15537,Paz De Río,2015,328
15542,Pesca,2015,808
15550,Pisba,2015,196
15572,Puerto Boyacá,2015,6927
15580,Quípama,2015,462
15599,Ramiriquí,2015,1275
15600,Ráquira,2015,638
15621,Rondón,2015,252
15632,Saboyá,2015,1233
15638,Sáchica,2015,470
15646,Samacá,2015,2749
15660,San Eduardo,2015,139
15664,San José De Pare,2015,422
15667,San Luis De Gaceno,2015,545
15673,San Mateo,2015,267
15676,San Miguel De Sema,2015,284
15681,San Pablo De Borbur,2015,700
15690,Santa María,2015,326
15693,Santa Rosa De Viterbo,2015,681
15696,Santa Sofía,2015,238
15686,Santana,2015,909
15720,Sativanorte,2015,161
15723,Sativasur,2015,108
15740,Siachoque,2015,914
15753,Soatá,2015,1005
15757,Socha,2015,951
15755,Socotá,2015,818
15759,Sogamoso,2015,14690
15761,Somondoco,2015,153
15762,Sora,2015,274
15764,Soracá,2015,709
15763,Sotaquirá,2015,702
15774,Susacón,2015,198
15776,Sutamarchán,2015,573
15778,Sutatenza,2015,276
15790,Tasco,2015,641
15798,Tenza,2015,273
15804,Tibaná,2015,793
15806,Tibasosa,2015,833
15808,Tinjacá,2015,220
15810,Tipacoque,2015,311
15814,Toca,2015,1100
15816,Togüí,2015,519
15820,Tópaga,2015,316
15822,Tota,2015,671
15001,Tunja,2015,20327
15832,Tununguá,2015,145
15835,Turmequé,2015,699
15837,Tuta,2015,684
15839,Tutaza,2015,215
15842,Úmbita,2015,726
15861,Ventaquemada,2015,1576
15407,Villa De Leyva,2015,1522
15879,Viracachá,2015,265
15897,Zetaquira,2015,431
15022,Almeida,2016,115
15047,Aquitania,2016,1854
15051,Arcabuco,2016,470
15087,Belén,2016,763
15090,Berbeo,2016,148
15092,Betéitiva,2016,128
15097,Boavita,2016,573
15104,Boyacá,2016,520
15106,Briceño,2016,212
15109,Buenavista,2016,407
15114,Busbanzá,2016,50
15131,Caldas,2016,292
15135,Campohermoso,2016,232
15162,Cerinza,2016,302
15172,Chinavita,2016,231
15176,Chiquinquirá,2016,7189
15232,Chíquiza,2016,547
15180,Chiscas,2016,346
15183,Chita,2016,1089
15185,Chitaraque,2016,617
15187,Chivatá,2016,271
15236,Chivor,2016,171
15189,Ciénega,2016,418
15204,Cómbita,2016,886
15212,Coper,2016,282
15215,Corrales,2016,203
15218,Covarachía,2016,258
15223,Cubará,2016,1420
15224,Cucaita,2016,486
15226,Cuítiva,2016,151
15238,Duitama,2016,13146
15244,El Cocuy,2016,542
15248,El Espino,2016,231
15272,Firavitoba,2016,445
15276,Floresta,2016,276
15293,Gachantivá,2016,284
15296,Gámeza,2016,544
15299,Garagoa,2016,1590
