Municipio,Año,Rango de edades,Tasa
Boavita,2021,(06 a 11),225.733634
Cuítiva,2021,(12 a 17),8.514986
El Cocuy,2020,(01 a 05),280.112045
Tunja,2020,(06 a 11),12.943308
Tutaza,2020,(12 a 17),540.540541
Chivatá,2019,(12 a 17),298.507463
Cuítiva,2019,(12 a 17),8.352823
Puerto Boyacá,2019,(12 a 17),20.695364
Tunja,2019,(12 a 17),5.745145
Moniquirá,2018,Menos de 1 año,287.356322
Puerto Boyacá,2018,(01 a 05),20.644096
Socotá,2018,(01 a 05),12.653423
Guicán,2017,(12 a 17),108.108108
Nobsa,2017,(12 a 17),52.521008
Pauna,2017,(01 a 05),95.602294
Puerto Boyacá,2017,(12 a 17),15.460730
