geo,Municipio,tipo de victima,Valor
15022,ALMEIDA,Victimas directas,1
15047,AQUITANIA,Victimas directas,14
15051,ARCABUCO,Victimas directas,1
15087,BELÉN,Victimas directas,0
15090,BERBEO,Victimas directas,1
15092,BETÉITIVA,Victimas directas,0
15097,BOAVITA,Victimas directas,0
15104,BOYACÁ,Victimas directas,4
15106,BRICEÑO,Victimas directas,1
15109,BUENAVISTA,Victimas directas,0
15114,BUSBANZÁ,Victimas directas,0
15131,CALDAS,Victimas directas,0
15135,CAMPOHERMOSO,Victimas directas,3
15162,CERINZA,Victimas directas,0
15172,CHINAVITA,Victimas directas,0
15176,CHIQUINQUIRÁ,Victimas directas,2
15232,CHÍQUIZA,Victimas directas,0
15180,CHISCAS,Victimas directas,7
15183,CHITA,Victimas directas,6
15185,CHITARAQUE,Victimas directas,1
15187,CHIVATÁ,Victimas directas,0
15236,CHIVOR,Victimas directas,5
15189,CIÉNEGA,Victimas directas,0
15204,CÓMBITA,Victimas directas,0
15212,COPER,Victimas directas,0
15215,CORRALES,Victimas directas,0
15218,COVARACHÍA,Victimas directas,1
15223,CUBARÁ,Victimas directas,6
15224,CUCAITA,Victimas directas,0
15226,CUÍTIVA,Victimas directas,0
15238,DUITAMA,Victimas directas,11
15244,EL COCUY,Victimas directas,0
15248,EL ESPINO,Victimas directas,6
15272,FIRAVITOBA,Victimas directas,1
15276,FLORESTA,Victimas directas,1
15293,GACHANTIVÁ,Victimas directas,0
15296,GÁMEZA,Victimas directas,0
15299,GARAGOA,Victimas directas,2
15317,GUACAMAYAS,Victimas directas,0
15322,GUATEQUE,Victimas directas,6
15325,GUAYATÁ,Victimas directas,0
15332,GÜICÁN DE LA SIERRA,Victimas directas,1
15362,IZA,Victimas directas,0
15367,JENESANO,Victimas directas,0
15368,JERICÓ,Victimas directas,0
15380,LA CAPILLA,Victimas directas,0
15403,LA UVITA,Victimas directas,1
15401,LA VICTORIA,Victimas directas,0
15377,LABRANZAGRANDE,Victimas directas,9
15425,MACANAL,Victimas directas,5
15442,MARIPÍ,Victimas directas,1
15455,MIRAFLORES,Victimas directas,29
15464,MONGUA,Victimas directas,0
15466,MONGUÍ,Victimas directas,0
15469,MONIQUIRÁ,Victimas directas,4
15476,MOTAVITA,Victimas directas,2
15480,MUZO,Victimas directas,11
15491,NOBSA,Victimas directas,3
15494,NUEVO COLÓN,Victimas directas,0
15500,OICATÁ,Victimas directas,0
15507,OTANCHE,Victimas directas,7
15511,PACHAVITA,Victimas directas,0
15514,PÁEZ,Victimas directas,24
15516,PAIPA,Victimas directas,0
15518,PAJARITO,Victimas directas,7
15522,PANQUEBA,Victimas directas,0
15531,PAUNA,Victimas directas,5
15533,PAYA,Victimas directas,3
15537,PAZ DE RÍO,Victimas directas,1
15542,PESCA,Victimas directas,1
15550,PISBA,Victimas directas,2
15572,PUERTO BOYACÁ,Victimas directas,77
15580,QUÍPAMA,Victimas directas,2
15599,RAMIRIQUÍ,Victimas directas,1
15600,RÁQUIRA,Victimas directas,0
15621,RONDÓN,Victimas directas,0
15632,SABOYÁ,Victimas directas,1
15638,SÁCHICA,Victimas directas,1
15646,SAMACÁ,Victimas directas,0
15660,SAN EDUARDO,Victimas directas,11
15664,SAN JOSÉ DE PARE,Victimas directas,1
15667,SAN LUIS DE GACENO,Victimas directas,14
15673,SAN MATEO,Victimas directas,1
15676,SAN MIGUEL DE SEMA,Victimas directas,1
15681,SAN PABLO DE BORBUR,Victimas directas,2
15690,SANTA MARÍA,Victimas directas,3
15693,SANTA ROSA DE VITERBO,Victimas directas,2
15696,SANTA SOFÍA,Victimas directas,1
15686,SANTANA,Victimas directas,3
15720,SATIVANORTE,Victimas directas,0
15723,SATIVASUR,Victimas directas,0
15740,SIACHOQUE,Victimas directas,0
15753,SOATÁ,Victimas directas,0
15757,SOCHA,Victimas directas,1
15755,SOCOTÁ,Victimas directas,5
15759,SOGAMOSO,Victimas directas,12
15761,SOMONDOCO,Victimas directas,1
15762,SORA,Victimas directas,0
15764,SORACÁ,Victimas directas,0
15763,SOTAQUIRÁ,Victimas directas,2
15774,SUSACÓN,Victimas directas,0
15776,SUTAMARCHÁN,Victimas directas,0
15778,SUTATENZA,Victimas directas,0
15790,TASCO,Victimas directas,2
15798,TENZA,Victimas directas,0
15804,TIBANÁ,Victimas directas,0
15806,TIBASOSA,Victimas directas,1
15808,TINJACÁ,Victimas directas,0
15810,TIPACOQUE,Victimas directas,0
15814,TOCA,Victimas directas,2
15816,TOGÜÍ,Victimas directas,0
15820,TÓPAGA,Victimas directas,0
15822,TOTA,Victimas directas,1
15001,TUNJA,Victimas directas,7
15832,TUNUNGUÁ,Victimas directas,1
15835,TURMEQUÉ,Victimas directas,0
15837,TUTA,Victimas directas,0
15839,TUTAZÁ,Victimas directas,0
15842,ÚMBITA,Victimas directas,1
15861,VENTAQUEMADA,Victimas directas,0
15407,VILLA DE LEYVA,Victimas directas,2
15879,VIRACACHÁ,Victimas directas,0
15897,ZETAQUIRA,Victimas directas,4
15022,ALMEIDA,Victimas indirectas,0
15047,AQUITANIA,Victimas indirectas,0
15051,ARCABUCO,Victimas indirectas,0
15087,BELÉN,Victimas indirectas,0
15090,BERBEO,Victimas indirectas,0
15092,BETÉITIVA,Victimas indirectas,0
15097,BOAVITA,Victimas indirectas,0
15104,BOYACÁ,Victimas indirectas,0
15106,BRICEÑO,Victimas indirectas,0
15109,BUENAVISTA,Victimas indirectas,0
15114,BUSBANZÁ,Victimas indirectas,0
15131,CALDAS,Victimas indirectas,0
15135,CAMPOHERMOSO,Victimas indirectas,0
15162,CERINZA,Victimas indirectas,0
15172,CHINAVITA,Victimas indirectas,0
15176,CHIQUINQUIRÁ,Victimas indirectas,0
15232,CHÍQUIZA,Victimas indirectas,0
15180,CHISCAS,Victimas indirectas,10
15183,CHITA,Victimas indirectas,0
15185,CHITARAQUE,Victimas indirectas,0
15187,CHIVATÁ,Victimas indirectas,0
15236,CHIVOR,Victimas indirectas,3
15189,CIÉNEGA,Victimas indirectas,0
15204,CÓMBITA,Victimas indirectas,0
15212,COPER,Victimas indirectas,0
15215,CORRALES,Victimas indirectas,0
15218,COVARACHÍA,Victimas indirectas,0
15223,CUBARÁ,Victimas indirectas,1
15224,CUCAITA,Victimas indirectas,0
15226,CUÍTIVA,Victimas indirectas,0
15238,DUITAMA,Victimas indirectas,6
15244,EL COCUY,Victimas indirectas,0
15248,EL ESPINO,Victimas indirectas,4
15272,FIRAVITOBA,Victimas indirectas,1
15276,FLORESTA,Victimas indirectas,0
15293,GACHANTIVÁ,Victimas indirectas,0
15296,GÁMEZA,Victimas indirectas,0
15299,GARAGOA,Victimas indirectas,0
15317,GUACAMAYAS,Victimas indirectas,0
15322,GUATEQUE,Victimas indirectas,0
15325,GUAYATÁ,Victimas indirectas,0
15332,GÜICÁN DE LA SIERRA,Victimas indirectas,1
15362,IZA,Victimas indirectas,0
15367,JENESANO,Victimas indirectas,0
15368,JERICÓ,Victimas indirectas,0
15380,LA CAPILLA,Victimas indirectas,0
15403,LA UVITA,Victimas indirectas,0
15401,LA VICTORIA,Victimas indirectas,0
15377,LABRANZAGRANDE,Victimas indirectas,5
15425,MACANAL,Victimas indirectas,0
15442,MARIPÍ,Victimas indirectas,0
15455,MIRAFLORES,Victimas indirectas,0
15464,MONGUA,Victimas indirectas,0
15466,MONGUÍ,Victimas indirectas,0
15469,MONIQUIRÁ,Victimas indirectas,5
15476,MOTAVITA,Victimas indirectas,0
15480,MUZO,Victimas indirectas,0
15491,NOBSA,Victimas indirectas,0
15494,NUEVO COLÓN,Victimas indirectas,0
15500,OICATÁ,Victimas indirectas,0
15507,OTANCHE,Victimas indirectas,0
