geo,Periodo del Indicador,Grupo,Casos
15176,2021,Total,2
15238,2021,Total,1
15466,2021,Total,1
15572,2021,Total,5
15664,2021,Total,1
15755,2021,Total,1
15001,2021,Total,5
15879,2021,Total,1
15176,2020,Total,1
15238,2020,Total,4
15572,2020,Total,1
15759,2020,Total,4
15764,2020,Total,1
15804,2020,Total,1
15001,2020,Total,11
15879,2020,Total,1
15176,2019,Total,1
15238,2019,Total,2
15299,2019,Total,1
15442,2019,Total,1
15516,2019,Total,1
15572,2019,Total,2
15664,2019,Total,1
15759,2019,Total,4
15764,2019,Total,1
15001,2019,Total,4
15001,2018,Total,6
15176,2018,Total,3
15238,2018,Total,5
15299,2018,Total,1
15469,2018,Total,1
15491,2018,Total,2
15572,2018,Total,2
15667,2018,Total,1
15759,2018,Total,3
15764,2018,Total,2
15001,2017,Total,15
15176,2017,Total,3
15238,2017,Total,5
15325,2017,Total,1
15516,2017,Total,1
15572,2017,Total,1
15759,2017,Total,4
15764,2017,Total,1
15176,2021,hombre,0
15238,2021,hombre,0
15466,2021,hombre,0
15572,2021,hombre,0
15664,2021,hombre,0
15755,2021,hombre,0
15001,2021,hombre,0
15879,2021,hombre,0
15176,2020,hombre,0
15238,2020,hombre,1
15572,2020,hombre,0
15759,2020,hombre,0
15764,2020,hombre,0
15804,2020,hombre,0
15001,2020,hombre,0
15879,2020,hombre,0
15176,2019,hombre,0
15238,2019,hombre,0
15299,2019,hombre,0
15442,2019,hombre,0
15516,2019,hombre,0
15572,2019,hombre,0
15664,2019,hombre,0
15759,2019,hombre,0
15764,2019,hombre,0
15001,2019,hombre,0
15001,2018,hombre,0
15176,2018,hombre,1
15238,2018,hombre,0
15299,2018,hombre,0
15469,2018,hombre,0
15491,2018,hombre,0
15572,2018,hombre,0
15667,2018,hombre,0
15759,2018,hombre,0
15764,2018,hombre,0
15001,2017,hombre,0
15176,2017,hombre,0
15238,2017,hombre,0
15325,2017,hombre,0
15516,2017,hombre,0
15572,2017,hombre,0
15759,2017,hombre,0
15764,2017,hombre,0
15176,2021,Mujer,2
15238,2021,Mujer,1
15466,2021,Mujer,1
15572,2021,Mujer,5
15664,2021,Mujer,1
15755,2021,Mujer,1
15001,2021,Mujer,5
15879,2021,Mujer,1
15176,2020,Mujer,1
15238,2020,Mujer,3
15572,2020,Mujer,1
15759,2020,Mujer,4
15764,2020,Mujer,1
15804,2020,Mujer,1
15001,2020,Mujer,11
15879,2020,Mujer,1
15176,2019,Mujer,1
15238,2019,Mujer,2
15299,2019,Mujer,1
15442,2019,Mujer,1
15516,2019,Mujer,1
15572,2019,Mujer,2
15664,2019,Mujer,1
15759,2019,Mujer,4
15764,2019,Mujer,1
15001,2019,Mujer,4
15001,2018,Mujer,6
15176,2018,Mujer,2
15238,2018,Mujer,5
15299,2018,Mujer,1
15469,2018,Mujer,1
15491,2018,Mujer,2
15572,2018,Mujer,2
15667,2018,Mujer,1
15759,2018,Mujer,3
15764,2018,Mujer,2
15001,2017,Mujer,15
15176,2017,Mujer,3
15238,2017,Mujer,5
15325,2017,Mujer,1
15516,2017,Mujer,1
15572,2017,Mujer,1
15759,2017,Mujer,4
15764,2017,Mujer,1
