Año,geo,Grupo,Numerador (casos)
2021,15047,Total,1
2021,15087,Total,3
2021,15176,Total,24
2021,15204,Total,2
2021,15223,Total,1
2021,15224,Total,1
2021,15226,Total,1
2021,15238,Total,54
2021,15272,Total,4
2021,15299,Total,5
2021,15322,Total,1
2021,15455,Total,1
2021,15469,Total,4
2021,15491,Total,3
2021,15500,Total,1
2021,15507,Total,1
2021,15516,Total,14
2021,15531,Total,2
2021,15542,Total,1
2021,15572,Total,13
2021,15632,Total,2
2021,15646,Total,2
2021,15693,Total,2
2021,15696,Total,1
2021,15720,Total,1
2021,15759,Total,70
2021,15764,Total,2
2021,15790,Total,1
2021,15804,Total,1
2021,15814,Total,3
2021,15001,Total,114
2021,15832,Total,1
2021,15839,Total,1
2021,15861,Total,2
2021,15407,Total,1
2021,15897,Total,1
2021,15047,Hombres,0
2021,15087,Hombres,0
2021,15176,Hombres,2
2021,15204,Hombres,0
2021,15223,Hombres,0
2021,15224,Hombres,0
2021,15226,Hombres,0
2021,15238,Hombres,3
2021,15272,Hombres,1
2021,15299,Hombres,0
2021,15322,Hombres,0
2021,15455,Hombres,0
2021,15469,Hombres,0
2021,15491,Hombres,0
2021,15500,Hombres,0
2021,15507,Hombres,0
2021,15516,Hombres,1
2021,15531,Hombres,0
2021,15542,Hombres,0
2021,15572,Hombres,3
2021,15632,Hombres,0
2021,15646,Hombres,0
2021,15693,Hombres,0
2021,15696,Hombres,0
2021,15720,Hombres,0
2021,15759,Hombres,8
2021,15764,Hombres,0
2021,15790,Hombres,0
2021,15804,Hombres,0
2021,15814,Hombres,0
2021,15001,Hombres,15
2021,15832,Hombres,0
2021,15839,Hombres,0
2021,15861,Hombres,0
2021,15407,Hombres,0
2021,15897,Hombres,0
2021,15047,Mujeres,1
2021,15087,Mujeres,3
2021,15176,Mujeres,22
2021,15204,Mujeres,2
2021,15223,Mujeres,1
2021,15224,Mujeres,1
2021,15226,Mujeres,1
2021,15238,Mujeres,51
2021,15272,Mujeres,3
2021,15299,Mujeres,5
2021,15322,Mujeres,1
2021,15455,Mujeres,1
2021,15469,Mujeres,4
2021,15491,Mujeres,3
2021,15500,Mujeres,1
2021,15507,Mujeres,1
2021,15516,Mujeres,13
2021,15531,Mujeres,2
2021,15542,Mujeres,1
2021,15572,Mujeres,10
2021,15632,Mujeres,2
2021,15646,Mujeres,2
2021,15693,Mujeres,2
2021,15696,Mujeres,1
2021,15720,Mujeres,1
2021,15759,Mujeres,62
2021,15764,Mujeres,2
2021,15790,Mujeres,1
2021,15804,Mujeres,1
2021,15814,Mujeres,3
2021,15001,Mujeres,99
2021,15832,Mujeres,1
2021,15839,Mujeres,1
2021,15861,Mujeres,2
2021,15407,Mujeres,1
2021,15897,Mujeres,1
