número de casos,mortalidad materna
2020 Enero,0
2020 Febrero,1
2020 marzo,0
2020 Abril,2
2020 Mayo,1
2020 Junio,0
2020 Julio,0
2020 Agosto,1
2020 Septiembre,1
2020 Octubre,0
2020 Noviembre,0
2020 Diciembre,1
2021 Enero,0
2021 Febrero,1
2021 marzo,1
2021 Abril,2
2021 Mayo,0
2021 Junio,2
2021 Julio,2
2021 Agosto,2
2021 Septiembre,0
2021 Octubre,0
2021 Noviembre,0
2021 Diciembre,0
2022 Enero,1
2022 Febrero,2
2022 marzo,1
2022 Abril,1
2022 Mayo,0
2022 Junio,0
2022 Julio,2
2022 Agosto,0
2022 Septiembre,3
2022 Octubre,0
2022 Noviembre,1
2022 Diciembre,0
2023 Enero,0
2023 Febrero,0
2023 marzo,1
2023 Abril,3
2023 Mayo,0
2023 Junio,2
2023 Julio,0
2023 Agosto,2
2023 Septiembre,0
2023 Octubre,2
2023 Noviembre,2
2023 Diciembre,2
