geo,Año,Género,Número
15001,2019,Hombre,16.000000
15001,2019,Mujer,0.000000
15001,2020,Hombre,12.000000
15001,2020,Mujer,2.000000
15001,2021,Hombre,9.000000
15001,2021,Mujer,3.000000
15022,2019,Hombre,1.000000
15022,2019,Mujer,0.000000
15047,2021,Hombre,1.000000
15047,2021,Mujer,0.000000
15051,2019,Hombre,2.000000
15051,2019,Mujer,0.000000
15087,2019,Hombre,1.000000
15087,2019,Mujer,0.000000
15097,2020,Hombre,1.000000
15097,2020,Mujer,0.000000
15097,2021,Hombre,1.000000
15097,2021,Mujer,0.000000
15104,2020,Hombre,1.000000
15104,2020,Mujer,0.000000
15104,2021,Hombre,0.000000
15104,2021,Mujer,1.000000
15106,2020,Hombre,1.000000
15106,2020,Mujer,0.000000
15109,2021,Hombre,1.000000
15109,2021,Mujer,0.000000
15114,2021,Hombre,1.000000
15114,2021,Mujer,0.000000
15131,2020,Hombre,1.000000
15131,2020,Mujer,0.000000
15162,2019,Hombre,0.000000
15162,2019,Mujer,1.000000
15172,2019,Hombre,1.000000
15172,2019,Mujer,0.000000
15176,2019,Hombre,3.000000
15176,2019,Mujer,0.000000
15176,2020,Hombre,5.000000
15176,2020,Mujer,1.000000
15176,2021,Hombre,1.000000
15176,2021,Mujer,0.000000
15183,2019,Hombre,1.000000
15183,2019,Mujer,0.000000
15183,2020,Hombre,1.000000
15183,2020,Mujer,0.000000
15185,2019,Hombre,1.000000
15185,2019,Mujer,0.000000
15185,2021,Hombre,1.000000
15185,2021,Mujer,0.000000
15223,2020,Hombre,1.000000
15223,2020,Mujer,0.000000
15223,2021,Hombre,2.000000
15223,2021,Mujer,0.000000
15226,2020,Hombre,1.000000
15226,2020,Mujer,0.000000
15226,2021,Hombre,1.000000
15226,2021,Mujer,0.000000
15238,2019,Hombre,8.000000
15238,2019,Mujer,2.000000
15238,2020,Hombre,9.000000
15238,2020,Mujer,1.000000
15238,2021,Hombre,9.000000
15238,2021,Mujer,2.000000
15244,2019,Hombre,1.000000
15244,2019,Mujer,0.000000
15293,2019,Hombre,1.000000
15293,2019,Mujer,0.000000
15296,2019,Hombre,1.000000
15296,2019,Mujer,0.000000
15296,2021,Hombre,1.000000
15296,2021,Mujer,0.000000
15299,2021,Hombre,2.000000
15299,2021,Mujer,0.000000
15322,2020,Hombre,1.000000
15322,2020,Mujer,0.000000
15322,2021,Hombre,1.000000
15322,2021,Mujer,0.000000
15325,2019,Hombre,1.000000
15325,2019,Mujer,0.000000
15325,2020,Hombre,2.000000
15325,2020,Mujer,0.000000
15368,2019,Hombre,1.000000
