geo,Año,Alfabetizados,Población,Tasa de analfabetismo
15022,2019,0,112,0.072822
15022,2020,0,112,0.074271
15022,2021,,112,0.073781
15022,2022,,112,0.073298
15022,2023,0,112,0.060770
15047,2019,0,875,0.077475
15047,2020,1,874,0.076828
15047,2021,,874,0.076139
15047,2022,,874,0.075481
15047,2023,0,874,0.055135
15051,2019,11,208,0.047166
15051,2020,0,208,0.046543
15051,2021,,208,0.046120
15051,2022,,208,0.045734
15051,2023,0,208,0.034115
15087,2019,0,291,0.050512
15087,2020,0,291,0.050172
15087,2021,,291,0.049701
15087,2022,,291,0.049247
15087,2023,0,291,0.037891
15090,2019,0,115,0.091415
15090,2020,0,115,0.091707
15090,2021,,115,0.091053
15090,2022,,115,0.090338
15090,2023,0,115,0.071296
15092,2019,0,126,0.080769
15092,2020,0,126,0.081081
15092,2021,,126,0.080357
15092,2022,,126,0.079747
15092,2023,0,126,0.063862
15097,2019,0,403,0.105470
15097,2020,0,403,0.107324
15097,2021,,403,0.106361
15097,2022,,403,0.105442
15097,2023,0,403,0.082379
15104,2019,0,366,0.094500
15104,2020,0,366,0.094136
15104,2021,,366,0.093344
15104,2022,,366,0.092564
15104,2023,0,366,0.070128
15106,2019,42,105,0.062463
15106,2020,14,91,0.054361
15106,2021,,91,0.053974
15106,2022,,91,0.053529
15106,2023,0,91,0.041251
15109,2019,42,395,0.115497
15109,2020,14,381,0.111306
15109,2021,,381,0.110435
15109,2022,,381,0.109609
15109,2023,0,381,0.084988
15114,2019,0,39,0.045349
15114,2020,0,39,0.044725
15114,2021,,39,0.044369
15114,2022,,39,0.043919
15114,2023,0,39,0.033163
15131,2019,42,147,0.060444
15131,2020,14,133,0.054688
15131,2021,,133,0.054264
15131,2022,,133,0.053846
15131,2023,0,133,0.041719
15135,2019,0,155,0.068584
15135,2020,0,155,0.068950
15135,2021,,155,0.068282
15135,2022,,155,0.067656
15135,2023,0,155,0.049664
15162,2019,0,142,0.047365
15162,2020,0,142,0.047255
15162,2021,,142,0.046880
15162,2022,,142,0.046496
15162,2023,0,142,0.037576
15172,2019,0,242,0.093871
15172,2020,0,242,0.093835
15172,2021,,242,0.093005
15172,2022,,242,0.092226
15172,2023,0,242,0.074302
15176,2019,42,1481,0.034088
15176,2020,14,1467,0.033174
15176,2021,51,1416,0.031683
15176,2022,,1416,0.031382
15176,2023,0,1416,0.023964
15180,2019,0,247,0.080851
15180,2020,0,247,0.081545
15180,2021,,247,0.080878
15180,2022,,247,0.080221
15180,2023,0,247,0.062311
15183,2019,0,721,0.131091
15183,2020,0,721,0.132318
15183,2021,,721,0.131067
15183,2022,5,716,0.128939
15183,2023,0,716,0.090097
15185,2019,11,420,0.097470
15185,2020,0,420,0.096998
15185,2021,31,389,0.089077
15185,2022,,389,0.088329
15185,2023,0,389,0.065039
15187,2019,37,139,0.070810
15187,2020,72,67,0.033838
15187,2021,,67,0.033550
15187,2022,,67,0.033284
15187,2023,0,67,0.023183
15189,2019,0,290,0.085094
15189,2020,0,290,0.084746
15189,2021,,290,0.084034
15189,2022,,290,0.083333
15189,2023,0,290,0.061091
15204,2019,37,381,0.035330
15204,2020,72,309,0.028343
15204,2021,65,244,0.022228
15204,2022,52,192,0.017377
15204,2023,73,119,0.008786
15212,2019,42,288,0.104995
15212,2020,14,274,0.100183
15212,2021,,274,0.099311
15212,2022,,274,0.098526
15212,2023,0,274,0.075254
15215,2019,0,96,0.048632
15215,2020,0,96,0.048096
15215,2021,,96,0.047619
15215,2022,,96,0.047198
15215,2023,0,96,0.036994
15218,2019,0,231,0.111486
15218,2020,0,231,0.113014
15218,2021,,231,0.112136
15218,2022,,231,0.111325
15218,2023,0,231,0.083848
15223,2019,0,2383,0.386161
15223,2020,0,2383,0.378735
15223,2021,,2383,0.374274
15223,2022,,2383,0.369916
15223,2023,0,2383,0.217348
15224,2019,37,87,0.031329
15224,2020,72,15,0.005351
15224,2021,,15,0.005302
15224,2022,,15,0.005256
15224,2023,0,15,0.003884
15226,2019,0,102,0.077863
15226,2020,1,101,0.076806
15226,2021,,101,0.076169
15226,2022,,101,0.075542
15226,2023,0,101,0.054713
15232,2019,37,281,0.081050
15232,2020,72,209,0.059885
15232,2021,,209,0.059409
15232,2022,,209,0.058990
15232,2023,0,209,0.043209
15236,2019,0,108,0.055613
15236,2020,0,108,0.055046
15236,2021,,108,0.054628
15236,2022,,108,0.054244
15236,2023,0,108,0.041925
15244,2019,0,197,0.064824
15244,2020,0,197,0.065167
15244,2021,,197,0.064506
15244,2022,,197,0.063837
15244,2023,0,197,0.046949
15248,2019,0,118,0.048540
15248,2020,0,118,0.048440
15248,2021,,118,0.047987
15248,2022,,118,0.047561
15248,2023,0,118,0.037893
15272,2019,0,279,0.052841
15272,2020,1,278,0.052070
15272,2021,15,263,0.048812
15272,2022,,263,0.048381
15272,2023,0,263,0.037913
15276,2019,0,228,0.087963
15276,2020,0,228,0.088099
15276,2021,,228,0.087356
15276,2022,,228,0.086626
15276,2023,0,228,0.069196
15293,2019,11,177,0.084730
15293,2020,0,177,0.084648
15293,2021,,177,0.084006
15293,2022,,177,0.083333
15293,2023,0,177,0.062478
15296,2019,0,231,0.066113
15296,2020,1,230,0.065658
15296,2021,,230,0.065064
15296,2022,,230,0.064462
15296,2023,0,230,0.046493
15299,2019,0,482,0.033706
15299,2020,0,482,0.033287
15299,2021,,482,0.032951
15299,2022,,482,0.032640
15299,2023,0,482,0.025793
15317,2019,0,91,0.065233
15317,2020,0,91,0.065468
15317,2021,,91,0.064723
15317,2022,,91,0.064130
15317,2023,0,91,0.048663
15322,2019,0,324,0.037092
15322,2020,0,324,0.036668
15322,2021,,324,0.036315
15322,2022,,324,0.035976
15322,2023,0,324,0.029139
15325,2019,0,260,0.092758
15325,2020,0,260,0.092527
15325,2021,,260,0.091678
15325,2022,,260,0.090973
15325,2023,0,260,0.075188
15362,2019,0,66,0.044177
15362,2020,1,65,0.042904
15362,2021,,65,0.042456
15362,2022,,65,0.042098
15362,2023,0,65,0.031941
15367,2019,0,478,0.087482
15367,2020,0,478,0.086626
15367,2021,23,455,0.081761
15367,2022,,455,0.081062
15367,2023,0,455,0.060804
15368,2019,0,380,0.131807
15368,2020,0,380,0.132082
15368,2021,20,360,0.124010
15368,2022,,360,0.122993
15368,2023,0,360,0.090772
15377,2019,0,388,0.139619
15377,2020,0,388,0.139769
15377,2021,,388,0.138571
15377,2022,,388,0.137394
15377,2023,0,388,0.108928
15380,2019,0,158,0.074039
15380,2020,0,158,0.073763
15380,2021,,158,0.073080
15380,2022,,158,0.072477
15380,2023,0,158,0.057580
15401,2019,42,65,0.072142
15401,2020,14,51,0.056541
15401,2021,,51,0.055982
15401,2022,,51,0.055495
15401,2023,0,51,0.044776
15403,2019,0,138,0.061443
15403,2020,0,138,0.063594
15403,2021,,138,0.062985
15403,2022,,138,0.062443
15403,2023,0,138,0.049569
15407,2019,11,363,0.028201
15407,2020,0,363,0.027558
15407,2021,,363,0.027303
15407,2022,,363,0.027063
15407,2023,0,363,0.020969
15425,2019,0,236,0.059282
15425,2020,0,236,0.058677
15425,2021,,236,0.058185
15425,2022,,236,0.057674
15425,2023,0,236,0.045630
15442,2019,42,586,0.134868
15442,2020,14,572,0.131888
15442,2021,,572,0.130863
15442,2022,,572,0.129852
15442,2023,0,572,0.098706
15455,2019,0,451,0.063899
15455,2020,0,451,0.063210
15455,2021,,451,0.062613
15455,2022,,451,0.062070
15455,2023,0,451,0.049059
15464,2019,0,241,0.070757
15464,2020,1,240,0.070340
15464,2021,,240,0.069707
15464,2022,,240,0.069124
15464,2023,0,240,0.050955
15466,2019,0,220,0.069532
15466,2020,1,219,0.068695
15466,2021,,219,0.067991
15466,2022,,219,0.067322
15466,2023,0,219,0.050034
15469,2019,11,1355,0.076106
15469,2020,0,1355,0.075240
15469,2021,128,1227,0.067488
15469,2022,,1227,0.066896
15469,2023,0,1227,0.052235
15476,2019,37,174,0.043620
15476,2020,72,102,0.025273
15476,2021,,102,0.025061
15476,2022,,102,0.024848
15476,2023,0,102,0.017535
