Municipio,geo,Atributo,Valor
Almeida,15022,Analfabetismo,14.900000
Almeida,15022,Bajo logro educativo,76.800000
Almeida,15022,Inasistencia escolar,3.200000
Almeida,15022,Rezago escolar,8.400000
Almeida,15022,Barreras a servicios para cuidado de la primera infancia,1.700000
Almeida,15022,Trabajo infantil,1.000000
Almeida,15022,Tasa de dependencia,51.300000
Almeida,15022,Trabajo informal,88.800000
Almeida,15022,Sin aseguramiento en salud,8.300000
Almeida,15022,Barreras de acceso a servicios de salud,0.700000
Almeida,15022,Sin acceso a fuente de agua mejorada,36.400000
Almeida,15022,Inadecuada eliminación de excretas,9.900000
Almeida,15022,Material inadecuado de pisos,17.500000
Almeida,15022,Material inadecuado de paredes exteriores,0.900000
Almeida,15022,Hacinamiento crítico,2.200000
Almeida,15022,Cluster,1.000000
Aquitania,15047,Analfabetismo,16.100000
Aquitania,15047,Bajo logro educativo,77.600000
Aquitania,15047,Inasistencia escolar,4.400000
Aquitania,15047,Rezago escolar,14.900000
Aquitania,15047,Barreras a servicios para cuidado de la primera infancia,1.400000
Aquitania,15047,Trabajo infantil,3.500000
Aquitania,15047,Tasa de dependencia,36.700000
Aquitania,15047,Trabajo informal,95.100000
Aquitania,15047,Sin aseguramiento en salud,10.600000
Aquitania,15047,Barreras de acceso a servicios de salud,3.500000
Aquitania,15047,Sin acceso a fuente de agua mejorada,23.900000
Aquitania,15047,Inadecuada eliminación de excretas,13.800000
Aquitania,15047,Material inadecuado de pisos,8.700000
Aquitania,15047,Material inadecuado de paredes exteriores,0.400000
Aquitania,15047,Hacinamiento crítico,6.500000
Aquitania,15047,Cluster,4.000000
Arcabuco,15051,Analfabetismo,10.900000
Arcabuco,15051,Bajo logro educativo,66.000000
Arcabuco,15051,Inasistencia escolar,6.500000
Arcabuco,15051,Rezago escolar,15.900000
Arcabuco,15051,Barreras a servicios para cuidado de la primera infancia,1.200000
Arcabuco,15051,Trabajo infantil,2.700000
Arcabuco,15051,Tasa de dependencia,23.900000
Arcabuco,15051,Trabajo informal,89.400000
Arcabuco,15051,Sin aseguramiento en salud,11.500000
Arcabuco,15051,Barreras de acceso a servicios de salud,4.300000
Arcabuco,15051,Sin acceso a fuente de agua mejorada,17.000000
Arcabuco,15051,Inadecuada eliminación de excretas,15.400000
Arcabuco,15051,Material inadecuado de pisos,3.600000
Arcabuco,15051,Material inadecuado de paredes exteriores,0.400000
Arcabuco,15051,Hacinamiento crítico,6.500000
Arcabuco,15051,Cluster,5.000000
Belén,15087,Analfabetismo,11.000000
Belén,15087,Bajo logro educativo,63.400000
Belén,15087,Inasistencia escolar,1.700000
Belén,15087,Rezago escolar,14.900000
Belén,15087,Barreras a servicios para cuidado de la primera infancia,1.100000
Belén,15087,Trabajo infantil,1.300000
Belén,15087,Tasa de dependencia,40.300000
Belén,15087,Trabajo informal,85.600000
Belén,15087,Sin aseguramiento en salud,10.300000
Belén,15087,Barreras de acceso a servicios de salud,4.700000
Belén,15087,Sin acceso a fuente de agua mejorada,8.400000
Belén,15087,Inadecuada eliminación de excretas,8.000000
Belén,15087,Material inadecuado de pisos,5.300000
Belén,15087,Material inadecuado de paredes exteriores,0.200000
Belén,15087,Hacinamiento crítico,7.500000
Belén,15087,Cluster,5.000000
Berbeo,15090,Analfabetismo,18.100000
Berbeo,15090,Bajo logro educativo,73.400000
Berbeo,15090,Inasistencia escolar,2.600000
Berbeo,15090,Rezago escolar,14.300000
Berbeo,15090,Barreras a servicios para cuidado de la primera infancia,0.900000
Berbeo,15090,Trabajo infantil,0.500000
Berbeo,15090,Tasa de dependencia,58.400000
Berbeo,15090,Trabajo informal,84.900000
Berbeo,15090,Sin aseguramiento en salud,9.400000
Berbeo,15090,Barreras de acceso a servicios de salud,1.200000
Berbeo,15090,Sin acceso a fuente de agua mejorada,14.800000
Berbeo,15090,Inadecuada eliminación de excretas,11.500000
Berbeo,15090,Material inadecuado de pisos,16.200000
Berbeo,15090,Material inadecuado de paredes exteriores,1.000000
Berbeo,15090,Hacinamiento crítico,3.500000
Berbeo,15090,Cluster,1.000000
Betéitiva,15092,Analfabetismo,15.500000
Betéitiva,15092,Bajo logro educativo,69.900000
Betéitiva,15092,Inasistencia escolar,2.000000
Betéitiva,15092,Rezago escolar,11.200000
Betéitiva,15092,Barreras a servicios para cuidado de la primera infancia,0.800000
Betéitiva,15092,Trabajo infantil,0.400000
Betéitiva,15092,Tasa de dependencia,60.700000
Betéitiva,15092,Trabajo informal,84.000000
Betéitiva,15092,Sin aseguramiento en salud,10.600000
Betéitiva,15092,Barreras de acceso a servicios de salud,4.300000
Betéitiva,15092,Sin acceso a fuente de agua mejorada,40.400000
Betéitiva,15092,Inadecuada eliminación de excretas,18.900000
Betéitiva,15092,Material inadecuado de pisos,27.500000
Betéitiva,15092,Material inadecuado de paredes exteriores,0.100000
Betéitiva,15092,Hacinamiento crítico,6.400000
Betéitiva,15092,Cluster,1.000000
Boavita,15097,Analfabetismo,18.500000
Boavita,15097,Bajo logro educativo,69.600000
Boavita,15097,Inasistencia escolar,1.800000
Boavita,15097,Rezago escolar,17.000000
Boavita,15097,Barreras a servicios para cuidado de la primera infancia,0.900000
Boavita,15097,Trabajo infantil,0.300000
Boavita,15097,Tasa de dependencia,53.300000
Boavita,15097,Trabajo informal,85.300000
Boavita,15097,Sin aseguramiento en salud,11.500000
Boavita,15097,Barreras de acceso a servicios de salud,9.500000
Boavita,15097,Sin acceso a fuente de agua mejorada,46.000000
Boavita,15097,Inadecuada eliminación de excretas,12.900000
Boavita,15097,Material inadecuado de pisos,42.100000
Boavita,15097,Material inadecuado de paredes exteriores,0.300000
Boavita,15097,Hacinamiento crítico,9.900000
Boavita,15097,Cluster,0.000000
Boyacá,15104,Analfabetismo,21.100000
Boyacá,15104,Bajo logro educativo,84.700000
Boyacá,15104,Inasistencia escolar,3.400000
Boyacá,15104,Rezago escolar,13.700000
Boyacá,15104,Barreras a servicios para cuidado de la primera infancia,1.800000
Boyacá,15104,Trabajo infantil,2.600000
Boyacá,15104,Tasa de dependencia,48.100000
Boyacá,15104,Trabajo informal,91.600000
Boyacá,15104,Sin aseguramiento en salud,10.100000
Boyacá,15104,Barreras de acceso a servicios de salud,3.600000
Boyacá,15104,Sin acceso a fuente de agua mejorada,13.700000
Boyacá,15104,Inadecuada eliminación de excretas,16.700000
Boyacá,15104,Material inadecuado de pisos,9.200000
Boyacá,15104,Material inadecuado de paredes exteriores,0.400000
Boyacá,15104,Hacinamiento crítico,4.300000
Boyacá,15104,Cluster,1.000000
Briceño,5107,Analfabetismo,18.700000
Briceño,5107,Bajo logro educativo,82.400000
Briceño,5107,Inasistencia escolar,5.200000
Briceño,5107,Rezago escolar,19.000000
Briceño,5107,Barreras a servicios para cuidado de la primera infancia,0.800000
Briceño,5107,Trabajo infantil,2.800000
Briceño,5107,Tasa de dependencia,37.700000
Briceño,5107,Trabajo informal,90.200000
Briceño,5107,Sin aseguramiento en salud,13.000000
Briceño,5107,Barreras de acceso a servicios de salud,7.600000
Briceño,5107,Sin acceso a fuente de agua mejorada,51.600000
Briceño,5107,Inadecuada eliminación de excretas,8.200000
Briceño,5107,Material inadecuado de pisos,5.200000
Briceño,5107,Material inadecuado de paredes exteriores,0.700000
Briceño,5107,Hacinamiento crítico,5.400000
Briceño,5107,Cluster,4.000000
Buenavista,15109,Analfabetismo,23.600000
Buenavista,15109,Bajo logro educativo,83.400000
Buenavista,15109,Inasistencia escolar,3.000000
Buenavista,15109,Rezago escolar,18.100000
Buenavista,15109,Barreras a servicios para cuidado de la primera infancia,0.800000
Buenavista,15109,Trabajo infantil,1.400000
Buenavista,15109,Tasa de dependencia,35.300000
Buenavista,15109,Trabajo informal,93.000000
Buenavista,15109,Sin aseguramiento en salud,10.200000
Buenavista,15109,Barreras de acceso a servicios de salud,1.000000
Buenavista,15109,Sin acceso a fuente de agua mejorada,49.300000
Buenavista,15109,Inadecuada eliminación de excretas,10.100000
Buenavista,15109,Material inadecuado de pisos,10.700000
Buenavista,15109,Material inadecuado de paredes exteriores,0.300000
Buenavista,15109,Hacinamiento crítico,3.800000
Buenavista,15109,Cluster,4.000000
Busbanzá,15114,Analfabetismo,10.900000
Busbanzá,15114,Bajo logro educativo,64.200000
Busbanzá,15114,Inasistencia escolar,1.600000
Busbanzá,15114,Rezago escolar,12.500000
Busbanzá,15114,Barreras a servicios para cuidado de la primera infancia,0.900000
Busbanzá,15114,Trabajo infantil,0.600000
Busbanzá,15114,Tasa de dependencia,55.800000
Busbanzá,15114,Trabajo informal,85.400000
Busbanzá,15114,Sin aseguramiento en salud,8.700000
Busbanzá,15114,Barreras de acceso a servicios de salud,1.200000
Busbanzá,15114,Sin acceso a fuente de agua mejorada,7.800000
Busbanzá,15114,Inadecuada eliminación de excretas,5.900000
Busbanzá,15114,Material inadecuado de pisos,22.700000
Busbanzá,15114,Material inadecuado de paredes exteriores,0.000000
Busbanzá,15114,Hacinamiento crítico,8.400000
Busbanzá,15114,Cluster,1.000000
Caldas,5129,Analfabetismo,15.500000
Caldas,5129,Bajo logro educativo,77.900000
Caldas,5129,Inasistencia escolar,2.500000
Caldas,5129,Rezago escolar,13.700000
Caldas,5129,Barreras a servicios para cuidado de la primera infancia,1.100000
Caldas,5129,Trabajo infantil,0.900000
Caldas,5129,Tasa de dependencia,54.700000
Caldas,5129,Trabajo informal,91.800000
Caldas,5129,Sin aseguramiento en salud,12.100000
Caldas,5129,Barreras de acceso a servicios de salud,1.500000
Caldas,5129,Sin acceso a fuente de agua mejorada,33.400000
Caldas,5129,Inadecuada eliminación de excretas,15.800000
Caldas,5129,Material inadecuado de pisos,10.000000
Caldas,5129,Material inadecuado de paredes exteriores,0.500000
Caldas,5129,Hacinamiento crítico,5.200000
Caldas,5129,Cluster,1.000000
Campohermoso,15135,Analfabetismo,13.700000
Campohermoso,15135,Bajo logro educativo,77.300000
Campohermoso,15135,Inasistencia escolar,4.000000
Campohermoso,15135,Rezago escolar,19.200000
Campohermoso,15135,Barreras a servicios para cuidado de la primera infancia,1.400000
Campohermoso,15135,Trabajo infantil,1.800000
Campohermoso,15135,Tasa de dependencia,49.300000
Campohermoso,15135,Trabajo informal,89.800000
Campohermoso,15135,Sin aseguramiento en salud,7.800000
Campohermoso,15135,Barreras de acceso a servicios de salud,9.400000
Campohermoso,15135,Sin acceso a fuente de agua mejorada,55.400000
Campohermoso,15135,Inadecuada eliminación de excretas,15.200000
Campohermoso,15135,Material inadecuado de pisos,25.300000
Campohermoso,15135,Material inadecuado de paredes exteriores,0.600000
Campohermoso,15135,Hacinamiento crítico,3.800000
Campohermoso,15135,Cluster,4.000000
Cerinza,15162,Analfabetismo,9.900000
Cerinza,15162,Bajo logro educativo,68.900000
Cerinza,15162,Inasistencia escolar,1.500000
Cerinza,15162,Rezago escolar,10.900000
Cerinza,15162,Barreras a servicios para cuidado de la primera infancia,0.700000
Cerinza,15162,Trabajo infantil,0.200000
Cerinza,15162,Tasa de dependencia,46.100000
Cerinza,15162,Trabajo informal,87.400000
Cerinza,15162,Sin aseguramiento en salud,11.800000
Cerinza,15162,Barreras de acceso a servicios de salud,13.500000
Cerinza,15162,Sin acceso a fuente de agua mejorada,6.700000
Cerinza,15162,Inadecuada eliminación de excretas,8.600000
Cerinza,15162,Material inadecuado de pisos,6.200000
Cerinza,15162,Material inadecuado de paredes exteriores,0.100000
Cerinza,15162,Hacinamiento crítico,4.700000
Cerinza,15162,Cluster,5.000000
Chinavita,15172,Analfabetismo,17.500000
Chinavita,15172,Bajo logro educativo,77.000000
Chinavita,15172,Inasistencia escolar,5.200000
Chinavita,15172,Rezago escolar,9.700000
Chinavita,15172,Barreras a servicios para cuidado de la primera infancia,1.900000
Chinavita,15172,Trabajo infantil,0.800000
Chinavita,15172,Tasa de dependencia,56.200000
Chinavita,15172,Trabajo informal,90.800000
Chinavita,15172,Sin aseguramiento en salud,9.900000
Chinavita,15172,Barreras de acceso a servicios de salud,0.900000
Chinavita,15172,Sin acceso a fuente de agua mejorada,18.200000
Chinavita,15172,Inadecuada eliminación de excretas,8.000000
Chinavita,15172,Material inadecuado de pisos,10.900000
Chinavita,15172,Material inadecuado de paredes exteriores,0.400000
Chinavita,15172,Hacinamiento crítico,5.800000
Chinavita,15172,Cluster,1.000000
Chiquinquirá,15176,Analfabetismo,8.400000
Chiquinquirá,15176,Bajo logro educativo,44.700000
Chiquinquirá,15176,Inasistencia escolar,2.100000
Chiquinquirá,15176,Rezago escolar,13.500000
