Tendencia de casos,Intento de suicidio
Enero 2020,67
Febrero 2020,61
marzo 2020,59
Abril 2020,48
Mayo 2020,52
Junio 2020,47
Julio 2020,55
Agosto 2020,67
Septiembre 2020,58
Octubre 2020,67
Noviembre 2020,62
Diciembre 2020,58
Enero 2021,29
Febrero 2021,42
marzo 2021,54
Abril 2021,75
Mayo 2021,66
Junio 2021,44
Julio 2021,48
Agosto 2021,60
Septiembre 2021,94
Octubre 2021,87
Noviembre 2021,76
Diciembre 2021,95
Enero 2022,58
Febrero 2022,82
marzo 2022,105
Abril 2022,95
Mayo 2022,108
Junio 2022,78
Julio 2022,82
Agosto 2022,125
Septiembre 2022,124
Octubre 2022,119
Noviembre 2022,106
Diciembre 2022,85
Enero 2023,88
Febrero 2023,80
marzo 2023,139
Abril 2023,98
Mayo 2023,124
Junio 2023,109
Julio 2023,85
Agosto 2023,121
Septiembre 2023,116
Octubre 2023,134
Noviembre 2023,122
Diciembre 2023,97
Enero 2024,82
Febrero 2024,110
marzo 2024,92
Abril 2024,102
Mayo 2024,117
Junio 2024,89
