número de casos,Muerte violenta accidental
Enero 2020,13
Febrero 2020,17
marzo 2020,11
Abril 2020,9
Mayo 2020,8
Junio 2020,13
Julio 2020,12
Agosto 2020,17
Septiembre 2020,14
Octubre 2020,8
Noviembre 2020,17
Diciembre 2020,10
Enero 2021,11
Febrero 2021,11
marzo 2021,21
Abril 2021,10
Mayo 2021,7
Junio 2021,16
Julio 2021,15
Agosto 2021,25
Septiembre 2021,4
Octubre 2021,7
Noviembre 2021,8
Diciembre 2021,9
Enero 2022,15
Febrero 2022,37
marzo 2022,14
Abril 2022,7
Mayo 2022,14
Junio 2022,11
Julio 2022,15
Agosto 2022,10
Septiembre 2022,14
Octubre 2022,9
Noviembre 2022,21
Diciembre 2022,17
Enero 2023,4
Febrero 2023,8
marzo 2023,10
Abril 2023,16
Mayo 2023,19
Junio 2023,11
Julio 2023,11
Agosto 2023,11
Septiembre 2023,11
Octubre 2023,19
Noviembre 2023,10
Diciembre 2023,18
Enero 2024,14
Febrero 2024,12
marzo 2024,14
Abril 2024,15
Mayo 2024,20
Junio 2024,16
