Año,geo,Sexo,Casos
2015,15001,Hombre,36
2015,15022,Hombre,0
2015,15047,Hombre,1
2015,15087,Hombre,1
2015,15162,Hombre,0
2015,15172,Hombre,1
2015,15176,Hombre,2
2015,15185,Hombre,0
2015,15189,Hombre,0
2015,15204,Hombre,2
2015,15215,Hombre,0
2015,15226,Hombre,1
2015,15232,Hombre,0
2015,15236,Hombre,0
2015,15238,Hombre,21
2015,15272,Hombre,0
2015,15293,Hombre,0
2015,15296,Hombre,0
2015,15299,Hombre,4
2015,15407,Hombre,1
2015,15425,Hombre,0
2015,15442,Hombre,0
2015,15469,Hombre,0
2015,15491,Hombre,4
2015,15494,Hombre,0
2015,15511,Hombre,0
2015,15516,Hombre,2
2015,15531,Hombre,0
2015,15542,Hombre,1
2015,15572,Hombre,7
2015,15580,Hombre,0
2015,15599,Hombre,1
2015,15600,Hombre,0
2015,15638,Hombre,0
2015,15646,Hombre,1
2015,15660,Hombre,0
2015,15681,Hombre,0
2015,15686,Hombre,2
2015,15693,Hombre,1
2015,15696,Hombre,0
2015,15753,Hombre,0
2015,15755,Hombre,1
2015,15759,Hombre,24
2015,15762,Hombre,0
2015,15763,Hombre,1
2015,15764,Hombre,1
2015,15776,Hombre,0
2015,15778,Hombre,1
2015,15806,Hombre,2
2015,15808,Hombre,0
2015,15816,Hombre,0
2015,15820,Hombre,0
2015,15835,Hombre,1
2015,15837,Hombre,0
2015,15842,Hombre,0
2015,15861,Hombre,0
2015,15879,Hombre,1
2016,15001,Hombre,41
2016,15022,Hombre,0
2016,15047,Hombre,0
2016,15087,Hombre,0
2016,15092,Hombre,0
2016,15104,Hombre,1
2016,15131,Hombre,0
2016,15172,Hombre,1
2016,15176,Hombre,9
2016,15183,Hombre,0
2016,15189,Hombre,0
2016,15204,Hombre,1
2016,15223,Hombre,0
2016,15226,Hombre,0
2016,15232,Hombre,1
2016,15238,Hombre,16
2016,15272,Hombre,0
2016,15296,Hombre,0
2016,15299,Hombre,3
2016,15332,Hombre,0
2016,15380,Hombre,0
2016,15407,Hombre,0
2016,15425,Hombre,0
2016,15455,Hombre,0
2016,15464,Hombre,0
2016,15466,Hombre,0
2016,15469,Hombre,0
2016,15476,Hombre,2
2016,15491,Hombre,0
2016,15494,Hombre,0
2016,15500,Hombre,0
2016,15514,Hombre,0
2016,15516,Hombre,2
2016,15531,Hombre,0
2016,15542,Hombre,0
2016,15572,Hombre,2
2016,15580,Hombre,1
2016,15599,Hombre,0
2016,15600,Hombre,2
2016,15632,Hombre,0
2016,15638,Hombre,0
2016,15646,Hombre,0
2016,15660,Hombre,1
2016,15664,Hombre,0
2016,15681,Hombre,0
2016,15686,Hombre,0
2016,15693,Hombre,0
2016,15720,Hombre,0
2016,15740,Hombre,1
2016,15755,Hombre,0
2016,15759,Hombre,20
2016,15762,Hombre,0
2016,15763,Hombre,0
2016,15764,Hombre,0
2016,15776,Hombre,0
2016,15790,Hombre,0
2016,15806,Hombre,0
2016,15808,Hombre,0
2016,15814,Hombre,0
2016,15816,Hombre,0
2016,15820,Hombre,0
2016,15822,Hombre,0
2016,15835,Hombre,1
2016,15861,Hombre,1
2017,15001,Hombre,49
2017,15047,Hombre,0
2017,15097,Hombre,0
2017,15104,Hombre,0
2017,15162,Hombre,0
2017,15176,Hombre,9
2017,15204,Hombre,2
2017,15215,Hombre,0
2017,15223,Hombre,1
2017,15224,Hombre,0
2017,15232,Hombre,1
2017,15238,Hombre,21
2017,15272,Hombre,0
2017,15276,Hombre,1
2017,15296,Hombre,0
2017,15299,Hombre,1
2017,15325,Hombre,0
2017,15362,Hombre,0
2017,15455,Hombre,0
2017,15469,Hombre,2
2017,15476,Hombre,1
2017,15491,Hombre,0
2017,15514,Hombre,0
2017,15516,Hombre,1
2017,15518,Hombre,0
2017,15542,Hombre,1
2017,15572,Hombre,5
2017,15580,Hombre,0
2017,15600,Hombre,0
2017,15632,Hombre,0
2017,15646,Hombre,0
2017,15660,Hombre,0
2017,15664,Hombre,0
2017,15681,Hombre,0
2017,15686,Hombre,0
2017,15693,Hombre,0
2017,15696,Hombre,0
2017,15740,Hombre,0
2017,15753,Hombre,0
2017,15755,Hombre,0
2017,15757,Hombre,0
2017,15759,Hombre,23
2017,15763,Hombre,0
2017,15764,Hombre,1
2017,15790,Hombre,1
2017,15806,Hombre,0
2017,15816,Hombre,1
2017,15835,Hombre,0
2017,15837,Hombre,0
2018,15001,Hombre,43
2018,15047,Hombre,0
2018,15051,Hombre,0
2018,15087,Hombre,0
2018,15131,Hombre,1
2018,15162,Hombre,0
2018,15172,Hombre,0
2018,15176,Hombre,10
2018,15187,Hombre,0
2018,15189,Hombre,2
2018,15204,Hombre,1
2018,15223,Hombre,0
2018,15224,Hombre,0
2018,15238,Hombre,18
2018,15299,Hombre,0
2018,15362,Hombre,0
2018,15403,Hombre,0
2018,15466,Hombre,2
2018,15469,Hombre,1
2018,15476,Hombre,0
2018,15480,Hombre,1
2018,15491,Hombre,0
2018,15500,Hombre,1
2018,15516,Hombre,4
2018,15518,Hombre,0
2018,15542,Hombre,2
2018,15572,Hombre,1
2018,15599,Hombre,1
2018,15600,Hombre,0
2018,15632,Hombre,0
2018,15646,Hombre,0
2018,15664,Hombre,0
2018,15681,Hombre,1
2018,15686,Hombre,0
2018,15693,Hombre,0
2018,15696,Hombre,0
2018,15740,Hombre,1
2018,15757,Hombre,0
2018,15759,Hombre,23
2018,15763,Hombre,1
2018,15764,Hombre,4
2018,15776,Hombre,0
2018,15804,Hombre,0
2018,15806,Hombre,1
2018,15808,Hombre,0
2018,15814,Hombre,1
2018,15822,Hombre,0
2018,15837,Hombre,1
2018,15839,Hombre,0
2018,15861,Hombre,2
2019,15047,Hombre,2
2019,15051,Hombre,0
2019,15087,Hombre,0
2019,15104,Hombre,0
2019,15131,Hombre,0
2019,15162,Hombre,0
2019,15176,Hombre,6
2019,15232,Hombre,0
2019,15185,Hombre,0
2019,15204,Hombre,1
2019,15223,Hombre,0
2019,15224,Hombre,0
2019,15238,Hombre,15
2019,15244,Hombre,0
2019,15272,Hombre,0
2019,15299,Hombre,1
2019,15362,Hombre,0
2019,15469,Hombre,1
2019,15476,Hombre,2
2019,15491,Hombre,1
2019,15494,Hombre,0
2019,15500,Hombre,1
2019,15516,Hombre,1
2019,15531,Hombre,0
2019,15542,Hombre,0
2019,15572,Hombre,2
2019,15599,Hombre,0
2019,15621,Hombre,1
2019,15632,Hombre,0
2019,15638,Hombre,1
2019,15646,Hombre,0
2019,15664,Hombre,0
2019,15667,Hombre,0
2019,15693,Hombre,1
2019,15686,Hombre,1
2019,15740,Hombre,0
2019,15757,Hombre,0
2019,15759,Hombre,6
2019,15762,Hombre,1
2019,15764,Hombre,1
2019,15763,Hombre,0
2019,15806,Hombre,1
2019,15814,Hombre,0
2019,15822,Hombre,0
2019,15001,Hombre,50
2019,15861,Hombre,2
2019,15407,Hombre,1
2020,15022,Hombre,0
2020,15047,Hombre,0
2020,15087,Hombre,0
2020,15090,Hombre,1
2020,15162,Hombre,1
2020,15176,Hombre,5
2020,15185,Hombre,1
2020,15223,Hombre,0
2020,15238,Hombre,9
2020,15272,Hombre,0
