Año,geo,Rango de edad,Sexo,Casos
2015,15001,(12 a 17),Hombre,1
2015,15646,(06 a 11),Hombre,1
2015,15667,(12 a 17),Hombre,1
2015,15759,(12 a 17),Hombre,2
2015,15764,(12 a 17),Hombre,1
2015,15790,(12 a 17),Hombre,1
2015,15861,(12 a 17),Hombre,1
2016,15001,(12 a 17),Hombre,1
2016,15238,(12 a 17),Hombre,1
2016,15469,(06 a 11),Hombre,1
2016,15511,(12 a 17),Hombre,0
2016,15516,(12 a 17),Hombre,1
2016,15632,(12 a 17),Hombre,0
2017,15176,(12 a 17),Hombre,0
2017,15183,(12 a 17),Hombre,0
2017,15238,(12 a 17),Hombre,1
2017,15455,(12 a 17),Hombre,1
2017,15759,(06 a 11),Hombre,1
2018,15104,(06 a 11),Hombre,1
2018,15299,(12 a 17),Hombre,1
2018,15572,(12 a 17),Hombre,1
2018,15759,(12 a 17),Hombre,1
2018,15806,(12 a 17),Hombre,1
2019,15162,(12 a 17),Hombre,0
2019,15238,(12 a 17),Hombre,1
2019,15516,(06 a 11),Hombre,0
2019,15542,(12 a 17),Hombre,1
2019,15763,(12 a 17),Hombre,0
2019,15822,(12 a 17),Hombre,1
2019,15001,(12 a 17),Hombre,1
2020,15176,(12 a 17),Hombre,0
2020,15223,(12 a 17),Hombre,1
2020,15238,(12 a 17),Hombre,1
2020,15491,(12 a 17),Hombre,0
2020,15516,(12 a 17),Hombre,1
2020,15580,(12 a 17),Hombre,1
2020,15632,(12 a 17),Hombre,1
2020,15681,(12 a 17),Hombre,0
2020,15790,(12 a 17),Hombre,0
2020,15804,(12 a 17),Hombre,0
2020,15001,(06 a 11),Hombre,1
2020,15001,(12 a 17),Hombre,0
2020,15861,(12 a 17),Hombre,1
2021,15238,(12 a 17),Hombre,1
2021,15464,(12 a 17),Hombre,0
2021,15759,(12 a 17),Hombre,1
2021,15001,(12 a 17),Hombre,1
2015,15001,(12 a 17),Mujer,0
2015,15646,(06 a 11),Mujer,0
2015,15667,(12 a 17),Mujer,0
2015,15759,(12 a 17),Mujer,0
2015,15764,(12 a 17),Mujer,0
2015,15790,(12 a 17),Mujer,0
2015,15861,(12 a 17),Mujer,0
2016,15001,(12 a 17),Mujer,0
2016,15238,(12 a 17),Mujer,0
2016,15469,(06 a 11),Mujer,0
2016,15511,(12 a 17),Mujer,1
2016,15516,(12 a 17),Mujer,1
2016,15632,(12 a 17),Mujer,1
2017,15176,(12 a 17),Mujer,1
2017,15183,(12 a 17),Mujer,1
2017,15238,(12 a 17),Mujer,1
2017,15455,(12 a 17),Mujer,0
2017,15759,(06 a 11),Mujer,0
2018,15104,(06 a 11),Mujer,0
2018,15299,(12 a 17),Mujer,0
2018,15572,(12 a 17),Mujer,0
2018,15759,(12 a 17),Mujer,0
2018,15806,(12 a 17),Mujer,0
2019,15162,(12 a 17),Mujer,1
2019,15238,(12 a 17),Mujer,0
2019,15516,(06 a 11),Mujer,1
2019,15542,(12 a 17),Mujer,0
2019,15763,(12 a 17),Mujer,1
2019,15822,(12 a 17),Mujer,0
2019,15001,(12 a 17),Mujer,0
2020,15176,(12 a 17),Mujer,1
2020,15223,(12 a 17),Mujer,0
2020,15238,(12 a 17),Mujer,0
2020,15491,(12 a 17),Mujer,1
2020,15516,(12 a 17),Mujer,0
2020,15580,(12 a 17),Mujer,0
2020,15632,(12 a 17),Mujer,0
2020,15681,(12 a 17),Mujer,1
2020,15790,(12 a 17),Mujer,1
2020,15804,(12 a 17),Mujer,1
2020,15001,(06 a 11),Mujer,1
2020,15001,(12 a 17),Mujer,1
2020,15861,(12 a 17),Mujer,0
2021,15238,(12 a 17),Mujer,0
2021,15464,(12 a 17),Mujer,1
2021,15759,(12 a 17),Mujer,4
2021,15001,(12 a 17),Mujer,1
