Departamento,Poclación,2018,2019,2020,2021
Boyacá,CA,0.367000,0.360000,0.347000,0.331000
Boyacá,CPRD,0.818000,0.822000,0.781000,0.754000
Cundinamarca,CA,0.369000,0.345000,0.325000,0.325000
Cundinamarca,CPRD,0.742000,0.720000,0.634000,0.595000
Meta,CA,0.413000,0.397000,0.351000,0.375000
Meta,CPRD,0.729000,0.749000,0.656000,0.707000
Norte de Santander,CA,0.450000,0.400000,0.424000,0.405000
Norte de Santander,CPRD,0.859000,0.833000,0.818000,0.796000
Santander,CA,0.352000,0.365000,0.337000,0.326000
Santander,CPRD,0.824000,0.758000,0.738000,0.757000
