Departamento,Población,2018,2019,2020,2021
Boyacá,CA,0.079000,0.074000,0.077000,0.064000
Boyacá,CPRD,0.061000,0.072000,0.047000,0.057000
Cundinamarca,CA,0.123000,0.140000,0.139000,0.118000
Cundinamarca,CPRD,0.093000,0.094000,0.086000,0.094000
Meta,CA,0.116000,0.106000,0.081000,0.088000
Meta,CPRD,0.127000,0.111000,0.079000,0.085000
Norte de Santander,CA,0.183000,0.181000,0.177000,0.225000
Norte de Santander,CPRD,0.150000,0.150000,0.168000,0.235000
Santander,CA,0.101000,0.119000,0.077000,0.127000
Santander,CPRD,0.098000,0.074000,0.081000,0.089000
