Año,geo,variable,Categoria,Componente servicio
2005,15001,TUNJA,Cabecera,0.014051
2005,15022,ALMEIDA,Cabecera,0.000000
2005,15047,AQUITANIA,Cabecera,0.028392
2005,15051,ARCABUCO,Cabecera,0.002265
2005,15087,BELÉN,Cabecera,0.000975
2005,15090,BERBEO,Cabecera,0.021680
2005,15092,BETÉITIVA,Cabecera,0.022346
2005,15097,BOAVITA,Cabecera,0.000418
2005,15104,BOYACÁ,Cabecera,0.009456
2005,15106,BRICEÑO,Cabecera,0.003810
2005,15109,BUENAVISTA,Cabecera,0.002747
2005,15114,BUSBANZÁ,Cabecera,0.006873
2005,15131,CALDAS,Cabecera,0.000000
2005,15135,CAMPOHERMOSO,Cabecera,0.002525
2005,15162,CERINZA,Cabecera,0.000000
2005,15172,CHINAVITA,Cabecera,0.014821
2005,15176,CHIQUINQUIRÁ,Cabecera,0.001792
2005,15180,CHISCAS,Cabecera,0.016427
2005,15183,CHITA,Cabecera,0.017937
2005,15185,CHITARAQUE,Cabecera,0.006654
2005,15187,CHIVATÁ,Cabecera,0.010131
2005,15189,CIÉNEGA,Cabecera,0.008871
2005,15204,CÓMBITA,Cabecera,0.026570
2005,15212,COPER,Cabecera,0.000000
2005,15215,CORRALES,Cabecera,0.012354
2005,15218,COVARACHÍA,Cabecera,0.004444
2005,15223,CUBARÁ,Cabecera,0.017847
2005,15224,CUCAITA,Cabecera,0.072970
2005,15226,CUÍTIVA,Cabecera,0.083799
2005,15232,CHÍQUIZA,Cabecera,0.585859
2005,15236,CHIVOR,Cabecera,0.000000
2005,15238,DUITAMA,Cabecera,0.006044
2005,15244,EL COCUY,Cabecera,0.010804
2005,15248,EL ESPINO,Cabecera,0.027145
2005,15272,FIRAVITOBA,Cabecera,0.002934
2005,15276,FLORESTA,Cabecera,0.005029
2005,15293,GACHANTIVÁ,Cabecera,0.000000
2005,15296,GAMEZA,Cabecera,0.013689
2005,15299,GARAGOA,Cabecera,0.004696
2005,15317,GUACAMAYAS,Cabecera,0.010909
2005,15322,GUATEQUE,Cabecera,0.003896
2005,15325,GUAYATÁ,Cabecera,0.000794
2005,15332,GÜICÁN,Cabecera,0.009494
2005,15362,IZA,Cabecera,0.000000
2005,15367,JENESANO,Cabecera,0.009434
2005,15368,JERICÓ,Cabecera,0.003328
2005,15377,LABRANZAGRANDE,Cabecera,0.003043
2005,15380,LA CAPILLA,Cabecera,0.002020
2005,15401,LA VICTORIA,Cabecera,0.000000
2005,15403,LA UVITA,Cabecera,0.000000
2005,15407,VILLA DE LEYVA,Cabecera,0.008902
2005,15425,MACANAL,Cabecera,0.001098
