Año,geo,variable,Inasistencia,Categoria
2005,15001,TUNJA,0.006600,Cabecera
2005,15022,ALMEIDA,0.000000,Cabecera
2005,15047,AQUITANIA,0.012200,Cabecera
2005,15051,ARCABUCO,0.002800,Cabecera
2005,15087,BELÉN,0.000000,Cabecera
2005,15090,BERBEO,0.016300,Cabecera
2005,15092,BETÉITIVA,0.000000,Cabecera
2005,15097,BOAVITA,0.003300,Cabecera
2005,15104,BOYACÁ,0.000000,Cabecera
2005,15106,BRICEÑO,0.009500,Cabecera
2005,15109,BUENAVISTA,0.006900,Cabecera
2005,15114,BUSBANZÁ,0.000000,Cabecera
2005,15131,CALDAS,0.025300,Cabecera
2005,15135,CAMPOHERMOSO,0.008800,Cabecera
2005,15162,CERINZA,0.000000,Cabecera
2005,15172,CHINAVITA,0.004400,Cabecera
2005,15176,CHIQUINQUIRÁ,0.028600,Cabecera
2005,15180,CHISCAS,0.000000,Cabecera
2005,15183,CHITA,0.023000,Cabecera
2005,15185,CHITARAQUE,0.000000,Cabecera
2005,15187,CHIVATÁ,0.000000,Cabecera
2005,15189,CIÉNEGA,0.008900,Cabecera
2005,15204,CÓMBITA,0.008500,Cabecera
2005,15212,COPER,0.000000,Cabecera
2005,15215,CORRALES,0.000000,Cabecera
2005,15218,COVARACHÍA,0.000000,Cabecera
2005,15223,CUBARÁ,0.003600,Cabecera
2005,15224,CUCAITA,0.010800,Cabecera
2005,15226,CUÍTIVA,0.000000,Cabecera
2005,15232,CHÍQUIZA,0.030300,Cabecera
2005,15236,CHIVOR,0.000000,Cabecera
2005,15238,DUITAMA,0.006600,Cabecera
2005,15244,EL COCUY,0.006800,Cabecera
2005,15248,EL ESPINO,0.000000,Cabecera
2005,15272,FIRAVITOBA,0.003900,Cabecera
2005,15276,FLORESTA,0.021800,Cabecera
2005,15293,GACHANTIVÁ,0.000000,Cabecera
2005,15296,GAMEZA,0.004300,Cabecera
2005,15299,GARAGOA,0.024900,Cabecera
2005,15317,GUACAMAYAS,0.000000,Cabecera
2005,15322,GUATEQUE,0.005800,Cabecera
2005,15325,GUAYATÁ,0.004000,Cabecera
2005,15332,GÜICÁN,0.004000,Cabecera
2005,15362,IZA,0.000000,Cabecera
2005,15367,JENESANO,0.016400,Cabecera
2005,15368,JERICÓ,0.008300,Cabecera
2005,15377,LABRANZAGRANDE,0.000000,Cabecera
2005,15380,LA CAPILLA,0.000000,Cabecera
2005,15401,LA VICTORIA,0.000000,Cabecera
2005,15403,LA UVITA,0.003500,Cabecera
2005,15407,VILLA DE LEYVA,0.008300,Cabecera
2005,15425,MACANAL,0.000000,Cabecera
2005,15442,MARIPÍ,0.000000,Cabecera
2005,15455,MIRAFLORES,0.003600,Cabecera
2005,15464,MONGUA,0.000000,Cabecera
2005,15466,MONGUÍ,0.001900,Cabecera
2005,15469,MONIQUIRÁ,0.004800,Cabecera
2005,15476,MOTAVITA,0.010000,Cabecera
2005,15480,MUZO,0.015800,Cabecera
2005,15491,NOBSA,0.007100,Cabecera
2005,15494,NUEVO COLÓN,0.015700,Cabecera
2005,15500,OICATÁ,0.028600,Cabecera
2005,15507,OTANCHE,0.012700,Cabecera
2005,15511,PACHAVITA,0.016100,Cabecera
2005,15514,PÁEZ,0.043900,Cabecera
2005,15516,PAIPA,0.004800,Cabecera
2005,15518,PAJARITO,0.000000,Cabecera
2005,15522,PANQUEBA,0.000000,Cabecera
2005,15531,PAUNA,0.007200,Cabecera
2005,15533,PAYA,0.000000,Cabecera
2005,15537,PAZ DE RÍO,0.004300,Cabecera
2005,15542,PESCA,0.008400,Cabecera
2005,15550,PISBA,0.000000,Cabecera
2005,15572,PUERTO BOYACÁ,0.049800,Cabecera
2005,15580,QUÍPAMA,0.000000,Cabecera
2005,15599,RAMIRIQUÍ,0.008700,Cabecera
2005,15600,RÁQUIRA,0.003200,Cabecera
2005,15621,RONDÓN,0.000000,Cabecera
2005,15632,SABOYÁ,0.017300,Cabecera
2005,15638,SÁCHICA,0.007300,Cabecera
2005,15646,SAMACÁ,0.015000,Cabecera
2005,15660,SAN EDUARDO,0.007400,Cabecera
2005,15664,SAN JOSÉ DE PARE,0.025100,Cabecera
2005,15667,SAN LUIS DE GACENO,0.007500,Cabecera
2005,15673,SAN MATEO,0.004400,Cabecera
2005,15676,SAN MIGUEL DE SEMA,0.000000,Cabecera
2005,15681,SAN PABLO DE BORBUR,0.000000,Cabecera
2005,15686,SANTANA,0.013300,Cabecera
2005,15690,SANTA MARÍA,0.007800,Cabecera
2005,15693,SANTA ROSA DE VITERBO,0.014100,Cabecera
2005,15696,SANTA SOFÍA,0.000000,Cabecera
2005,15720,SATIVANORTE,0.000000,Cabecera
2005,15723,SATIVASUR,0.000000,Cabecera
2005,15740,SIACHOQUE,0.015200,Cabecera
2005,15753,SOATÁ,0.005100,Cabecera
2005,15755,SOCOTÁ,0.003700,Cabecera
2005,15757,SOCHA,0.005700,Cabecera
2005,15759,SOGAMOSO,0.013200,Cabecera
2005,15761,SOMONDOCO,0.000000,Cabecera
2005,15762,SORA,0.019800,Cabecera
2005,15763,SOTAQUIRÁ,0.000000,Cabecera
2005,15764,SORACÁ,0.018000,Cabecera
2005,15774,SUSACÓN,0.005500,Cabecera
2005,15776,SUTAMARCHÁN,0.000000,Cabecera
2005,15778,SUTATENZA,0.000000,Cabecera
2005,15790,TASCO,0.001700,Cabecera
2005,15798,TENZA,0.007700,Cabecera
2005,15804,TIBANÁ,0.010000,Cabecera
2005,15806,TIBASOSA,0.004800,Cabecera
2005,15808,TINJACÁ,0.000000,Cabecera
2005,15810,TIPACOQUE,0.000000,Cabecera
2005,15814,TOCA,0.016500,Cabecera
2005,15816,TOGÜÍ,0.040200,Cabecera
2005,15820,TÓPAGA,0.000000,Cabecera
2005,15822,TOTA,0.014200,Cabecera
2005,15832,TUNUNGUÁ,0.000000,Cabecera
2005,15835,TURMEQUÉ,0.009700,Cabecera
2005,15837,TUTA,0.010300,Cabecera
2005,15839,TUTAZÁ,0.000000,Cabecera
2005,15842,UMBITA,0.005200,Cabecera
2005,15861,VENTAQUEMADA,0.008400,Cabecera
2005,15879,VIRACACHÁ,0.000000,Cabecera
2005,15897,ZETAQUIRA,0.000000,Cabecera
2005,15001,TUNJA,0.042700,Centros poblados y rural disperso
2005,15022,ALMEIDA,0.011700,Centros poblados y rural disperso
2005,15047,AQUITANIA,0.032800,Centros poblados y rural disperso
2005,15051,ARCABUCO,0.042000,Centros poblados y rural disperso
2005,15087,BELÉN,0.011300,Centros poblados y rural disperso
2005,15090,BERBEO,0.009700,Centros poblados y rural disperso
2005,15092,BETÉITIVA,0.004400,Centros poblados y rural disperso
2005,15097,BOAVITA,0.009700,Centros poblados y rural disperso
2005,15104,BOYACÁ,0.035600,Centros poblados y rural disperso
2005,15106,BRICEÑO,0.053100,Centros poblados y rural disperso
2005,15109,BUENAVISTA,0.048700,Centros poblados y rural disperso
2005,15114,BUSBANZÁ,0.045200,Centros poblados y rural disperso
2005,15131,CALDAS,0.020300,Centros poblados y rural disperso
2005,15135,CAMPOHERMOSO,0.054300,Centros poblados y rural disperso
2005,15162,CERINZA,0.018900,Centros poblados y rural disperso
2005,15172,CHINAVITA,0.045400,Centros poblados y rural disperso
2005,15176,CHIQUINQUIRÁ,0.012400,Centros poblados y rural disperso
2005,15180,CHISCAS,0.022300,Centros poblados y rural disperso
2005,15183,CHITA,0.036700,Centros poblados y rural disperso
2005,15185,CHITARAQUE,0.022900,Centros poblados y rural disperso
2005,15187,CHIVATÁ,0.016100,Centros poblados y rural disperso
2005,15189,CIÉNEGA,0.041800,Centros poblados y rural disperso
2005,15204,CÓMBITA,0.013000,Centros poblados y rural disperso
2005,15212,COPER,0.071400,Centros poblados y rural disperso
2005,15215,CORRALES,0.010700,Centros poblados y rural disperso
2005,15218,COVARACHÍA,0.035300,Centros poblados y rural disperso
2005,15223,CUBARÁ,0.302200,Centros poblados y rural disperso
2005,15224,CUCAITA,0.047700,Centros poblados y rural disperso
2005,15226,CUÍTIVA,0.043600,Centros poblados y rural disperso
2005,15232,CHÍQUIZA,0.059300,Centros poblados y rural disperso
2005,15236,CHIVOR,0.006800,Centros poblados y rural disperso
2005,15238,DUITAMA,0.019200,Centros poblados y rural disperso
2005,15244,EL COCUY,0.018100,Centros poblados y rural disperso
2005,15248,EL ESPINO,0.015400,Centros poblados y rural disperso
2005,15272,FIRAVITOBA,0.019000,Centros poblados y rural disperso
2005,15276,FLORESTA,0.034100,Centros poblados y rural disperso
2005,15293,GACHANTIVÁ,0.032600,Centros poblados y rural disperso
2005,15296,GAMEZA,0.033000,Centros poblados y rural disperso
2005,15299,GARAGOA,0.020300,Centros poblados y rural disperso
2005,15317,GUACAMAYAS,0.003400,Centros poblados y rural disperso
2005,15322,GUATEQUE,0.021500,Centros poblados y rural disperso
2005,15325,GUAYATÁ,0.006000,Centros poblados y rural disperso
2005,15332,GÜICÁN,0.284000,Centros poblados y rural disperso
2005,15362,IZA,0.008400,Centros poblados y rural disperso
2005,15367,JENESANO,0.028600,Centros poblados y rural disperso
2005,15368,JERICÓ,0.040600,Centros poblados y rural disperso
2005,15377,LABRANZAGRANDE,0.059100,Centros poblados y rural disperso
2005,15380,LA CAPILLA,0.042500,Centros poblados y rural disperso
2005,15401,LA VICTORIA,0.035600,Centros poblados y rural disperso
2005,15403,LA UVITA,0.004000,Centros poblados y rural disperso
2005,15407,VILLA DE LEYVA,0.011500,Centros poblados y rural disperso
2005,15425,MACANAL,0.031400,Centros poblados y rural disperso
2005,15442,MARIPÍ,0.077200,Centros poblados y rural disperso
2005,15455,MIRAFLORES,0.025400,Centros poblados y rural disperso
2005,15464,MONGUA,0.021300,Centros poblados y rural disperso
2005,15466,MONGUÍ,0.023200,Centros poblados y rural disperso
2005,15469,MONIQUIRÁ,0.036800,Centros poblados y rural disperso
2005,15476,MOTAVITA,0.012900,Centros poblados y rural disperso
2005,15480,MUZO,0.029500,Centros poblados y rural disperso
2005,15491,NOBSA,0.008600,Centros poblados y rural disperso
2005,15494,NUEVO COLÓN,0.019300,Centros poblados y rural disperso
2005,15500,OICATÁ,0.022100,Centros poblados y rural disperso
2005,15507,OTANCHE,0.084600,Centros poblados y rural disperso
2005,15511,PACHAVITA,0.014700,Centros poblados y rural disperso
2005,15514,PÁEZ,0.040300,Centros poblados y rural disperso
2005,15516,PAIPA,0.022700,Centros poblados y rural disperso
2005,15518,PAJARITO,0.027800,Centros poblados y rural disperso
2005,15522,PANQUEBA,0.009500,Centros poblados y rural disperso
2005,15531,PAUNA,0.083900,Centros poblados y rural disperso
2005,15533,PAYA,0.141500,Centros poblados y rural disperso
2005,15537,PAZ DE RÍO,0.013600,Centros poblados y rural disperso
