Año,geo,variable,Dependencia economica,Categoria
2005,15001,TUNJA,0.010500,Cabecera
2005,15022,ALMEIDA,0.023900,Cabecera
2005,15047,AQUITANIA,0.013600,Cabecera
2005,15051,ARCABUCO,0.006800,Cabecera
2005,15087,BELÉN,0.010500,Cabecera
2005,15090,BERBEO,0.032500,Cabecera
2005,15092,BETÉITIVA,0.055900,Cabecera
2005,15097,BOAVITA,0.006300,Cabecera
2005,15104,BOYACÁ,0.044900,Cabecera
2005,15106,BRICEÑO,0.053300,Cabecera
2005,15109,BUENAVISTA,0.013700,Cabecera
2005,15114,BUSBANZÁ,0.130600,Cabecera
2005,15131,CALDAS,0.000000,Cabecera
2005,15135,CAMPOHERMOSO,0.045500,Cabecera
2005,15162,CERINZA,0.009500,Cabecera
2005,15172,CHINAVITA,0.025300,Cabecera
2005,15176,CHIQUINQUIRÁ,0.010200,Cabecera
2005,15180,CHISCAS,0.064700,Cabecera
2005,15183,CHITA,0.089700,Cabecera
2005,15185,CHITARAQUE,0.027600,Cabecera
2005,15187,CHIVATÁ,0.008900,Cabecera
2005,15189,CIÉNEGA,0.016100,Cabecera
2005,15204,CÓMBITA,0.044700,Cabecera
2005,15212,COPER,0.030100,Cabecera
2005,15215,CORRALES,0.045500,Cabecera
2005,15218,COVARACHÍA,0.111100,Cabecera
2005,15223,CUBARÁ,0.028600,Cabecera
2005,15224,CUCAITA,0.107200,Cabecera
2005,15226,CUÍTIVA,0.122900,Cabecera
2005,15232,CHÍQUIZA,0.585900,Cabecera
2005,15236,CHIVOR,0.016800,Cabecera
2005,15238,DUITAMA,0.011300,Cabecera
2005,15244,EL COCUY,0.064000,Cabecera
2005,15248,EL ESPINO,0.111200,Cabecera
2005,15272,FIRAVITOBA,0.002400,Cabecera
2005,15276,FLORESTA,0.023500,Cabecera
2005,15293,GACHANTIVÁ,0.037100,Cabecera
2005,15296,GAMEZA,0.011500,Cabecera
2005,15299,GARAGOA,0.005100,Cabecera
2005,15317,GUACAMAYAS,0.060000,Cabecera
2005,15322,GUATEQUE,0.021500,Cabecera
2005,15325,GUAYATÁ,0.015100,Cabecera
2005,15332,GÜICÁN,0.033200,Cabecera
2005,15362,IZA,0.020300,Cabecera
2005,15367,JENESANO,0.020100,Cabecera
2005,15368,JERICÓ,0.161400,Cabecera
2005,15377,LABRANZAGRANDE,0.046700,Cabecera
2005,15380,LA CAPILLA,0.029300,Cabecera
2005,15401,LA VICTORIA,0.071300,Cabecera
2005,15403,LA UVITA,0.013200,Cabecera
2005,15407,VILLA DE LEYVA,0.005700,Cabecera
2005,15425,MACANAL,0.000000,Cabecera
2005,15442,MARIPÍ,0.057700,Cabecera
2005,15455,MIRAFLORES,0.016900,Cabecera
2005,15464,MONGUA,0.055300,Cabecera
2005,15466,MONGUÍ,0.056400,Cabecera
2005,15469,MONIQUIRÁ,0.019200,Cabecera
2005,15476,MOTAVITA,0.010000,Cabecera
2005,15480,MUZO,0.085300,Cabecera
2005,15491,NOBSA,0.012000,Cabecera
2005,15494,NUEVO COLON,0.024500,Cabecera
2005,15500,OICATÁ,0.021400,Cabecera
2005,15507,OTANCHE,0.018400,Cabecera
2005,15511,PACHAVITA,0.006900,Cabecera
2005,15514,PÁEZ,0.040300,Cabecera
