geo,Municipio,Número de victimas
15022,ALMEIDA,
15047,AQUITANIA,
15051,ARCABUCO,
15087,BELÉN,
15090,BERBEO,
15092,BETÉITIVA,
15097,BOAVITA,
15104,BOYACÁ,1
15106,BRICEÑO,
15109,BUENAVISTA,
15114,BUSBANZÁ,
15131,CALDAS,
15135,CAMPOHERMOSO,2
15162,CERINZA,
15172,CHINAVITA,
15176,CHIQUINQUIRÁ,9
15232,CHÍQUIZA,
15180,CHISCAS,1
15183,CHITA,5
15185,CHITARAQUE,
15187,CHIVATÁ,
15236,CHIVOR,
15189,CIÉNEGA,
15204,CÓMBITA,
15212,COPER,
15215,CORRALES,
15218,COVARACHÍA,
15223,CUBARÁ,3
15224,CUCAITA,
15226,CUÍTIVA,
15238,DUITAMA,
15244,EL COCUY,6
15248,EL ESPINO,
15272,FIRAVITOBA,
15276,FLORESTA,
15293,GACHANTIVÁ,
15296,GAMEZA,1
15299,GARAGOA,
15317,GUACAMAYAS,
15322,GUATEQUE,2
15325,GUAYATÁ,
15332,GÜICÁN,1
15362,IZA,
15367,JENESANO,
15368,JERICÓ,
15380,LA CAPILLA,
15403,LA UVITA,
15401,LA VICTORIA,
15377,LABRANZAGRANDE,13
15425,MACANAL,
15442,MARIPÍ,1
15455,MIRAFLORES,
15464,MONGUA,
15466,MONGUÍ,
15469,MONIQUIRÁ,
15476,MOTAVITA,
15480,MUZO,
15491,NOBSA,
15494,NUEVO COLÓN,
15500,OICATÁ,
15507,OTANCHE,1
15511,PACHAVITA,
15514,PÁEZ,
15516,PAIPA,2
15518,PAJARITO,2
15522,PANQUEBA,
15531,PAUNA,
15533,PAYA,2
15537,PAZ DE RÍO,
15542,PESCA,1
15550,PISBA,5
15572,PUERTO BOYACÁ,
15580,QUÍPAMA,1
15599,RAMIRIQUÍ,
15600,RÁQUIRA,
15621,RONDÓN,
15632,SABOYÁ,
15638,SÁCHICA,
15646,SAMACÁ,
15660,SAN EDUARDO,
15664,SAN JOSÉ DE PARE,
15667,SAN LUIS DE GACENO,
15673,SAN MATEO,
15676,SAN MIGUEL DE SEMA,
15681,SAN PABLO DE BORBUR,
15690,SANTA MARÍA,
15693,SAN ROSA VITERBO,
15696,SANTA SOFÍA,
15686,SANTANA,
15720,SATIVANORTE,
15723,SATIVASUR,
15740,SIACHOQUE,
15753,SOATÁ,
15757,SOCHA,
15755,SOCOTÁ,
15759,SOGAMOSO,1
15761,SOMONDOCO,
15762,SORA,
15764,SORACÁ,
15763,SOTAQUIRÁ,
15774,SUSACÓN,
15776,SUTAMARCHÁN,
15778,SUTATENZA,
15790,TASCO,1
15798,TENZA,
15804,TIBANÁ,
15806,TIBASOSA,
15808,TINJACÁ,
15810,TIPACOQUE,
15814,TOCA,
15816,TOGÜÍ,
15820,TÓPAGA,
15822,TOTA,
15001,TUNJA,
15832,TUNUNGUÁ,
15835,TURMEQUÉ,
15837,TUTA,
15839,TUTAZÁ,
15842,UMBITA,
15861,VENTAQUEMADA,
15407,VILLA DE LEYVA,
15879,VIRACACHÁ,
15897,ZETAQUIRA,
