geo,Año,Rango de edad,Casos
15087,2021,(06 a 11),2
15087,2021,(12 a 17),2
15176,2021,(01 a 05),1
15176,2021,(06 a 11),3
15176,2021,(12 a 17),18
15185,2021,(12 a 17),2
15204,2021,(06 a 11),1
15238,2021,(06 a 11),2
15238,2021,(12 a 17),23
15238,2021,Menores de un año,1
15455,2021,(12 a 17),1
15469,2021,(12 a 17),4
15476,2021,(12 a 17),1
15491,2021,(12 a 17),1
15516,2021,(12 a 17),8
15518,2021,(12 a 17),1
15572,2021,(06 a 11),3
15572,2021,(12 a 17),10
15646,2021,(06 a 11),1
15693,2021,(06 a 11),1
15757,2021,(12 a 17),1
15759,2021,(01 a 05),1
15759,2021,(06 a 11),1
15759,2021,(12 a 17),21
15759,2021,Menores de un año,1
15764,2021,(12 a 17),3
15806,2021,(12 a 17),2
15814,2021,(12 a 17),1
15001,2021,(06 a 11),4
15001,2021,(12 a 17),24
15001,2021,Menores de un año,2
15837,2021,(12 a 17),1
15842,2021,(12 a 17),1
15861,2021,(01 a 05),1
15861,2021,(06 a 11),1
15861,2021,(12 a 17),2
15162,2020,(12 a 17),1
15176,2020,(01 a 05),1
15176,2020,(12 a 17),13
15238,2020,(12 a 17),15
15299,2020,(12 a 17),1
15325,2020,(12 a 17),1
15491,2020,(12 a 17),1
15507,2020,(12 a 17),1
15572,2020,(06 a 11),2
15572,2020,(12 a 17),10
15599,2020,(06 a 11),1
15681,2020,(12 a 17),2
15755,2020,(12 a 17),1
15759,2020,(01 a 05),1
15759,2020,(06 a 11),3
15759,2020,(12 a 17),15
15764,2020,(12 a 17),1
15001,2020,(01 a 05),1
15001,2020,(12 a 17),23
15837,2020,(12 a 17),2
15047,2019,(12 a 17),1
15162,2019,(12 a 17),2
15176,2019,(06 a 11),6
15176,2019,(12 a 17),17
15185,2019,(12 a 17),1
15238,2019,(01 a 05),2
15238,2019,(06 a 11),3
15238,2019,(12 a 17),38
15238,2019,Menores de un año,1
15244,2019,(12 a 17),2
15299,2019,(12 a 17),3
15464,2019,(12 a 17),1
15469,2019,(12 a 17),4
15476,2019,(12 a 17),1
15491,2019,(06 a 11),1
15516,2019,(12 a 17),4
15518,2019,(12 a 17),2
15542,2019,(12 a 17),2
15572,2019,(01 a 05),1
15572,2019,(06 a 11),1
15572,2019,(12 a 17),13
15600,2019,(12 a 17),1
15632,2019,(12 a 17),1
15664,2019,(06 a 11),1
15664,2019,(12 a 17),4
15676,2019,(12 a 17),1
15681,2019,(12 a 17),4
15693,2019,(06 a 11),2
15693,2019,(12 a 17),2
15740,2019,(12 a 17),1
15757,2019,(12 a 17),1
15759,2019,(01 a 05),1
15759,2019,(06 a 11),3
15759,2019,(12 a 17),25
15762,2019,(01 a 05),1
15762,2019,(06 a 11),1
15764,2019,(06 a 11),1
15764,2019,(12 a 17),5
15763,2019,(12 a 17),2
15790,2019,(06 a 11),1
15790,2019,(12 a 17),1
15806,2019,(12 a 17),2
15816,2019,(12 a 17),1
15822,2019,(12 a 17),1
15001,2019,(01 a 05),3
15001,2019,(06 a 11),7
15001,2019,(12 a 17),57
15839,2019,(12 a 17),1
15861,2019,(12 a 17),1
15001,2018,(01 a 05),5
15001,2018,(06 a 11),5
15001,2018,(12 a 17),84
15047,2018,(12 a 17),2
15090,2018,(12 a 17),1
15104,2018,(06 a 11),1
15162,2018,(12 a 17),1
15176,2018,(06 a 11),3
15176,2018,(12 a 17),43
15185,2018,(12 a 17),1
15187,2018,(06 a 11),1
15204,2018,(12 a 17),3
15215,2018,(01 a 05),1
15215,2018,(12 a 17),1
15238,2018,(01 a 05),1
15238,2018,(06 a 11),2
15238,2018,(12 a 17),28
15299,2018,(12 a 17),4
15407,2018,(12 a 17),6
15469,2018,(12 a 17),3
15476,2018,(12 a 17),5
15491,2018,(12 a 17),2
15500,2018,(06 a 11),1
15516,2018,(12 a 17),3
15531,2018,(12 a 17),1
15542,2018,(06 a 11),1
15542,2018,(12 a 17),3
15572,2018,(06 a 11),1
15572,2018,(12 a 17),21
15580,2018,(12 a 17),1
15599,2018,(12 a 17),1
15646,2018,(12 a 17),1
15686,2018,(12 a 17),1
15693,2018,(12 a 17),2
15696,2018,(12 a 17),1
15757,2018,(01 a 05),1
15759,2018,(06 a 11),1
15759,2018,(12 a 17),56
15763,2018,(06 a 11),2
15763,2018,(12 a 17),2
15764,2018,(12 a 17),3
15776,2018,(12 a 17),1
15806,2018,(12 a 17),2
15001,2017,(01 a 05),3
15001,2017,(06 a 11),6
15001,2017,(12 a 17),76
15047,2017,(12 a 17),1
15051,2017,(12 a 17),1
15106,2017,(12 a 17),2
15131,2017,(12 a 17),2
15162,2017,(12 a 17),1
15176,2017,(01 a 05),2
15176,2017,(06 a 11),2
15176,2017,(12 a 17),57
15187,2017,(12 a 17),1
15204,2017,(12 a 17),3
15223,2017,(01 a 05),1
15224,2017,(12 a 17),1
15226,2017,(12 a 17),2
15232,2017,(12 a 17),1
15236,2017,(12 a 17),1
15238,2017,(01 a 05),2
15238,2017,(06 a 11),1
15238,2017,(12 a 17),60
15299,2017,(12 a 17),2
15362,2017,(12 a 17),2
15425,2017,(12 a 17),2
15469,2017,(06 a 11),1
15469,2017,(12 a 17),3
15476,2017,(12 a 17),1
15491,2017,(12 a 17),5
15516,2017,(12 a 17),5
15518,2017,(01 a 05),1
15542,2017,(12 a 17),4
15572,2017,(06 a 11),2
15572,2017,(12 a 17),22
15572,2017,Menores de un año,3
15599,2017,(12 a 17),1
15646,2017,(12 a 17),1
15681,2017,(12 a 17),2
15693,2017,(12 a 17),5
15693,2017,Menores de un año,1
15755,2017,(01 a 05),1
15757,2017,(12 a 17),1
15759,2017,(01 a 05),2
