geo,Año,Edades,Casos
15204,2021,(06 a 11),1
15248,2021,(12 a 17),1
15367,2021,(12 a 17),1
15491,2021,(12 a 17),1
15494,2021,(12 a 17),1
15572,2021,(12 a 17),1
15757,2021,(12 a 17),1
15759,2021,(12 a 17),2
15763,2021,(12 a 17),1
15778,2021,(12 a 17),1
15790,2021,(06 a 11),1
15001,2021,(12 a 17),1
15407,2021,(12 a 17),1
15047,2020,(12 a 17),1
15051,2020,(06 a 11),1
15109,2020,(12 a 17),1
15232,2020,(12 a 17),1
15368,2020,(12 a 17),1
15464,2020,(06 a 11),1
15469,2020,(12 a 17),1
15516,2020,(06 a 11),1
15664,2020,(12 a 17),1
15667,2020,(12 a 17),4
15740,2020,(06 a 11),1
15757,2020,(12 a 17),1
15776,2020,(01 a 05),1
15001,2020,(01 a 05),1
15001,2020,(12 a 17),1
15001,2020,Menores de un año,1
15861,2020,(12 a 17),1
15897,2020,(12 a 17),1
15232,2019,(12 a 17),1
15185,2019,Menores de un año,1
15215,2019,(06 a 11),1
15223,2019,(12 a 17),1
15224,2019,(01 a 05),1
15238,2019,(01 a 05),1
15296,2019,(06 a 11),1
15296,2019,(12 a 17),1
15377,2019,(06 a 11),1
15377,2019,(12 a 17),1
15469,2019,(06 a 11),1
15469,2019,(12 a 17),1
15516,2019,(12 a 17),1
15621,2019,(12 a 17),1
15759,2019,(12 a 17),1
15001,2019,(01 a 05),2
15001,2019,(12 a 17),1
15861,2019,(06 a 11),1
15861,2019,(12 a 17),1
15183,2018,Menores de 1 año,1
15516,2018,(01 a 05),1
15572,2018,(01 a 05),1
15001,2018,(01 a 05),1
15293,2018,(06 a 11),1
15469,2018,(06 a 11),1
15572,2018,(06 a 11),1
15693,2018,(06 a 11),1
15861,2018,(06 a 11),1
15047,2018,(12 a 17),1
15223,2018,(12 a 17),1
15491,2018,(12 a 17),1
15507,2018,(12 a 17),1
15518,2018,(12 a 17),1
15572,2018,(12 a 17),1
15646,2018,(12 a 17),1
15681,2018,(12 a 17),1
15753,2018,(12 a 17),1
15759,2018,(12 a 17),1
15810,2018,(12 a 17),1
15001,2018,(12 a 17),1
15001,2017,(01 a 05),1
15001,2017,(12 a 17),1
15051,2017,(01 a 05),1
15223,2017,(12 a 17),1
15238,2017,(06 a 11),1
15407,2017,(12 a 17),1
15690,2017,(06 a 11),1
15696,2017,(12 a 17),1
15759,2017,(12 a 17),1
15763,2017,(12 a 17),1
15798,2017,(12 a 17),1
