geo,Año,Accidentes
15047,2021,1
15104,2021,1
15176,2021,2
15224,2021,1
15238,2021,4
15296,2021,2
15322,2021,1
15425,2021,1
15469,2021,1
15480,2021,1
15491,2021,4
15500,2021,1
15507,2021,1
15514,2021,1
15516,2021,2
15518,2021,1
15572,2021,2
15600,2021,1
15646,2021,4
15676,2021,1
15681,2021,1
15690,2021,1
15686,2021,2
15755,2021,1
15759,2021,9
15762,2021,1
15764,2021,2
15763,2021,3
15778,2021,1
15804,2021,2
15806,2021,2
15810,2021,1
15814,2021,1
15822,2021,1
15001,2021,7
15861,2021,2
15407,2021,2
15162,2020,1
15176,2020,2
15185,2020,1
15204,2020,2
15224,2020,1
15226,2020,1
15238,2020,1
15272,2020,1
15296,2020,1
15299,2020,1
15368,2020,1
15500,2020,1
15516,2020,2
15518,2020,1
15542,2020,2
15572,2020,3
15600,2020,1
15638,2020,1
15646,2020,1
15667,2020,1
15757,2020,2
15759,2020,7
15774,2020,1
15804,2020,1
15806,2020,4
15001,2020,5
15835,2020,1
15861,2020,2
15407,2020,1
15047,2019,2
15185,2019,2
15187,2019,1
15215,2019,1
15223,2019,4
15226,2019,1
15238,2019,4
15248,2019,3
15293,2019,1
15322,2019,1
15469,2019,3
15491,2019,1
15500,2019,3
15516,2019,2
15572,2019,2
15599,2019,2
15632,2019,1
15638,2019,1
15646,2019,2
15681,2019,2
15686,2019,3
15759,2019,2
15764,2019,1
15763,2019,1
15790,2019,1
15806,2019,1
15820,2019,1
15001,2019,4
15839,2019,1
15861,2019,1
15047,2018,1
15131,2018,1
15176,2018,2
15183,2018,1
15223,2018,2
15238,2018,1
15469,2018,3
15476,2018,1
15491,2018,1
15507,2018,1
15518,2018,1
15572,2018,4
15632,2018,1
15638,2018,2
15646,2018,2
15686,2018,2
15753,2018,1
15757,2018,2
15755,2018,1
15759,2018,5
15763,2018,2
15808,2018,2
15814,2018,1
15816,2018,2
15822,2018,1
15001,2018,5
15861,2018,5
15407,2018,1
15001,2017,4
15047,2017,1
15051,2017,3
15097,2017,1
15109,2017,1
15131,2017,1
15176,2017,4
15185,2017,1
15204,2017,2
15223,2017,2
15238,2017,3
15368,2017,2
15407,2017,1
15455,2017,1
15469,2017,1
15476,2017,1
15516,2017,1
15518,2017,1
15531,2017,1
15542,2017,1
15572,2017,5
15632,2017,3
15686,2017,1
15690,2017,1
15759,2017,4
15762,2017,1
15810,2017,1
15820,2017,2
15822,2017,1
15861,2017,1
