Año,geo,Zona,Grado,Número
2018,15500,Rural,Cuarto,28
2018,15500,Rural,Decimo,19
2018,15500,Rural,Noveno,10
2018,15500,Rural,Octavo,3
2018,15500,Rural,Once,16
2018,15500,Rural,Primero,23
2018,15500,Rural,Quinto,32
2018,15500,Rural,Segundo,21
2018,15500,Rural,Septimo,8
2018,15500,Rural,Sexto,8
2018,15500,Rural,Tercero,21
2018,15500,Rural,Transición,27
2018,15500,Urbana,Ciclo 3 Adultos,4
2018,15500,Urbana,Ciclo 4 Adultos,9
2018,15500,Urbana,Ciclo 5 Adultos,7
2018,15500,Urbana,Cuarto,10
2018,15500,Urbana,Decimo,27
2018,15500,Urbana,Noveno,25
2018,15500,Urbana,Octavo,32
2018,15500,Urbana,Once,20
2018,15500,Urbana,Primero,7
2018,15500,Urbana,Quinto,12
2018,15500,Urbana,Segundo,7
2018,15500,Urbana,Septimo,51
2018,15500,Urbana,Sexto,40
2018,15500,Urbana,Tercero,7
2018,15500,Urbana,Transición,6
2018,15600,Rural,Cuarto,52
2018,15600,Rural,Decimo,23
2018,15600,Rural,Noveno,32
2018,15600,Rural,Octavo,23
2018,15600,Rural,Once,12
2018,15600,Rural,Primero,74
2018,15600,Rural,Quinto,76
2018,15600,Rural,Segundo,66
2018,15600,Rural,Septimo,35
2018,15600,Rural,Sexto,42
2018,15600,Rural,Tercero,81
2018,15600,Rural,Transición,61
2018,15600,Urbana,Cuarto,40
2018,15600,Urbana,Decimo,55
2018,15600,Urbana,Noveno,53
2018,15600,Urbana,Octavo,64
2018,15600,Urbana,Once,46
2018,15600,Urbana,Primero,59
2018,15600,Urbana,Quinto,50
2018,15600,Urbana,Segundo,40
2018,15600,Urbana,Septimo,56
2018,15600,Urbana,Sexto,70
2018,15600,Urbana,Tercero,51
2018,15600,Urbana,Transición,45
2018,15090,Rural,Cuarto,6
2018,15090,Rural,Primero,10
2018,15090,Rural,Quinto,19
2018,15090,Rural,Segundo,9
2018,15090,Rural,Tercero,9
2018,15090,Rural,Transición,8
2018,15090,Urbana,Cuarto,13
2018,15090,Urbana,Decimo,27
2018,15090,Urbana,Noveno,23
2018,15090,Urbana,Octavo,24
2018,15090,Urbana,Once,27
2018,15090,Urbana,Primero,13
2018,15090,Urbana,Quinto,18
2018,15090,Urbana,Segundo,14
2018,15090,Urbana,Septimo,29
2018,15090,Urbana,Sexto,30
2018,15090,Urbana,Tercero,9
2018,15090,Urbana,Transición,9
2018,15180,Rural,Ciclo 5 Adultos,1
2018,15180,Rural,Cuarto,37
2018,15180,Rural,Decimo,60
2018,15180,Rural,Noveno,55
2018,15180,Rural,Octavo,61
2018,15180,Rural,Once,48
2018,15180,Rural,Primero,49
2018,15180,Rural,Quinto,54
2018,15180,Rural,Segundo,51
2018,15180,Rural,Septimo,57
2018,15180,Rural,Sexto,66
2018,15180,Rural,Tercero,40
2018,15180,Rural,Transición,35
2018,15180,Urbana,Cuarto,14
2018,15180,Urbana,Primero,11
2018,15180,Urbana,Quinto,9
2018,15180,Urbana,Segundo,4
2018,15180,Urbana,Tercero,8
2018,15180,Urbana,Transición,7
2018,15380,Rural,Cuarto,21
2018,15380,Rural,Primero,13
2018,15380,Rural,Quinto,18
2018,15380,Rural,Segundo,19
2018,15380,Rural,Tercero,22
2018,15380,Rural,Transición,18
2018,15380,Urbana,Cuarto,12
2018,15380,Urbana,Decimo,42
2018,15380,Urbana,Noveno,37
2018,15380,Urbana,Octavo,32
2018,15380,Urbana,Once,36
2018,15380,Urbana,Primero,7
2018,15380,Urbana,Quinto,15
2018,15380,Urbana,Segundo,11
2018,15380,Urbana,Septimo,33
2018,15380,Urbana,Sexto,47
2018,15380,Urbana,Tercero,6
2018,15380,Urbana,Transición,9
2018,15480,Rural,Ciclo 1 Adultos,1
2018,15480,Rural,Ciclo 3 Adultos,11
2018,15480,Rural,Ciclo 4 Adultos,6
2018,15480,Rural,Ciclo 5 Adultos,12
2018,15480,Rural,Ciclo 6 Adultos,8
2018,15480,Rural,Cuarto,42
2018,15480,Rural,Decimo,37
2018,15480,Rural,Noveno,43
2018,15480,Rural,Octavo,42
2018,15480,Rural,Once,40
2018,15480,Rural,Primero,46
2018,15480,Rural,Quinto,49
2018,15480,Rural,Segundo,52
2018,15480,Rural,Septimo,50
2018,15480,Rural,Sexto,46
2018,15480,Rural,Tercero,47
2018,15480,Rural,Transición,28
2018,15480,Urbana,Ciclo 3 Adultos,28
2018,15480,Urbana,Ciclo 4 Adultos,25
2018,15480,Urbana,Ciclo 5 Adultos,30
2018,15480,Urbana,Ciclo 6 Adultos,16
2018,15480,Urbana,Cuarto,129
2018,15480,Urbana,Decimo,89
2018,15480,Urbana,Noveno,87
2018,15480,Urbana,Octavo,82
2018,15480,Urbana,Once,75
2018,15480,Urbana,Primero,100
2018,15480,Urbana,Quinto,92
2018,15480,Urbana,Segundo,101
2018,15480,Urbana,Septimo,117
2018,15480,Urbana,Sexto,123
2018,15480,Urbana,Tercero,98
2018,15480,Urbana,Transición,92
2018,15550,Rural,Ciclo 2 Adultos,3
2018,15550,Rural,Ciclo 3 Adultos,42
2018,15550,Rural,Ciclo 4 Adultos,20
2018,15550,Rural,Ciclo 5 Adultos,2
2018,15550,Rural,Ciclo 6 Adultos,1
2018,15550,Rural,Cuarto,22
2018,15550,Rural,Primero,24
2018,15550,Rural,Quinto,23
2018,15550,Rural,Segundo,22
2018,15550,Rural,Tercero,22
2018,15550,Rural,Transición,18
2018,15550,Urbana,Ciclo 3 Adultos,2
2018,15550,Urbana,Ciclo 4 Adultos,7
2018,15550,Urbana,Ciclo 5 Adultos,4
2018,15550,Urbana,Ciclo 6 Adultos,6
2018,15550,Urbana,Cuarto,12
2018,15550,Urbana,Decimo,18
2018,15550,Urbana,Noveno,20
2018,15550,Urbana,Octavo,31
2018,15550,Urbana,Once,11
2018,15550,Urbana,Primero,8
2018,15550,Urbana,Quinto,11
2018,15550,Urbana,Segundo,9
2018,15550,Urbana,Septimo,28
2018,15550,Urbana,Sexto,30
2018,15550,Urbana,Tercero,9
2018,15550,Urbana,Transición,10
2018,15580,Rural,Ciclo 5 Adultos,1
2018,15580,Rural,Cuarto,46
2018,15580,Rural,Decimo,37
2018,15580,Rural,Noveno,38
2018,15580,Rural,Octavo,29
2018,15580,Rural,Once,28
2018,15580,Rural,Primero,55
2018,15580,Rural,Quinto,42
2018,15580,Rural,Segundo,39
2018,15580,Rural,Septimo,44
2018,15580,Rural,Sexto,59
2018,15580,Rural,Tercero,56
2018,15580,Rural,Transición,31
2018,15580,Urbana,Cuarto,24
2018,15580,Urbana,Decimo,43
2018,15580,Urbana,Noveno,49
2018,15580,Urbana,Octavo,31
2018,15580,Urbana,Once,38
2018,15580,Urbana,Primero,21
2018,15580,Urbana,Quinto,31
2018,15580,Urbana,Segundo,38
2018,15580,Urbana,Septimo,76
2018,15580,Urbana,Sexto,87
2018,15580,Urbana,Tercero,36
2018,15580,Urbana,Transición,26
2018,15660,Rural,Cuarto,12
2018,15660,Rural,Primero,8
2018,15660,Rural,Quinto,10
2018,15660,Rural,Segundo,14
2018,15660,Rural,Tercero,10
2018,15660,Rural,Transición,8
2018,15660,Urbana,Ciclo 1 Adultos,67
2018,15660,Urbana,Ciclo 3 Adultos,6
2018,15660,Urbana,Ciclo 4 Adultos,1
2018,15660,Urbana,Ciclo 6 Adultos,5
2018,15660,Urbana,Cuarto,12
2018,15660,Urbana,Decimo,28
2018,15660,Urbana,Noveno,25
2018,15660,Urbana,Octavo,22
2018,15660,Urbana,Once,21
2018,15660,Urbana,Primero,12
2018,15660,Urbana,Quinto,19
2018,15660,Urbana,Segundo,8
2018,15660,Urbana,Septimo,16
2018,15660,Urbana,Sexto,30
2018,15660,Urbana,Tercero,7
2018,15660,Urbana,Transición,6
2018,15690,Rural,Cuarto,20
2018,15690,Rural,Decimo,1
2018,15690,Rural,Noveno,9
2018,15690,Rural,Octavo,6
2018,15690,Rural,Once,2
2018,15690,Rural,Primero,14
2018,15690,Rural,Quinto,20
2018,15690,Rural,Segundo,19
2018,15690,Rural,Septimo,8
2018,15690,Rural,Sexto,6
2018,15690,Rural,Tercero,16
2018,15690,Rural,Transición,17
2018,15690,Urbana,Ciclo 3 Adultos,19
2018,15690,Urbana,Ciclo 4 Adultos,12
2018,15690,Urbana,Ciclo 5 Adultos,9
2018,15690,Urbana,Ciclo 6 Adultos,11
2018,15690,Urbana,Cuarto,45
2018,15690,Urbana,Decimo,45
2018,15690,Urbana,Jardín I,5
2018,15690,Urbana,Noveno,48
2018,15690,Urbana,Octavo,33
2018,15690,Urbana,Once,45
2018,15690,Urbana,Prejardín,1
2018,15690,Urbana,Primero,37
2018,15690,Urbana,Quinto,46
2018,15690,Urbana,Segundo,49
2018,15690,Urbana,Septimo,40
2018,15690,Urbana,Sexto,51
2018,15690,Urbana,Tercero,44
2018,15690,Urbana,Transición,26
2018,15720,Rural,Cuarto,6
2018,15720,Rural,Octavo,1
2018,15720,Rural,Primero,8
2018,15720,Rural,Quinto,13
2018,15720,Rural,Segundo,15
2018,15720,Rural,Sexto,3
2018,15720,Rural,Tercero,16
2018,15720,Rural,Transición,14
2018,15720,Urbana,Cuarto,18
2018,15720,Urbana,Decimo,24
2018,15720,Urbana,Noveno,32
2018,15720,Urbana,Octavo,35
2018,15720,Urbana,Once,26
2018,15720,Urbana,Primero,14
2018,15720,Urbana,Quinto,13
2018,15720,Urbana,Segundo,21
2018,15720,Urbana,Septimo,30
2018,15720,Urbana,Sexto,31
2018,15720,Urbana,Tercero,15
2018,15720,Urbana,Transición,12
2018,15740,Rural,Cuarto,86
2018,15740,Rural,Noveno,41
2018,15740,Rural,Octavo,55
2018,15740,Rural,Primero,129
2018,15740,Rural,Quinto,102
2018,15740,Rural,Segundo,111
2018,15740,Rural,Septimo,61
2018,15740,Rural,Sexto,64
2018,15740,Rural,Tercero,91
2018,15740,Rural,Transición,100
2018,15740,Urbana,Cuarto,34
2018,15740,Urbana,Decimo,126
2018,15740,Urbana,Noveno,97
2018,15740,Urbana,Octavo,69
2018,15740,Urbana,Once,108
2018,15740,Urbana,Primero,44
2018,15740,Urbana,Quinto,36
2018,15740,Urbana,Segundo,24
2018,15740,Urbana,Septimo,100
2018,15740,Urbana,Sexto,114
2018,15740,Urbana,Tercero,40
2018,15740,Urbana,Transición,33
2018,15790,Rural,Ciclo 5 Adultos,1
2018,15790,Rural,Cuarto,71
2018,15790,Rural,Decimo,13
2018,15790,Rural,Noveno,17
2018,15790,Rural,Octavo,17
2018,15790,Rural,Once,6
