geo,Municipio,Año,Valor
15238,Duitama,2015,308
15299,Garagoa,2015,6
15322,Guateque,2015,4
15455,Miraflores,2015,3
15469,Moniquirá,2015,2
15516,Paipa,2015,14
15646,Samacá,2015,36
15759,Sogamoso,2015,2399
15001,Tunja,2015,1113
15842,Úmbita,2015,3
15842,Duitama,2016,401
15842,Paipa,2016,5
15842,Sogamoso,2016,2498
15842,Tunja,2016,1068
15842,Duitama,2017,409
15842,Paipa,2017,4
15842,Sogamoso,2017,2568
15842,Tunja,2017,1084
15842,Duitama,2018,415
15842,Paipa,2018,3
15842,Sogamoso,2018,2635
15842,Tunja,2018,1212
15842,Duitama,2015,644
15842,Garagoa,2015,21
15842,Guateque,2015,9
15842,Miraflores,2015,4
15842,Moniquirá,2015,16
15842,Nobsa,2015,16
15842,Paipa,2015,31
15842,Samacá,2015,41
15842,Sogamoso,2015,2058
15842,Tunja,2015,2449
15842,Úmbita,2015,9
15842,Duitama,2016,707
15842,Paipa,2016,22
15842,Sogamoso,2016,2087
15842,Tunja,2016,2372
15842,Duitama,2017,730
15842,Paipa,2017,24
15842,Sogamoso,2017,2070
15842,Tunja,2017,2429
15842,Duitama,2018,771
15842,Paipa,2018,9
15842,Sogamoso,2018,2213
15842,Tunja,2018,2576
15842,Duitama,2015,952
15842,Garagoa,2015,27
15842,Guateque,2015,13
15842,Miraflores,2015,7
15842,Moniquirá,2015,18
15842,Nobsa,2015,16
15842,Paipa,2015,45
15842,Samacá,2015,77
15842,Sogamoso,2015,4457
15842,Tunja,2015,3562
15842,Úmbita,2015,12
15238,Duitama,2016,1108
15516,Paipa,2016,27
15759,Sogamoso,2016,4585
15001,Tunja,2016,3440
15238,Duitama,2017,1139
15516,Paipa,2017,28
15759,Sogamoso,2017,4638
15001,Tunja,2017,3513
15238,Duitama,2018,1186
15516,Paipa,2018,12
15759,Sogamoso,2018,4848
15001,Tunja,2018,3788
