geo,Area,Periodo,Porcentaje
15232,Chíquiza,2018,0.002000
15580,QUÍPAMA,2018,0.003000
15839,Tutazá,2018,0.003000
15212,Coper,2018,0.005000
15401,La Victoria,2018,0.005000
15522,Panqueba,2018,0.005000
15638,Sáchica,2018,0.005000
15425,Macanal,2018,0.006000
15022,Almeida,2018,0.007000
15367,Jenesano,2018,0.008000
15172,Chinavita,2018,0.009000
15667,San Luis De Gaceno,2018,0.009000
15757,Socha,2018,0.009000
15774,SUSACÓN,2018,0.009000
15822,Tota,2018,0.009000
15109,Buenavista,2018,0.010000
15380,La Capilla,2018,0.010000
15753,SOATÁ,2018,0.010000
15806,Tibasosa,2018,0.010000
15185,Chitaraque,2018,0.011000
15189,Ciénega,2018,0.011000
15600,Ráquira,2018,0.011000
15804,Tibaná,2018,0.011000
15090,Berbeo,2018,0.012000
15114,Busbanzá,2018,0.012000
15317,Guacamayas,2018,0.012000
15537,Paz De Río,2018,0.013000
15790,Tasco,2018,0.013000
15673,San Mateo,2018,0.014000
15131,Caldas,2018,0.015000
15897,Zetaquira,2018,0.015000
15518,Pajarito,2018,0.016000
15681,SAN PABLO DE BORBUR,2018,0.016000
15814,Toca,2018,0.017000
15879,Viracachá,2018,0.018000
15810,Tipacoque,2018,0.019000
15842,ÚMBITA,2018,0.019000
15215,Corrales,2018,0.023000
15223,CUBARÁ,2018,0.023000
15368,Jericó,2018,0.023000
15776,SUTAMARCHÁN,2018,0.023000
15455,Miraflores,2018,0.026000
15664,San José De Pare,2018,0.026000
15723,Sativasur,2018,0.026000
15762,Sora,2018,0.026000
15204,Cómbita,2018,0.027000
15236,Chivor,2018,0.027000
15476,Motavita,2018,0.027000
15531,Pauna,2018,0.027000
15690,Santa María,2018,0.027000
15693,Santa Rosa De Viterbo,2018,0.027000
15763,Sotaquirá,2018,0.027000
15224,Cucaita,2018,0.028000
15469,Moniquirá,2018,0.029000
15533,Paya,2018,0.029000
15276,Floresta,2018,0.030000
15676,San Miguel de Sema,2018,0.030000
15759,Sogamoso,2018,0.030000
15491,Nobsa,2018,0.032000
15696,Santa Sofía,2018,0.032000
15507,Otanche,2018,0.033000
15820,Tópaga,2018,0.034000
15047,Aquitania,2018,0.035000
15516,Paipa,2018,0.035000
15104,Boyacá,2018,0.036000
15299,Garagoa,2018,0.036000
15238,Duitama,2018,0.037000
15466,Monguí,2018,0.037000
15778,Sutatenza,2018,0.037000
15244,El Cocuy,2018,0.038000
15296,Gámeza,2018,0.039000
15514,Páez,2018,0.039000
15407,Villa De Leyva,2018,0.040000
15632,SABOYÁ,2018,0.040000
15051,Arcabuco,2018,0.043000
15092,Betéitiva,2018,0.043000
15187,Chivatá,2018,0.043000
15740,Siachoque,2018,0.043000
15764,Soracá,2018,0.043000
15248,El Espino,2018,0.044000
15550,Pisba,2018,0.044000
15176,Chiquinquirá,2018,0.045000
15686,Santana,2018,0.045000
15837,Tuta,2018,0.045000
15087,Belén,2018,0.047000
15646,Samacá,2018,0.047000
15542,Pesca,2018,0.048000
15183,Chita,2018,0.051000
15755,SOCOTÁ,2018,0.053000
15861,Ventaquemada,2018,0.053000
15660,San Eduardo,2018,0.054000
15001,Tunja,2018,0.055000
15226,CUÍTIVA,2018,0.055000
15572,Puerto Boyacá,2018,0.055000
15621,Rondón,2018,0.056000
15403,La Uvita,2018,0.057000
15599,Ramiriquí,2018,0.057000
15218,Covarachía,2018,0.058000
15362,Iza,2018,0.058000
15720,Sativanorte,2018,0.058000
15322,Guateque,2018,0.062000
15325,Guayatá,2018,0.063000
15272,Firavitoba,2018,0.067000
15832,TUNUNGUÁ,2018,0.067000
15377,Labranzagrande,2018,0.070000
15808,TINJACÁ,2018,0.071000
15761,Somondoco,2018,0.074000
15835,Turmequé,2018,0.074000
15106,Briceño,2018,0.076000
15480,Muzo,2018,0.078000
15180,Chiscas,2018,0.080000
15332,GÜICÁN DE LA SIERRA,2018,0.081000
15135,Campohermoso,2018,0.094000
15494,Nuevo Colón,2018,0.094000
15097,Boavita,2018,0.095000
15500,Oicatá,2018,0.099000
15798,Tenza,2018,0.099000
15816,Togüí,2018,0.104000
15442,MARIPÍ,2018,0.119000
15162,Cerinza,2018,0.135000
15511,Pachavita,2018,0.135000
15464,Mongua,2018,0.179000
15293,Gachantivá,2018,0.224000
