geo,Municipio,año,casos
15232,Chiquiza,2017,0
15187,Chivata,2017,0
15204,Combita,2017,0
15224,Cucaita,2017,0
15476,Motavita,2017,0
15500,Oicata,2017,0
15646,Samaca,2017,0
15740,Siachoque,2017,0
15762,Sora,2017,0
15764,Soraca,2017,0
15763,Sotaquira,2017,0
15814,Toca,2017,0
15001,Tunja,2017,0
15837,Tuta,2017,0
15861,Ventaquemada,2017,0
15223,Cubara,2017,0
15180,Chiscas,2017,0
15244,El Cocuy,2017,0
15248,El Espino,2017,0
15317,Guacamayas,2017,0
15332,Guican,2017,1
15522,Panqueba,2017,0
15377,Labranzagrande,2017,0
15518,Pajarito,2017,0
15533,Paya,2017,0
15550,Pisba,2017,0
15090,Berbeo,2017,0
15135,Campohermoso,2017,0
15455,Miraflores,2017,0
15514,Paez,2017,0
15660,San Eduardo,2017,0
15897,Zetaquira,2017,0
15104,Boyacá,2017,0
15189,Cienega,2017,0
15367,Jenesano,2017,0
15494,Nuevo Colon,2017,0
15599,Ramiriqui,2017,0
15621,Rondon,2017,0
15804,Tibana,2017,0
15835,Turmeque,2017,0
15842,Umbita,2017,0
15879,Viracacha,2017,0
15172,Chinavita,2017,0
15299,Garagoa,2017,0
15425,Macanal,2017,0
15511,Pachavita,2017,0
15667,San Luis de Gaceno,2017,0
15690,Santa Maria,2017,0
15097,Boavita,2017,0
15218,Covarachia,2017,0
15403,La Uvita,2017,0
15673,San Mateo,2017,0
15720,Sativanorte,2017,0
15723,Sativasur,2017,0
15753,Soata,2017,0
15774,Susacon,2017,0
15810,Tipacoque,2017,0
15106,Briceño,2017,0
15109,Buenavista,2017,0
15131,Caldas,2017,0
15176,Chiquinquira,2017,0
15212,Coper,2017,0
15401,La Victoria,2017,0
15442,Maripi,2017,0
15480,Muzo,2017,0
15507,Otanche,2017,0
15531,Pauna,2017,0
15580,Quipama,2017,0
15632,Saboya,2017,0
15676,San Miguel de Sema,2017,0
15681,San Pablo de Borbur,2017,0
15832,Tunungua,2017,0
15572,Puerto Boyaca,2017,3
15022,Almeida,2017,0
15236,Chivor,2017,0
15322,Guateque,2017,0
15325,Guayata,2017,0
15380,La Capilla,2017,0
15761,Somondoco,2017,0
15778,Sutatenza,2017,0
15798,Tenza,2017,0
15051,Arcabuco,2017,0
15185,Chitaraque,2017,0
15293,Gachantiva,2017,0
15469,Moniquira,2017,0
15600,Raquira,2017,0
15638,Sachica,2017,0
15664,San Jose de Pare,2017,0
15696,Santa Sofia,2017,0
15686,Santana,2017,0
15776,Sutamarchan,2017,0
15808,Tinjaca,2017,0
15816,Togui,2017,0
15407,Villa de Leyva,2017,0
15047,Aquitania,2017,0
15226,Cuitiva,2017,0
15272,Firavitoba,2017,0
15296,Gameza,2017,0
15362,Iza,2017,0
15464,Mongua,2017,0
15466,Mongui,2017,0
15491,Nobsa,2017,0
15542,Pesca,2017,0
15759,Sogamoso,2017,0
15806,Tibasosa,2017,0
15820,Topaga,2017,0
15822,Tota,2017,0
15087,Belen,2017,0
15114,Busbanza,2017,0
15162,Cerinza,2017,0
15215,Corrales,2017,0
15238,Duitama,2017,0
15276,Floresta,2017,0
15516,Paipa,2017,0
15693,Santa Rosa de Viterbo,2017,0
15839,Tutaza,2017,0
15092,Beteitiva,2017,0
15183,Chita,2017,0
15368,Jerico,2017,0
15537,Paz de Rio,2017,0
15757,Socha,2017,0
15755,Socota,2017,0
15790,Tasco,2017,0
15232,Chiquiza,2019,0
15187,Chivata,2019,0
15204,Combita,2019,0
15224,Cucaita,2019,0
15476,Motavita,2019,0
15500,Oicata,2019,0
15646,Samaca,2019,0
15740,Siachoque,2019,0
15762,Sora,2019,0
15764,Soraca,2019,0
15763,Sotaquira,2019,0
15814,Toca,2019,0
15001,Tunja,2019,0
15837,Tuta,2019,0
15861,Ventaquemada,2019,0
15223,Cubara,2019,1
15180,Chiscas,2019,0
15244,El Cocuy,2019,0
15248,El Espino,2019,0
15317,Guacamayas,2019,0
15332,Guican,2019,0
15522,Panqueba,2019,0
15518,Pajarito,2019,0
15533,Paya,2019,0
15550,Pisba,2019,0
15090,Berbeo,2019,0
15455,Miraflores,2019,0
15514,Paez,2019,0
15660,San Eduardo,2019,0
15897,Zetaquira,2019,0
15104,Boyacá,2019,0
15189,Cienega,2019,0
15494,Nuevo Colon,2019,0
15599,Ramiriqui,2019,0
15621,Rondon,2019,0
15804,Tibana,2019,0
15835,Turmeque,2019,0
15842,Umbita,2019,0
15879,Viracacha,2019,0
15172,Chinavita,2019,0
15299,Garagoa,2019,0
15425,Macanal,2019,0
15667,San Luis de Gaceno,2019,0
15690,Santa Maria,2019,0
15097,Boavita,2019,0
15218,Covarachia,2019,0
15403,La Uvita,2019,0
15673,San Mateo,2019,0
15723,Sativasur,2019,0
15753,Soata,2019,0
15774,Susacon,2019,0
15810,Tipacoque,2019,0
15106,Briceño,2019,0
15109,Buenavista,2019,0
15131,Caldas,2019,0
15176,Chiquinquira,2019,0
15212,Coper,2019,0
15442,Maripi,2019,0
15480,Muzo,2019,0
15507,Otanche,2019,0
15531,Pauna,2019,0
15580,Quipama,2019,0
15632,Saboya,2019,0
15676,San Miguel de Sema,2019,0
15681,San Pablo de Borbur,2019,0
15832,Tunungua,2019,0
15572,Puerto Boyaca,2019,0
15022,Almeida,2019,0
15236,Chivor,2019,0
15322,Guateque,2019,0
15325,Guayata,2019,0
15380,La Capilla,2019,0
15761,Somondoco,2019,0
15798,Tenza,2019,0
15051,Arcabuco,2019,0
15185,Chitaraque,2019,0
15293,Gachantiva,2019,0
15469,Moniquira,2019,0
15600,Raquira,2019,0
15638,Sachica,2019,0
15664,San Jose de Pare,2019,0
15686,Santana,2019,0
15776,Sutamarchan,2019,0
15808,Tinjaca,2019,0
15816,Togui,2019,0
15407,Villa de Leyva,2019,0
15047,Aquitania,2019,0
15226,Cuitiva,2019,0
15272,Firavitoba,2019,0
15296,Gameza,2019,0
15362,Iza,2019,0
15464,Mongua,2019,0
15466,Mongui,2019,0
15491,Nobsa,2019,0
15759,Sogamoso,2019,0
15806,Tibasosa,2019,0
15820,Topaga,2019,0
15822,Tota,2019,0
15087,Belen,2019,0
15114,Busbanza,2019,0
15162,Cerinza,2019,0
15215,Corrales,2019,0
15238,Duitama,2019,0
15276,Floresta,2019,0
15516,Paipa,2019,0
15693,Santa Rosa de Viterbo,2019,0
15839,Tutaza,2019,0
15183,Chita,2019,0
15368,Jerico,2019,0
15537,Paz de Rio,2019,0
15757,Socha,2019,0
15755,Socota,2019,0
15790,Tasco,2019,0
15232,Chiquiza,2020,0
15187,Chivata,2020,0
15204,Combita,2020,0
15476,Motavita,2020,0
15500,Oicata,2020,0
15646,Samaca,2020,0
15740,Siachoque,2020,0
15762,Sora,2020,0
15764,Soraca,2020,0
15763,Sotaquira,2020,0
15001,Tunja,2020,0
15837,Tuta,2020,0
15861,Ventaquemada,2020,0
15223,Cubara,2020,1
15180,Chiscas,2020,0
15244,El Cocuy,2020,0
15248,El Espino,2020,0
15317,Guacamayas,2020,0
15332,Guican,2020,0
15522,Panqueba,2020,0
15377,Labranzagrande,2020,0
15518,Pajarito,2020,0
15533,Paya,2020,0
15550,Pisba,2020,0
15135,Campohermoso,2020,0
15455,Miraflores,2020,0
15514,Paez,2020,0
15660,San Eduardo,2020,0
15897,Zetaquira,2020,0
15104,Boyacá,2020,1
15367,Jenesano,2020,0
15494,Nuevo Colon,2020,0
15599,Ramiriqui,2020,0
15621,Rondon,2020,0
15804,Tibana,2020,0
15835,Turmeque,2020,0
15842,Umbita,2020,0
15879,Viracacha,2020,0
15172,Chinavita,2020,0
15299,Garagoa,2020,0
15425,Macanal,2020,0
15511,Pachavita,2020,0
15667,San Luis de Gaceno,2020,0
15690,Santa Maria,2020,0
15097,Boavita,2020,0
15218,Covarachia,2020,0
15403,La Uvita,2020,0
15673,San Mateo,2020,0
15720,Sativanorte,2020,0
15723,Sativasur,2020,0
15753,Soata,2020,0
15774,Susacon,2020,0
15810,Tipacoque,2020,0
15106,Briceño,2020,0
15109,Buenavista,2020,0
15131,Caldas,2020,0
15176,Chiquinquira,2020,0
15212,Coper,2020,0
15401,La Victoria,2020,0
15442,Maripi,2020,0
15480,Muzo,2020,0
15507,Otanche,2020,0
15531,Pauna,2020,0
15580,Quipama,2020,0
15632,Saboya,2020,0
15676,San Miguel de Sema,2020,0
15681,San Pablo de Borbur,2020,0
15832,Tunungua,2020,0
15572,Puerto Boyaca,2020,0
15022,Almeida,2020,0
15236,Chivor,2020,0
15322,Guateque,2020,0
15325,Guayata,2020,0
15380,La Capilla,2020,0
15761,Somondoco,2020,0
15778,Sutatenza,2020,0
15798,Tenza,2020,0
15051,Arcabuco,2020,0
15185,Chitaraque,2020,0
15293,Gachantiva,2020,0
15469,Moniquira,2020,0
15600,Raquira,2020,0
15638,Sachica,2020,0
15664,San Jose de Pare,2020,0
15696,Santa Sofia,2020,0
15686,Santana,2020,0
15776,Sutamarchan,2020,0
15808,Tinjaca,2020,0
15816,Togui,2020,0
15407,Villa de Leyva,2020,0
15047,Aquitania,2020,0
15226,Cuitiva,2020,0
15272,Firavitoba,2020,0
15296,Gameza,2020,0
15362,Iza,2020,0
15464,Mongua,2020,0
15466,Mongui,2020,0
15491,Nobsa,2020,0
15542,Pesca,2020,0
15759,Sogamoso,2020,0
15806,Tibasosa,2020,0
15820,Topaga,2020,0
15822,Tota,2020,0
15087,Belen,2020,0
15114,Busbanza,2020,0
15162,Cerinza,2020,0
15215,Corrales,2020,0
15238,Duitama,2020,0
15276,Floresta,2020,0
15516,Paipa,2020,0
15693,Santa Rosa de Viterbo,2020,0
15839,Tutaza,2020,0
15092,Beteitiva,2020,1
15183,Chita,2020,0
15368,Jerico,2020,0
15537,Paz de Rio,2020,0
15757,Socha,2020,0
15755,Socota,2020,0
15790,Tasco,2020,0
