Unidad,Subgrupo,geo,Area,Periodo,Valor
Número,Todos,15022,Almeida,2012,0.000000
Número,Todos,15047,Aquitania,2012,0.000000
Número,Todos,15051,Arcabuco,2012,0.000000
Número,Todos,15087,Belén,2012,0.000000
Número,Todos,15090,Berbeo,2012,0.000000
Número,Todos,15092,Betéitiva,2012,0.000000
Número,Todos,15097,Boavita,2012,0.000000
Número,Todos,15104,Boyacá,2012,0.000000
Número,Todos,15106,Briceño,2012,0.000000
Número,Todos,15109,Buenavista,2012,0.000000
Número,Todos,15114,Busbanzá,2012,0.000000
Número,Todos,15131,Caldas,2012,0.000000
Número,Todos,15135,Campohermoso,2012,0.000000
Número,Todos,15162,Cerinza,2012,0.000000
Número,Todos,15172,Chinavita,2012,0.000000
Número,Todos,15176,Chiquinquirá,2012,0.000000
Número,Todos,15232,Chíquiza,2012,0.000000
Número,Todos,15180,Chiscas,2012,0.000000
Número,Todos,15183,Chita,2012,0.000000
Número,Todos,15185,Chitaraque,2012,0.000000
Número,Todos,15187,Chivatá,2012,0.000000
Número,Todos,15236,Chivor,2012,0.000000
Número,Todos,15189,Ciénega,2012,0.000000
Número,Todos,15204,Cómbita,2012,0.000000
Número,Todos,15212,Coper,2012,0.000000
Número,Todos,15215,Corrales,2012,0.000000
Número,Todos,15218,Covarachía,2012,0.000000
Número,Todos,15223,Cubará,2012,0.000000
Número,Todos,15224,Cucaita,2012,0.000000
Número,Todos,15226,Cuítiva,2012,0.000000
Número,Todos,15238,Duitama,2012,0.000000
Número,Todos,15244,El Cocuy,2012,0.000000
Número,Todos,15248,El Espino,2012,0.000000
Número,Todos,15272,Firavitoba,2012,0.000000
Número,Todos,15276,Floresta,2012,0.000000
Número,Todos,15293,Gachantivá,2012,0.000000
Número,Todos,15296,Gámeza,2012,0.000000
Número,Todos,15299,Garagoa,2012,0.000000
Número,Todos,15317,Guacamayas,2012,0.000000
Número,Todos,15322,Guateque,2012,0.000000
Número,Todos,15325,Guayatá,2012,0.000000
Número,Todos,15332,GÜICÁN DE LA SIERRA,2012,0.000000
Número,Todos,15362,Iza,2012,0.000000
Número,Todos,15367,Jenesano,2012,0.000000
Número,Todos,15368,Jericó,2012,0.000000
Número,Todos,15380,La Capilla,2012,0.000000
Número,Todos,15403,La Uvita,2012,0.000000
Número,Todos,15401,La Victoria,2012,0.000000
Número,Todos,15377,Labranzagrande,2012,0.000000
