geo,Municipio,tipo victima,victima directa
15022,ALMEIDA,Victima directa,4
15047,AQUITANIA,Victima directa,7
15051,ARCABUCO,Victima directa,0
15087,BELÉN,Victima directa,0
15090,BERBEO,Victima directa,4
15092,BETÉITIVA,Victima directa,0
15097,BOAVITA,Victima directa,0
15104,BOYACÁ,Victima directa,3
15106,BRICEÑO,Victima directa,1
15109,BUENAVISTA,Victima directa,3
15114,BUSBANZÁ,Victima directa,0
15131,CALDAS,Victima directa,0
15135,CAMPOHERMOSO,Victima directa,8
15162,CERINZA,Victima directa,0
15172,CHINAVITA,Victima directa,2
15176,CHIQUINQUIRÁ,Victima directa,8
15232,CHÍQUIZA,Victima directa,0
15180,CHISCAS,Victima directa,3
15183,CHITA,Victima directa,8
15185,CHITARAQUE,Victima directa,0
15187,CHIVATÁ,Victima directa,0
15236,CHIVOR,Victima directa,5
15189,CIÉNEGA,Victima directa,0
15204,CÓMBITA,Victima directa,1
15212,COPER,Victima directa,0
15215,CORRALES,Victima directa,0
15218,COVARACHÍA,Victima directa,2
15223,CUBARÁ,Victima directa,14
15224,CUCAITA,Victima directa,0
15226,CUÍTIVA,Victima directa,1
15238,DUITAMA,Victima directa,6
15244,EL COCUY,Victima directa,0
15248,EL ESPINO,Victima directa,1
15272,FIRAVITOBA,Victima directa,0
15276,FLORESTA,Victima directa,0
15293,GACHANTIVÁ,Victima directa,0
15296,GÁMEZA,Victima directa,0
15299,GARAGOA,Victima directa,7
15317,GUACAMAYAS,Victima directa,0
15322,GUATEQUE,Victima directa,9
15325,GUAYATÁ,Victima directa,4
15332,GÜICÁN,Victima directa,0
15362,IZA,Victima directa,0
15367,JENESANO,Victima directa,0
15368,JERICÓ,Victima directa,0
15380,LA CAPILLA,Victima directa,0
15403,LA UVITA,Victima directa,0
15401,LA VICTORIA,Victima directa,1
15377,LABRANZAGRANDE,Victima directa,18
15425,MACANAL,Victima directa,8
15442,MARIPÍ,Victima directa,1
15455,MIRAFLORES,Victima directa,30
15464,MONGUA,Victima directa,1
15466,MONGUÍ,Victima directa,0
15469,MONIQUIRÁ,Victima directa,1
15476,MOTAVITA,Victima directa,1
15480,MUZO,Victima directa,14
15491,NOBSA,Victima directa,0
15494,NUEVO COLÓN,Victima directa,0
15500,OICATÁ,Victima directa,0
15507,OTANCHE,Victima directa,34
15511,PACHAVITA,Victima directa,1
15514,PÁEZ,Victima directa,22
15516,PAIPA,Victima directa,1
15518,PAJARITO,Victima directa,11
15522,PANQUEBA,Victima directa,0
15531,PAUNA,Victima directa,14
15533,PAYA,Victima directa,4
15537,PAZ DE RÍO,Victima directa,0
15542,PESCA,Victima directa,0
15550,PISBA,Victima directa,4
15572,PUERTO BOYACÁ,Victima directa,282
15580,QUÍPAMA,Victima directa,7
15599,RAMIRIQUÍ,Victima directa,1
15600,RÁQUIRA,Victima directa,1
15621,RONDÓN,Victima directa,0
15632,SABOYÁ,Victima directa,0
15638,SÁCHICA,Victima directa,0
15646,SAMACÁ,Victima directa,1
15660,SAN EDUARDO,Victima directa,11
15664,SAN JOSÉ DE PARE,Victima directa,0
15667,SAN LUIS DE GACENO,Victima directa,24
15673,SAN MATEO,Victima directa,2
15676,SAN MIGUEL DE SEMA,Victima directa,0
15681,SAN PABLO DE BORBUR,Victima directa,5
15690,SANTA MARÍA,Victima directa,8
15693,SANTA ROSA DE VITERBO,Victima directa,1
15696,SANTA SOFÍA,Victima directa,0
15686,SANTANA,Victima directa,2
15720,SATIVANORTE,Victima directa,1
15723,SATIVASUR,Victima directa,0
15740,SIACHOQUE,Victima directa,0
15753,SOATÁ,Victima directa,1
15757,SOCHA,Victima directa,0
15755,SOCOTÁ,Victima directa,5
15759,SOGAMOSO,Victima directa,9
15761,SOMONDOCO,Victima directa,3
15762,SORA,Victima directa,0
15764,SORACÁ,Victima directa,1
15763,SOTAQUIRÁ,Victima directa,1
15774,SUSACÓN,Victima directa,0
15776,SUTAMARCHÁN,Victima directa,0
15778,SUTATENZA,Victima directa,0
15790,TASCO,Victima directa,1
15798,TENZA,Victima directa,0
15804,TIBANÁ,Victima directa,0
15806,TIBASOSA,Victima directa,0
15808,TINJACÁ,Victima directa,1
15810,TIPACOQUE,Victima directa,0
15814,TOCA,Victima directa,0
15816,TOGÜÍ,Victima directa,0
15820,TÓPAGA,Victima directa,0
15822,TOTA,Victima directa,0
15001,TUNJA,Victima directa,11
15832,TUNUNGUÁ,Victima directa,1
15835,TURMEQUÉ,Victima directa,0
15837,TUTA,Victima directa,0
15839,TUTAZÁ,Victima directa,0
15842,ÚMBITA,Victima directa,0
15861,VENTAQUEMADA,Victima directa,0
15407,VILLA DE LEYVA,Victima directa,0
15879,VIRACACHÁ,Victima directa,0
15897,ZETAQUIRA,Victima directa,5
15022,ALMEIDA,victima indirecta,9
15047,AQUITANIA,victima indirecta,20
15051,ARCABUCO,victima indirecta,0
15087,BELÉN,victima indirecta,0
15090,BERBEO,victima indirecta,9
15092,BETÉITIVA,victima indirecta,0
15097,BOAVITA,victima indirecta,0
15104,BOYACÁ,victima indirecta,8
15106,BRICEÑO,victima indirecta,3
15109,BUENAVISTA,victima indirecta,7
15114,BUSBANZÁ,victima indirecta,0
15131,CALDAS,victima indirecta,13
15135,CAMPOHERMOSO,victima indirecta,17
15162,CERINZA,victima indirecta,9
15172,CHINAVITA,victima indirecta,6
15176,CHIQUINQUIRÁ,victima indirecta,17
15232,CHÍQUIZA,victima indirecta,0
15180,CHISCAS,victima indirecta,11
15183,CHITA,victima indirecta,26
15185,CHITARAQUE,victima indirecta,0
15187,CHIVATÁ,victima indirecta,0
15236,CHIVOR,victima indirecta,13
15189,CIÉNEGA,victima indirecta,0
15204,CÓMBITA,victima indirecta,4
15212,COPER,victima indirecta,0
15215,CORRALES,victima indirecta,0
15218,COVARACHÍA,victima indirecta,1
15223,CUBARÁ,victima indirecta,47
15224,CUCAITA,victima indirecta,0
15226,CUÍTIVA,victima indirecta,4
15238,DUITAMA,victima indirecta,18
15244,EL COCUY,victima indirecta,0
15248,EL ESPINO,victima indirecta,2
15272,FIRAVITOBA,victima indirecta,0
15276,FLORESTA,victima indirecta,0
15293,GACHANTIVÁ,victima indirecta,0
15296,GÁMEZA,victima indirecta,0
15299,GARAGOA,victima indirecta,16
15317,GUACAMAYAS,victima indirecta,0
15322,GUATEQUE,victima indirecta,26
15325,GUAYATÁ,victima indirecta,5
15332,GÜICÁN,victima indirecta,0
15362,IZA,victima indirecta,0
15367,JENESANO,victima indirecta,0
15368,JERICÓ,victima indirecta,0
15380,LA CAPILLA,victima indirecta,0
15403,LA UVITA,victima indirecta,0
15401,LA VICTORIA,victima indirecta,1
15377,LABRANZAGRANDE,victima indirecta,55
15425,MACANAL,victima indirecta,28
15442,MARIPÍ,victima indirecta,2
15455,MIRAFLORES,victima indirecta,93
15464,MONGUA,victima indirecta,8
15466,MONGUÍ,victima indirecta,0
15469,MONIQUIRÁ,victima indirecta,10
15476,MOTAVITA,victima indirecta,2
15480,MUZO,victima indirecta,52
15491,NOBSA,victima indirecta,0
15494,NUEVO COLÓN,victima indirecta,0
15500,OICATÁ,victima indirecta,0
15507,OTANCHE,victima indirecta,85
15511,PACHAVITA,victima indirecta,1
15514,PÁEZ,victima indirecta,94
15516,PAIPA,victima indirecta,5
15518,PAJARITO,victima indirecta,20
15522,PANQUEBA,victima indirecta,0
15531,PAUNA,victima indirecta,52
15533,PAYA,victima indirecta,3
15537,PAZ DE RÍO,victima indirecta,0
15542,PESCA,victima indirecta,0
15550,PISBA,victima indirecta,19
15572,PUERTO BOYACÁ,victima indirecta,828
15580,QUÍPAMA,victima indirecta,19
15599,RAMIRIQUÍ,victima indirecta,1
15600,RÁQUIRA,victima indirecta,1
15621,RONDÓN,victima indirecta,0
15632,SABOYÁ,victima indirecta,0
15638,SÁCHICA,victima indirecta,0
15646,SAMACÁ,victima indirecta,4
15660,SAN EDUARDO,victima indirecta,45
15664,SAN JOSÉ DE PARE,victima indirecta,0
15667,SAN LUIS DE GACENO,victima indirecta,70
15673,SAN MATEO,victima indirecta,6
15676,SAN MIGUEL DE SEMA,victima indirecta,0
15681,SAN PABLO DE BORBUR,victima indirecta,20
15690,SANTA MARÍA,victima indirecta,32
15693,SANTA ROSA DE VITERBO,victima indirecta,2
15696,SANTA SOFÍA,victima indirecta,0
15686,SANTANA,victima indirecta,7
15720,SATIVANORTE,victima indirecta,3
15723,SATIVASUR,victima indirecta,0
15740,SIACHOQUE,victima indirecta,0
15753,SOATÁ,victima indirecta,0
15757,SOCHA,victima indirecta,0
15755,SOCOTÁ,victima indirecta,11
15759,SOGAMOSO,victima indirecta,19
15761,SOMONDOCO,victima indirecta,3
15762,SORA,victima indirecta,0
15764,SORACÁ,victima indirecta,0
15763,SOTAQUIRÁ,victima indirecta,1
15774,SUSACÓN,victima indirecta,0
15776,SUTAMARCHÁN,victima indirecta,0
15778,SUTATENZA,victima indirecta,0
15790,TASCO,victima indirecta,2
15798,TENZA,victima indirecta,0
15804,TIBANÁ,victima indirecta,0
15806,TIBASOSA,victima indirecta,0
15808,TINJACÁ,victima indirecta,3
15810,TIPACOQUE,victima indirecta,0
15814,TOCA,victima indirecta,0
15816,TOGÜÍ,victima indirecta,0
15820,TÓPAGA,victima indirecta,0
15822,TOTA,victima indirecta,0
15001,TUNJA,victima indirecta,32
15832,TUNUNGUÁ,victima indirecta,1
15835,TURMEQUÉ,victima indirecta,0
15837,TUTA,victima indirecta,0
15839,TUTAZÁ,victima indirecta,0
15842,ÚMBITA,victima indirecta,0
15861,VENTAQUEMADA,victima indirecta,0
15407,VILLA DE LEYVA,victima indirecta,0
15879,VIRACACHÁ,victima indirecta,0
15897,ZETAQUIRA,victima indirecta,14
