geo,Periodo del Indicador,Grupo,Tasa
15176,2021,Total,38.135189
15183,2021,Total,94.073377
15204,2021,Total,42.390844
15226,2021,Total,381.679389
15238,2021,Total,9.020793
15516,2021,Total,34.977265
15531,2021,Total,107.181136
15572,2021,Total,36.188179
15646,2021,Total,28.409091
15667,2021,Total,127.713921
15686,2021,Total,162.074554
15755,2021,Total,92.592593
15759,2021,Total,8.796235
15764,2021,Total,101.936799
15001,2021,Total,16.909029
15861,2021,Total,37.481259
15407,2021,Total,33.134526
15047,2020,Total,41.118421
15176,2020,Total,9.479572
15204,2020,Total,86.281277
15238,2020,Total,8.961778
15367,2020,Total,102.986612
15491,2020,Total,34.317090
15507,2020,Total,80.515298
15572,2020,Total,96.490170
15646,2020,Total,57.339450
15759,2020,Total,13.105587
15764,2020,Total,103.199174
15001,2020,Total,2.797359
15047,2019,Total,41.493776
15176,2019,Total,19.067595
15223,2019,Total,53.163211
15238,2019,Total,9.010227
15516,2019,Total,17.717931
15572,2019,Total,60.908759
15600,2019,Total,146.627566
15753,2019,Total,79.302141
15755,2019,Total,94.428706
15759,2019,Total,13.152126
15820,2019,Total,159.489633
15001,2019,Total,5.629838
15861,2019,Total,38.789760
15176,2018,Total,15.847861
15223,2018,Total,159.872102
15377,2018,Total,116.686114
15550,2018,Total,465.116279
15572,2018,Total,52.110474
15599,2018,Total,59.347181
15646,2018,Total,27.956388
15667,2018,Total,130.718954
15755,2018,Total,79.554495
15759,2018,Total,10.779928
15001,2018,Total,8.307258
15839,2018,Total,431.034483
15001,2017,Total,11.301670
15176,2017,Total,8.065167
15238,2017,Total,10.271686
15272,2017,Total,118.623962
15332,2017,Total,92.165899
15533,2017,Total,230.414747
15572,2017,Total,84.148522
15681,2017,Total,58.275058
15696,2017,Total,247.524752
15759,2017,Total,5.361068
15762,2017,Total,188.679245
15790,2017,Total,107.181136
15806,2017,Total,41.858518
15176,2021,Hombre,37.551633
15183,2021,Hombre,0.000000
15204,2021,Hombre,64.977258
15226,2021,Hombre,800.000000
15238,2021,Hombre,17.954933
15516,2021,Hombre,70.771408
15531,2021,Hombre,199.203187
15572,2021,Hombre,70.955535
15646,2021,Hombre,0.000000
15667,2021,Hombre,243.902439
15686,2021,Hombre,306.748466
15755,2021,Hombre,170.648464
15759,2021,Hombre,17.523876
15764,2021,Hombre,203.252033
15001,2021,Hombre,28.441411
15861,2021,Hombre,76.335878
15407,2021,Hombre,65.573770
15047,2020,Hombre,79.176564
15176,2020,Hombre,18.737118
15204,2020,Hombre,132.625995
15238,2020,Hombre,17.898693
15367,2020,Hombre,200.400802
15491,2020,Hombre,69.252078
15507,2020,Hombre,163.132137
15572,2020,Hombre,189.708323
15646,2020,Hombre,112.359551
15759,2020,Hombre,26.223776
15764,2020,Hombre,206.185567
15001,2020,Hombre,5.668292
15047,2019,Hombre,80.128205
15176,2019,Hombre,37.850114
15223,2019,Hombre,106.269926
15238,2019,Hombre,18.057060
15516,2019,Hombre,0.000000
15572,2019,Hombre,96.038415
15600,2019,Hombre,268.456376
15753,2019,Hombre,157.728707
15755,2019,Hombre,175.131349
15759,2019,Hombre,26.441036
15820,2019,Hombre,0.000000
15001,2019,Hombre,11.450819
15861,2019,Hombre,79.491256
15176,2018,Hombre,29.775197
15223,2018,Hombre,301.204819
15377,2018,Hombre,205.338809
15550,2018,Hombre,847.457627
15572,2018,Hombre,96.974399
15599,2018,Hombre,113.895216
15646,2018,Hombre,53.050398
15667,2018,Hombre,240.384615
15755,2018,Hombre,143.472023
15759,2018,Hombre,21.168501
15001,2018,Hombre,15.948963
15839,2018,Hombre,775.193798
15001,2017,Hombre,16.266334
15176,2017,Hombre,15.117158
15238,2017,Hombre,20.761964
15272,2017,Hombre,227.272727
15332,2017,Hombre,181.818182
15533,2017,Hombre,366.300366
15572,2017,Hombre,136.986301
15681,2017,Hombre,104.931794
15696,2017,Hombre,480.769231
15759,2017,Hombre,10.458063
15762,2017,Hombre,361.010830
15790,2017,Hombre,202.429150
15806,2017,Hombre,78.554595
15176,2021,Mujer,38.737168
15183,2021,Mujer,204.081633
15204,2021,Mujer,0.000000
15226,2021,Mujer,0.000000
15238,2021,Mujer,0.000000
15516,2021,Mujer,0.000000
15531,2021,Mujer,0.000000
15572,2021,Mujer,0.000000
15646,2021,Mujer,58.139535
15667,2021,Mujer,0.000000
15686,2021,Mujer,0.000000
15755,2021,Mujer,0.000000
15759,2021,Mujer,0.000000
15764,2021,Mujer,0.000000
15001,2021,Mujer,5.585344
15861,2021,Mujer,0.000000
15407,2021,Mujer,0.000000
15047,2020,Mujer,0.000000
15176,2020,Mujer,0.000000
15204,2020,Mujer,0.000000
15238,2020,Mujer,0.000000
15367,2020,Mujer,0.000000
15491,2020,Mujer,0.000000
15507,2020,Mujer,0.000000
15572,2020,Mujer,0.000000
15646,2020,Mujer,0.000000
15759,2020,Mujer,0.000000
15764,2020,Mujer,0.000000
15001,2020,Mujer,0.000000
15047,2019,Mujer,0.000000
15176,2019,Mujer,0.000000
15223,2019,Mujer,0.000000
15238,2019,Mujer,0.000000
15516,2019,Mujer,34.770515
15572,2019,Mujer,24.727992
15600,2019,Mujer,0.000000
15753,2019,Mujer,0.000000
15755,2019,Mujer,0.000000
15759,2019,Mujer,0.000000
15820,2019,Mujer,311.526480
15001,2019,Mujer,0.000000
15861,2019,Mujer,0.000000
15176,2018,Mujer,0.000000
15223,2018,Mujer,0.000000
15377,2018,Mujer,0.000000
15550,2018,Mujer,0.000000
15572,2018,Mujer,0.000000
15599,2018,Mujer,0.000000
15646,2018,Mujer,0.000000
15667,2018,Mujer,0.000000
15755,2018,Mujer,0.000000
15759,2018,Mujer,0.000000
15001,2018,Mujer,0.000000
15839,2018,Mujer,0.000000
15001,2017,Mujer,5.899705
15176,2017,Mujer,0.000000
15238,2017,Mujer,0.000000
15272,2017,Mujer,0.000000
15332,2017,Mujer,0.000000
15533,2017,Mujer,0.000000
15572,2017,Mujer,22.742779
15681,2017,Mujer,0.000000
15696,2017,Mujer,0.000000
15759,2017,Mujer,0.000000
15762,2017,Mujer,0.000000
15790,2017,Mujer,0.000000
15806,2017,Mujer,0.000000
