Año,geo,Grupo,Tasa
2021,15047,Total,40.816327
2021,15087,Total,254.885302
2021,15176,Total,228.811135
2021,15204,Total,84.781687
2021,15223,Total,51.124744
2021,15224,Total,145.772595
2021,15226,Total,381.679389
2021,15238,Total,243.561409
2021,15272,Total,381.679389
2021,15299,Total,196.386489
2021,15322,Total,70.871722
2021,15455,Total,78.003120
2021,15469,Total,117.959304
2021,15491,Total,101.936799
2021,15500,Total,207.039337
2021,15507,Total,79.872204
2021,15516,Total,244.840853
2021,15531,Total,214.362272
2021,15542,Total,103.305785
2021,15572,Total,156.815440
2021,15632,Total,91.407678
2021,15646,Total,56.818182
2021,15693,Total,76.394194
2021,15696,Total,227.272727
2021,15720,Total,393.700787
2021,15759,Total,307.868232
2021,15764,Total,203.873598
2021,15790,Total,118.063754
2021,15804,Total,85.763293
2021,15814,Total,203.804348
2021,15001,Total,321.271559
2021,15832,Total,440.528634
2021,15839,Total,312.500000
2021,15861,Total,74.962519
2021,15407,Total,33.134526
2021,15897,Total,161.030596
2021,15047,Hombres,0.000000
2021,15087,Hombres,0.000000
2021,15176,Hombres,37.551633
2021,15204,Hombres,0.000000
2021,15223,Hombres,0.000000
2021,15224,Hombres,0.000000
2021,15226,Hombres,0.000000
2021,15238,Hombres,26.932400
2021,15272,Hombres,181.488203
2021,15299,Hombres,0.000000
2021,15322,Hombres,0.000000
2021,15455,Hombres,0.000000
2021,15469,Hombres,0.000000
2021,15491,Hombres,0.000000
2021,15500,Hombres,0.000000
2021,15507,Hombres,0.000000
2021,15516,Hombres,35.385704
2021,15531,Hombres,0.000000
2021,15542,Hombres,0.000000
2021,15572,Hombres,70.955535
2021,15632,Hombres,0.000000
2021,15646,Hombres,0.000000
2021,15693,Hombres,0.000000
2021,15696,Hombres,0.000000
2021,15720,Hombres,0.000000
2021,15759,Hombres,70.095505
2021,15764,Hombres,0.000000
2021,15790,Hombres,0.000000
2021,15804,Hombres,0.000000
2021,15814,Hombres,0.000000
2021,15001,Hombres,85.324232
2021,15832,Hombres,0.000000
2021,15839,Hombres,0.000000
2021,15861,Hombres,0.000000
2021,15407,Hombres,0.000000
2021,15897,Hombres,0.000000
2021,15047,Mujeres,85.251492
2021,15087,Mujeres,514.579760
2021,15176,Mujeres,426.108851
2021,15204,Mujeres,243.902439
2021,15223,Mujeres,102.564103
2021,15224,Mujeres,315.457413
2021,15226,Mujeres,729.927007
2021,15238,Mujeres,462.291516
2021,15272,Mujeres,603.621730
2021,15299,Mujeres,388.500389
2021,15322,Mujeres,145.772595
2021,15455,Mujeres,155.279503
2021,15469,Mujeres,235.571260
2021,15491,Mujeres,202.702703
2021,15500,Mujeres,427.350427
2021,15507,Mujeres,157.728707
2021,15516,Mujeres,449.515906
2021,15531,Mujeres,464.037123
2021,15542,Mujeres,219.780220
2021,15572,Mujeres,246.184146
2021,15632,Mujeres,186.046512
2021,15646,Mujeres,116.279070
2021,15693,Mujeres,213.675214
2021,15696,Mujeres,444.444444
2021,15720,Mujeres,952.380952
2021,15759,Mujeres,547.509714
2021,15764,Mujeres,408.997955
2021,15790,Mujeres,249.376559
2021,15804,Mujeres,171.821306
2021,15814,Mujeres,408.163265
2021,15001,Mujeres,552.949062
2021,15832,Mujeres,934.579439
2021,15839,Mujeres,645.161290
2021,15861,Mujeres,147.275405
2021,15407,Mujeres,66.979236
2021,15897,Mujeres,336.700337
