geo,Año,Edad,Grupo,Tasa
15183,2021,Menores de un año,Total,699
15367,2021,(01 a 05),Total,167
15466,2021,(01 a 05),Total,279
15466,2021,(06 a 11),Total,222
15480,2021,(06 a 11),Total,123
15516,2021,(01 a 05),Total,40
15572,2021,(01 a 05),Total,23
15572,2021,(06 a 11),Total,19
15580,2021,(01 a 05),Total,334
15600,2021,(01 a 05),Total,157
15664,2021,(01 a 05),Total,268
15673,2021,(01 a 05),Total,406
15676,2021,(12 a 17),Total,330
15740,2021,(12 a 17),Total,135
15755,2021,(06 a 11),Total,123
15759,2021,(12 a 17),Total,17
15774,2021,(06 a 11),Total,421
15804,2021,(06 a 11),Total,114
15806,2021,(01 a 05),Total,100
15806,2021,(12 a 17),Total,80
15001,2021,(12 a 17),Total,5
15837,2021,(12 a 17),Total,120
15097,2020,(12 a 17),Total,220
15176,2020,(01 a 05),Total,23
15176,2020,Menores de un año,Total,127
15183,2020,(06 a 11),Total,102
15204,2020,(01 a 05),Total,252
15226,2020,(12 a 17),Total,574
15296,2020,(06 a 11),Total,189
15332,2020,(12 a 17),Total,216
15442,2020,(01 a 05),Total,250
15455,2020,Menores de un año,Total,892
15507,2020,(12 a 17),Total,115
15516,2020,(12 a 17),Total,29
15518,2020,(12 a 17),Total,446
15542,2020,(01 a 05),Total,171
15572,2020,(01 a 05),Total,23
15572,2020,(12 a 17),Total,20
15599,2020,Menores de un año,Total,675
15681,2020,(12 a 17),Total,137
15693,2020,(01 a 05),Total,127
15696,2020,(12 a 17),Total,373
15759,2020,(06 a 11),Total,9
15806,2020,(01 a 05),Total,100
15806,2020,(12 a 17),Total,80
15001,2020,(12 a 17),Total,17
15047,2019,Menores de un año,Total,361
15238,2019,(01 a 05),Total,36
15238,2019,(06 a 11),Total,9
15322,2019,(12 a 17),Total,107
15362,2019,(12 a 17),Total,588
15367,2019,(01 a 05),Total,167
15500,2019,(06 a 11),Total,355
15500,2019,(12 a 17),Total,344
15572,2019,(12 a 17),Total,62
15676,2019,(12 a 17),Total,333
15681,2019,(06 a 11),Total,141
15759,2019,Menores de un año,Total,238
15820,2019,(12 a 17),Total,271
15238,2018,Menores de un año,Total,57
15466,2018,Menores de un año,Total,1162
15491,2018,Menores de un año,Total,381
15176,2018,(01 a 05),Total,35
15238,2018,(01 a 05),Total,11
15368,2018,(01 a 05),Total,317
15516,2018,(01 a 05),Total,38
15763,2018,(01 a 05),Total,131
15814,2018,(01 a 05),Total,109
15001,2018,(01 a 05),Total,6
15491,2018,(06 a 11),Total,55
15507,2018,(12 a 17),Total,74
15516,2018,(12 a 17),Total,30
15806,2018,(12 a 17),Total,62
15001,2017,(06 a 11),Total,5
15001,2017,(12 a 17),Total,4
15047,2017,(01 a 05),Total,64
15087,2017,(12 a 17),Total,140
15092,2017,(01 a 05),Total,584
15226,2017,Menores de un año,Total,3030
15232,2017,(01 a 05),Total,189
15621,2017,(06 a 11),Total,358
15753,2017,(12 a 17),Total,149
15759,2017,(12 a 17),Total,8
15790,2017,(01 a 05),Total,184
15814,2017,(12 a 17),Total,87
15822,2017,Menores de un año,Total,1190
15861,2017,(01 a 05),Total,66
15183,2021,Menores de un año,Hombre,0
15367,2021,(01 a 05),Hombre,341
15466,2021,(01 a 05),Hombre,588
15466,2021,(06 a 11),Hombre,0
15480,2021,(06 a 11),Hombre,245
15516,2021,(01 a 05),Hombre,0
15572,2021,(01 a 05),Hombre,47
15572,2021,(06 a 11),Hombre,39
15580,2021,(01 a 05),Hombre,0
15600,2021,(01 a 05),Hombre,0
15664,2021,(01 a 05),Hombre,0
15673,2021,(01 a 05),Hombre,0
15676,2021,(12 a 17),Hombre,574
15740,2021,(12 a 17),Hombre,268
15755,2021,(06 a 11),Hombre,246
15759,2021,(12 a 17),Hombre,32
15774,2021,(06 a 11),Hombre,806
15804,2021,(06 a 11),Hombre,217
15806,2021,(01 a 05),Hombre,189
15806,2021,(12 a 17),Hombre,155
15001,2021,(12 a 17),Hombre,11
15837,2021,(12 a 17),Hombre,242
15097,2020,(12 a 17),Hombre,0
15176,2020,(01 a 05),Hombre,0
15176,2020,Menores de un año,Hombre,251
15183,2020,(06 a 11),Hombre,198
15204,2020,(01 a 05),Hombre,496
15226,2020,(12 a 17),Hombre,1176
15296,2020,(06 a 11),Hombre,350
15332,2020,(12 a 17),Hombre,401
15442,2020,(01 a 05),Hombre,467
15455,2020,Menores de un año,Hombre,0
15507,2020,(12 a 17),Hombre,214
15516,2020,(12 a 17),Hombre,57
15518,2020,(12 a 17),Hombre,826
15542,2020,(01 a 05),Hombre,0
15572,2020,(01 a 05),Hombre,47
15572,2020,(12 a 17),Hombre,0
15599,2020,Menores de un año,Hombre,1428
15681,2020,(12 a 17),Hombre,262
15693,2020,(01 a 05),Hombre,0
15696,2020,(12 a 17),Hombre,714
