geo,Municipio,Valor
15232,Chiquiza,1561
15187,Chivata,898
15204,Combita,3557
15224,Cucaita,1257
15476,Motavita,1873
15500,Oicata,1027
15646,Samaca,6134
15740,Siachoque,2058
15762,Sora,1010
15764,Soraca,1958
15763,Sotaquira,2705
15814,Toca,2909
15001,Tunja,70000
15837,Tuta,2980
15861,Ventaquemada,5535
15223,Cubara,2761
15180,Chiscas,1399
15244,El Cocuy,1411
15248,El Espino,1122
15317,Guacamayas,676
15332,Guican,1359
15522,Panqueba,601
15377,Labranzagrande,1167
15518,Pajarito,797
15533,Paya,742
15550,Pisba,522
15090,Berbeo,581
15135,Campohermoso,1000
15455,Miraflores,3439
15514,Paez,1074
15660,San Eduardo,612
15897,Zetaquira,1627
15104,Boyacá,1726
15189,Cienega,1593
15367,Jenesano,2587
15494,Nuevo Colon,1788
15599,Ramiriqui,3465
15621,Rondon,871
15804,Tibana,3342
15835,Turmeque,2275
15842,Umbita,2512
15879,Viracacha,970
15172,Chinavita,1224
15299,Garagoa,7212
15425,Macanal,1851
15511,Pachavita,900
15667,San Luis de Gaceno,1908
15690,Santa Maria,1174
15097,Boavita,1770
15218,Covarachia,914
15403,La Uvita,983
15673,San Mateo,1163
15720,Sativanorte,772
15723,Sativasur,431
15753,Soata,3484
15774,Susacon,965
15810,Tipacoque,1174
15106,Briceño,708
15109,Buenavista,1526
15131,Caldas,1133
15176,Chiquinquira,21509
15212,Coper,1216
15401,La Victoria,408
15442,Maripi,1744
15480,Muzo,2622
15507,Otanche,2607
15531,Pauna,2497
15580,Quipama,1630
15632,Saboya,4813
15676,San Miguel de Sema,1083
15681,San Pablo de Borbur,1988
15832,Tunungua,497
15572,Puerto Boyaca,16587
15022,Almeida,683
15236,Chivor,829
15322,Guateque,4374
15325,Guayata,1344
15380,La Capilla,1004
15761,Somondoco,1164
15778,Sutatenza,1671
15798,Tenza,1537
15051,Arcabuco,2061
15185,Chitaraque,1893
15293,Gachantiva,917
15469,Moniquira,8550
15600,Raquira,2666
15638,Sachica,1849
15664,San Jose de Pare,1752
15696,Santa Sofia,1127
15686,Santana,2616
15776,Sutamarchan,2203
15808,Tinjaca,1208
15816,Togui,1384
15407,Villa de Leyva,6318
15047,Aquitania,5091
15226,Cuitiva,638
15272,Firavitoba,2600
15296,Gameza,1606
15362,Iza,734
15464,Mongua,1658
15466,Mongui,1567
15491,Nobsa,6186
15542,Pesca,2271
15759,Sogamoso,51478
15806,Tibasosa,4969
15820,Topaga,1292
15822,Tota,1706
15087,Belen,2835
15114,Busbanza,425
15162,Cerinza,1462
15215,Corrales,943
15238,Duitama,49596
15276,Floresta,1297
15516,Paipa,13114
15693,Santa Rosa de Viterbo,4743
15839,Tutaza,748
15092,Beteitiva,746
15183,Chita,2397
15368,Jerico,1273
15537,Paz de Rio,1584
15757,Socha,2784
15755,Socota,2187
15790,Tasco,2029
