geo,MUNICIPIO,Porcentaje,Año
15022,ALMEIDA,1,2021.000000
15047,AQUITANIA,1,2021.000000
15051,ARCABUCO,0.98,2021.000000
15087,BELÉN,0.98,2021.000000
15090,BERBEO,1,2021.000000
15092,BETÉITIVA,1,2021.000000
15097,BOAVITA,0.98,2021.000000
15104,BOYACÁ,1,2021.000000
15106,BRICEÑO,1,2021.000000
15109,BUENAVISTA,1,2021.000000
15114,BUSBANZÁ,1,2021.000000
15131,CALDAS,1,2021.000000
15135,CAMPOHERMOSO,1,2021.000000
15162,CERINZA,1,2021.000000
15172,CHINAVITA,1,2021.000000
15176,CHIQUINQUIRÁ,1,2021.000000
15232,CHÍQUIZA,1,2021.000000
15180,CHISCAS,1,2021.000000
15183,CHITA,0.95,2021.000000
15185,CHITARAQUE,0.84,2021.000000
15187,CHIVATÁ,1,2021.000000
15236,CHIVOR,1,2021.000000
15189,CIÉNEGA,1,2021.000000
15204,CÓMBITA,0.95,2021.000000
15212,COPER,1,2021.000000
15215,CORRALES,1,2021.000000
15218,COVARACHÍA,1,2021.000000
15223,CUBARÁ,0.918,2021.000000
15224,CUCAITA,1,2021.000000
15226,CUÍTIVA,1,2021.000000
15238,DUITAMA,1,2021.000000
15244,EL COCUY,1,2021.000000
15248,EL ESPINO,1,2021.000000
15272,FIRAVITOBA,1,2021.000000
15276,FLORESTA,1,2021.000000
15293,GACHANTIVÁ,1,2021.000000
15296,GAMEZA,0.82,2021.000000
15299,GARAGOA,1,2021.000000
15317,GUACAMAYAS,1,2021.000000
15322,GUATEQUE,0.93,2021.000000
15325,GUAYATÁ,1,2021.000000
15332,GÜICÁN,1,2021.000000
15362,IZA,1,2021.000000
15367,JENESANO,1,2021.000000
15368,JERICÓ,1,2021.000000
15380,LA CAPILLA,1,2021.000000
15403,LA UVITA,1,2021.000000
15401,LA VICTORIA,0.93,2021.000000
15377,LABRANZAGRANDE,1,2021.000000
15425,MACANAL,1,2021.000000
15442,MARIPÍ,1,2021.000000
15455,MIRAFLORES,0.99,2021.000000
15464,MONGUA,0.9,2021.000000
15466,MONGUÍ,1,2021.000000
15469,MONIQUIRÁ,1,2021.000000
15476,MOTAVITA,1,2021.000000
15480,MUZO,1,2021.000000
15491,NOBSA,1,2021.000000
15494,NUEVO COLÓN,1,2021.000000
15500,OICATÁ,0.9,2021.000000
15507,OTANCHE,1,2021.000000
15511,PACHAVITA,1,2021.000000
15514,PÁEZ,1,2021.000000
15516,PAIPA,1,2021.000000
15518,PAJARITO,1,2021.000000
15522,PANQUEBA,1,2021.000000
15531,PAUNA,1,2021.000000
15533,PAYA,1,2021.000000
15537,PAZ DE RIO,0.98,2021.000000
15542,PESCA,0.98,2021.000000
15550,PISVA,1,2021.000000
15572,PUERTO BOYACÁ,1,2021.000000
15580,QUÍPAMA,1,2021.000000
15599,RAMIRIQUÍ,0.85,2021.000000
15600,RÁQUIRA,1,2021.000000
15621,RONDÓN,0.98,2021.000000
15632,SABOYÁ,1,2021.000000
15638,SÁCHICA,1,2021.000000
15646,SAMACÁ,1,2021.000000
15660,SAN EDUARDO,1,2021.000000
15664,SAN JOSÉ DE PARE,1,2021.000000
15667,SAN LUIS DE GACENO,0.97,2021.000000
15673,SAN MATEO,1,2021.000000
15676,SAN MIGUEL DE SEMA,1,2021.000000
15681,SAN PABLO DE BORBUR,1,2021.000000
15690,SANTA MARÍA,1,2021.000000
15693,SANTA ROSA DE VITERBO,1,2021.000000
15696,SANTA SOFÍA,1,2021.000000
15686,SANTANA,1,2021.000000
15720,SATIVANORTE,1,2021.000000
15723,SATIVASUR,1,2021.000000
15740,SIACHOQUE,1,2021.000000
15753,SOATÁ,0.97,2021.000000
15757,SOCHA,1,2021.000000
15755,SOCOTÁ,1,2021.000000
15759,SOGAMOSO,1,2021.000000
15761,SOMONDOCO,1,2021.000000
15762,SORA,1,2021.000000
15764,SORACÁ,1,2021.000000
15763,SOTAQUIRÁ,1,2021.000000
15774,SUSACÓN,1,2021.000000
15776,SUTAMARCHÁN,0.97,2021.000000
15778,SUTATENZA,1,2021.000000
15790,TASCO,0.97,2021.000000
15798,TENZA,1,2021.000000
15804,TIBANÁ,1,2021.000000
15806,TIBASOSA,0.93,2021.000000
15808,TINJACÁ,1,2021.000000
15810,TIPACOQUE,0.98,2021.000000
15814,TOCA,0.99,2021.000000
15816,TOGÜÍ,1,2021.000000
15820,TÓPAGA,0.84,2021.000000
15822,TOTA,0.95,2021.000000
15001,TUNJA,1,2021.000000
15832,TUNUNGUÁ,1,2021.000000
15835,TURMEQUÉ,0.92,2021.000000
15837,TUTA,0.98,2021.000000
15839,TUTAZÁ,1,2021.000000
15842,UMBITA,1,2021.000000
15861,VENTAQUEMADA,1,2021.000000
15407,VILLA DE LEIVA,0.78,2021.000000
15879,VIRACACHÁ,1,2021.000000
15897,ZETAQUIRA,0.95,2021.000000
