geo,MUNICIPIO,Continuidad (horas),Año
15022,ALMEIDA,24,2021
15047,AQUITANIA,18,2021
15051,ARCABUCO,24,2021
15087,BELÉN,24,2021
15090,BERBEO,20,2021
15092,BETÉITIVA,24,2021
15097,BOAVITA,24,2021
15104,BOYACÁ,24,2021
15106,BRICEÑO,24,2021
15109,BUENAVISTA,24,2021
15114,BUSBANZÁ,24,2021
15131,CALDAS,24,2021
15135,CAMPOHERMOSO,24,2021
15162,CERINZA,24,2021
15172,CHINAVITA,24,2021
15176,CHIQUINQUIRÁ,8,2021
15232,CHÍQUIZA,24,2021
15180,CHISCAS,24,2021
15183,CHITA,20,2021
15185,CHITARAQUE,24,2021
15187,CHIVATÁ,6,2021
15236,CHIVOR,24,2021
15189,CIÉNEGA,24,2021
15204,CÓMBITA,18,2021
15212,COPER,18,2021
15215,CORRALES,24,2021
15218,COVARACHÍA,24,2021
15223,CUBARÁ,24,2021
15224,CUCAITA,12,2021
15226,CUÍTIVA,24,2021
15238,DUITAMA,24,2021
15244,EL COCUY,24,2021
15248,EL ESPINO,24,2021
15272,FIRAVITOBA,24,2021
15276,FLORESTA,23,2021
15293,GACHANTIVÁ,24,2021
15296,GAMEZA,24,2021
15299,GARAGOA,22,2021
15317,GUACAMAYAS,24,2021
15322,GUATEQUE,24,2021
15325,GUAYATÁ,24,2021
15332,GÜICÁN,24,2021
15362,IZA,24,2021
15367,JENESANO,16,2021
15368,JERICÓ,24,2021
15380,LA CAPILLA,20,2021
15403,LA UVITA,24,2021
15401,LA VICTORIA,23,2021
15377,LABRANZAGRANDE,24,2021
15425,MACANAL,23.29,2021
15442,MARIPÍ,24,2021
15455,MIRAFLORES,23.9,2021
15464,MONGUA,23,2021
15466,MONGUÍ,23,2021
15469,MONIQUIRÁ,20,2021
15476,MOTAVITA,24,2021
15480,MUZO,22,2021
15491,NOBSA,22,2021
15494,NUEVO COLÓN,24,2021
15500,OICATÁ,19,2021
15507,OTANCHE,24,2021
15511,PACHAVITA,18,2021
15514,PÁEZ,24,2021
15516,PAIPA,24,2021
15518,PAJARITO,24,2021
15522,PANQUEBA,24,2021
15531,PAUNA,24,2021
15533,PAYA,24,2021
15537,PAZ DE RIO,24,2021
15542,PESCA,24,2021
15550,PISVA,24,2021
15572,PUERTO BOYACÁ,18,2021
15580,QUÍPAMA,18,2021
15599,RAMIRIQUÍ,24,2021
15600,RÁQUIRA,24,2021
15621,RONDÓN,24,2021
15632,SABOYÁ,7,2021
15638,SÁCHICA,12,2021
15646,SAMACÁ,23,2021
15660,SAN EDUARDO,24,2021
15664,SAN JOSÉ DE PARE,24,2021
15667,SAN LUIS DE GACENO,24,2021
15673,SAN MATEO,24,2021
15676,SAN MIGUEL DE SEMA,24,2021
15681,SAN PABLO DE BORBUR,24,2021
15690,SANTA MARÍA,24,2021
15693,SANTA ROSA DE VITERBO,24,2021
15696,SANTA SOFÍA,24,2021
15686,SANTANA,20,2021
15720,SATIVANORTE,24,2021
15723,SATIVASUR,24,2021
15740,SIACHOQUE,22,2021
15753,SOATÁ,24,2021
15757,SOCHA,22,2021
15755,SOCOTÁ,20,2021
15759,SOGAMOSO,24,2021
15761,SOMONDOCO,20,2021
15762,SORA,24,2021
15764,SORACÁ,24,2021
15763,SOTAQUIRÁ,24,2021
15774,SUSACÓN,20,2021
15776,SUTAMARCHÁN,24,2021
15778,SUTATENZA,16,2021
15790,TASCO,21,2021
15798,TENZA,20,2021
15804,TIBANÁ,24,2021
15806,TIBASOSA,24,2021
15808,TINJACÁ,24,2021
15810,TIPACOQUE,24,2021
15814,TOCA,24,2021
15816,TOGÜÍ,24,2021
15820,TÓPAGA,8,2021
15822,TOTA,24,2021
15001,TUNJA,24,2021
15832,TUNUNGUÁ,24,2021
15835,TURMEQUÉ,20,2021
15837,TUTA,24,2021
15839,TUTAZÁ,24,2021
15842,UMBITA,24,2021
15861,VENTAQUEMADA,24,2021
15407,VILLA DE LEIVA,20,2021
15879,VIRACACHÁ,24,2021
15897,ZETAQUIRA,24,2021
