geo,MUNICIPIO,IRCA URBANO,año
15022,ALMEIDA,0.011500,2021
15047,AQUITANIA,0.005500,2021
15051,ARCABUCO,0.016700,2021
15087,BELÉN,0.026200,2021
15090,BERBEO,0.044700,2021
15092,BETÉITIVA,0.074300,2021
15097,BOAVITA,0.000000,2021
15104,BOYACÁ,0.010300,2021
15106,BRICEÑO,0.034700,2021
15109,BUENAVISTA,0.027600,2021
15114,BUSBANZÁ,0.000000,2021
15131,CALDAS,0.321100,2021
15135,CAMPOHERMOSO,0.043900,2021
15162,CERINZA,0.000000,2021
15172,CHINAVITA,0.009800,2021
15176,CHIQUINQUIRÁ,0.017100,2021
15232,CHÍQUIZA,0.055200,2021
15180,CHISCAS,0.000000,2021
15183,CHITA,0.000000,2021
15185,CHITARAQUE,0.051600,2021
15187,CHIVATÁ,0.000000,2021
15236,CHIVOR,0.016200,2021
15189,CIÉNEGA,0.032500,2021
15204,CÓMBITA,0.067800,2021
15212,COPER,0.000000,2021
15215,CORRALES,0.137900,2021
15218,COVARACHÍA,0.000000,2021
15223,CUBARÁ,0.000000,2021
15224,CUCAITA,0.247100,2021
15226,CUÍTIVA,0.018500,2021
15238,DUITAMA,0.006900,2021
15244,EL COCUY,0.061300,2021
15248,EL ESPINO,0.040800,2021
15272,FIRAVITOBA,0.046800,2021
15276,FLORESTA,0.108000,2021
15293,GACHANTIVÁ,0.024000,2021
15296,GAMEZA,0.137200,2021
15299,GARAGOA,0.023100,2021
15317,GUACAMAYAS,0.003900,2021
15322,GUATEQUE,0.095600,2021
15325,GUAYATÁ,0.237000,2021
15332,GÜICÁN,0.026300,2021
15362,IZA,0.000000,2021
15367,JENESANO,0.011900,2021
15368,JERICÓ,0.023000,2021
15380,LA CAPILLA,0.003200,2021
15403,LA UVITA,0.037800,2021
15401,LA VICTORIA,0.000000,2021
15377,LABRANZAGRANDE,0.000000,2021
15425,MACANAL,0.000000,2021
15442,MARIPÍ,0.000000,2021
15455,MIRAFLORES,0.003300,2021
15464,MONGUA,0.219200,2021
15466,MONGUÍ,0.136300,2021
15469,MONIQUIRÁ,0.017000,2021
15476,MOTAVITA,0.200300,2021
15480,MUZO,0.062400,2021
15491,NOBSA,0.000000,2021
15494,NUEVO COLÓN,0.024300,2021
15500,OICATÁ,0.024600,2021
15507,OTANCHE,0.056200,2021
15511,PACHAVITA,0.023800,2021
15514,PÁEZ,0.123900,2021
15516,PAIPA,0.013600,2021
15518,PAJARITO,0.000000,2021
15522,PANQUEBA,0.000000,2021
15531,PAUNA,0.037400,2021
15533,PAYA,0.012300,2021
15537,PAZ DE RIO,0.073400,2021
15542,PESCA,0.015300,2021
15550,PISVA,0.029700,2021
15572,PUERTO BOYACÁ,0.020400,2021
15580,QUÍPAMA,0.049900,2021
15599,RAMIRIQUÍ,0.010500,2021
15600,RÁQUIRA,0.251000,2021
15621,RONDÓN,0.033300,2021
15632,SABOYÁ,0.123300,2021
15638,SÁCHICA,0.076500,2021
15646,SAMACÁ,0.052000,2021
15660,SAN EDUARDO,0.096900,2021
15664,SAN JOSÉ DE PARE,0.007200,2021
15667,SAN LUIS DE GACENO,0.122900,2021
15673,SAN MATEO,0.152700,2021
15676,SAN MIGUEL DE SEMA,0.072100,2021
15681,SAN PABLO DE BORBUR,0.021900,2021
15690,SANTA MARÍA,0.062400,2021
15693,SANTA ROSA DE VITERBO,0.002900,2021
15696,SANTA SOFÍA,0.065900,2021
15686,SANTANA,0.044600,2021
15720,SATIVANORTE,0.020400,2021
15723,SATIVASUR,0.045700,2021
15740,SIACHOQUE,0.001500,2021
15753,SOATÁ,0.111100,2021
15757,SOCHA,0.099800,2021
15755,SOCOTÁ,0.020400,2021
15759,SOGAMOSO,0.008700,2021
15761,SOMONDOCO,0.014500,2021
15762,SORA,0.019000,2021
15764,SORACÁ,0.201000,2021
15763,SOTAQUIRÁ,0.001200,2021
15774,SUSACÓN,0.095000,2021
15776,SUTAMARCHÁN,0.263300,2021
15778,SUTATENZA,0.105800,2021
15790,TASCO,0.050000,2021
15798,TENZA,0.044400,2021
15804,TIBANÁ,0.012700,2021
15806,TIBASOSA,0.022500,2021
15808,TINJACÁ,0.195900,2021
15810,TIPACOQUE,0.074300,2021
15814,TOCA,0.125100,2021
15816,TOGÜÍ,0.075500,2021
15820,TÓPAGA,0.029500,2021
15822,TOTA,0.000000,2021
15001,TUNJA,0.008800,2021
15832,TUNUNGUÁ,0.164400,2021
15835,TURMEQUÉ,0.022300,2021
15837,TUTA,0.015100,2021
15839,TUTAZÁ,0.144800,2021
15842,UMBITA,0.008300,2021
15861,VENTAQUEMADA,0.000000,2021
15407,VILLA DE LEIVA,0.006200,2021
15879,VIRACACHÁ,0.121600,2021
15897,ZETAQUIRA,0.106100,2021
