geo,MUNICIPIO,CONTINUIDAD ACUEDUCTO DIAS A LA SEMANA URBANA,Año
15022,ALMEIDA,7,2021
15047,AQUITANIA,7,2021
15051,ARCABUCO,7,2021
15087,BELÉN,7,2021
15090,BERBEO,7,2021
15092,BETÉITIVA,7,2021
15097,BOAVITA,7,2021
15104,BOYACÁ,7,2021
15106,BRICEÑO,7,2021
15109,BUENAVISTA,7,2021
15114,BUSBANZÁ,7,2021
15131,CALDAS,7,2021
15135,CAMPOHERMOSO,7,2021
15162,CERINZA,7,2021
15172,CHINAVITA,7,2021
15176,CHIQUINQUIRÁ,7,2021
15232,CHÍQUIZA,7,2021
15180,CHISCAS,7,2021
15183,CHITA,7,2021
15185,CHITARAQUE,7,2021
15187,CHIVATÁ,6,2021
15236,CHIVOR,7,2021
15189,CIÉNEGA,7,2021
15204,CÓMBITA,7,2021
15212,COPER,7,2021
15215,CORRALES,7,2021
15218,COVARACHÍA,7,2021
15223,CUBARÁ,7,2021
15224,CUCAITA,7,2021
15226,CUÍTIVA,7,2021
15238,DUITAMA,7,2021
15244,EL COCUY,7,2021
15248,EL ESPINO,7,2021
15272,FIRAVITOBA,7,2021
15276,FLORESTA,7,2021
15293,GACHANTIVÁ,7,2021
15296,GAMEZA,7,2021
15299,GARAGOA,7,2021
15317,GUACAMAYAS,7,2021
15322,GUATEQUE,7,2021
15325,GUAYATÁ,7,2021
15332,GÜICÁN,7,2021
15362,IZA,7,2021
15367,JENESANO,7,2021
15368,JERICÓ,7,2021
15380,LA CAPILLA,7,2021
15403,LA UVITA,7,2021
15401,LA VICTORIA,7,2021
15377,LABRANZAGRANDE,7,2021
15425,MACANAL,7,2021
15442,MARIPÍ,7,2021
15455,MIRAFLORES,7,2021
15464,MONGUA,7,2021
15466,MONGUÍ,7,2021
15469,MONIQUIRÁ,7,2021
15476,MOTAVITA,7,2021
15480,MUZO,7,2021
15491,NOBSA,7,2021
15494,NUEVO COLÓN,7,2021
15500,OICATÁ,7,2021
15507,OTANCHE,7,2021
15511,PACHAVITA,7,2021
15514,PÁEZ,7,2021
15516,PAIPA,7,2021
15518,PAJARITO,7,2021
15522,PANQUEBA,7,2021
15531,PAUNA,7,2021
15533,PAYA,7,2021
15537,PAZ DE RIO,7,2021
15542,PESCA,7,2021
15550,PISVA,7,2021
15572,PUERTO BOYACÁ,7,2021
15580,QUÍPAMA,7,2021
15599,RAMIRIQUÍ,7,2021
15600,RÁQUIRA,7,2021
15621,RONDÓN,7,2021
15632,SABOYÁ,7,2021
15638,SÁCHICA,7,2021
15646,SAMACÁ,7,2021
15660,SAN EDUARDO,7,2021
15664,SAN JOSÉ DE PARE,7,2021
15667,SAN LUIS DE GACENO,7,2021
15673,SAN MATEO,7,2021
15676,SAN MIGUEL DE SEMA,7,2021
15681,SAN PABLO DE BORBUR,7,2021
15690,SANTA MARÍA,7,2021
15693,SANTA ROSA DE VITERBO,7,2021
15696,SANTA SOFÍA,7,2021
15686,SANTANA,7,2021
15720,SATIVANORTE,7,2021
15723,SATIVASUR,7,2021
15740,SIACHOQUE,7,2021
15753,SOATÁ,7,2021
15757,SOCHA,7,2021
15755,SOCOTÁ,7,2021
15759,SOGAMOSO,7,2021
15761,SOMONDOCO,7,2021
15762,SORA,7,2021
15764,SORACÁ,7,2021
15763,SOTAQUIRÁ,7,2021
15774,SUSACÓN,7,2021
15776,SUTAMARCHÁN,7,2021
15778,SUTATENZA,7,2021
15790,TASCO,6,2021
15798,TENZA,7,2021
15804,TIBANÁ,7,2021
15806,TIBASOSA,7,2021
15808,TINJACÁ,7,2021
15810,TIPACOQUE,7,2021
15814,TOCA,7,2021
15816,TOGÜÍ,7,2021
15820,TÓPAGA,7,2021
15822,TOTA,7,2021
15001,TUNJA,7,2021
15832,TUNUNGUÁ,7,2021
15835,TURMEQUÉ,7,2021
15837,TUTA,7,2021
15839,TUTAZÁ,7,2021
15842,UMBITA,7,2021
15861,VENTAQUEMADA,7,2021
15407,VILLA DE LEIVA,7,2021
15879,VIRACACHÁ,7,2021
15897,ZETAQUIRA,7,2021
