geo,Municipio,Hectareas
15001,Tunja,843.29
15047,Aquitania,56025.78
15051,Arcabuco,2870.07
15087,Belén,18612.15
15090,Berbeo,22.6
15092,Betéitiva,2148.61
15162,Cerinza,3302.73
15180,Chiscas,51262.84
15183,Chita,45423
15187,Chivatá,95.46
15204,Combita,2620.07
15224,Cucaita,614.16
15226,Cuìtiva,977.85
15232,Chíquiza,3549.02
15238,Duitama,14442.87
15244,El Cocuy,23379.72
15248,El Espino,2718.28
15272,Firavitoba,815.89
15276,Floresta,1065.83
15296,Gameza,8844.33
15317,Guacamayas,1759.16
15332,Güicán,73974.01
15362,Iza,322.65
15368,Jericó,2737.86
15403,La Uvita,5634.61
15407,Villa De Leyva,836.44
15455,Miraflores,2359.51
15464,Mongua,18499.74
15466,Monguì,5186.35
15476,Motavita,692.28
15491,Nobsa,376.51
15516,Paipa,2865.6
15522,Panqueba,963.52
15537,Paz De Río,3649.79
15542,Pesca,11442.64
15621,Rondón,2284.51
15646,Samacá,4227.99
15660,San Eduardo,131.88
15673,San Mateo,2283.87
15693,Santa Rosa De Viterbo,5258.84
15696,Santa Sofía,200.24
15720,Sativanorte,8656.21
15723,Sativasur,1842.21
15740,Siachoque,5766.97
15753,Soatá,2777.11
15755,Socotá,39279.21
15757,Socha,10010.65
15759,Sogamoso,10422.8
15762,Sora,107.55
15763,Sotaquirá,10812.41
15764,Soracá,43.21
15774,Susacón,9400.64
15776,Sutamarchàn,469.88
15790,Tasco,13866.12
15806,Tibasosa,336.28
15808,Tinjacá,91.7
15810,Tipacoque,416.82
15814,Toca,6184.53
15820,Tópaga,332.89
15822,Tota,12070.01
15837,Tuta,740.85
15839,Tutazá,15426.5
15897,Zetaquirá,2968.5
