geo,Municipio,Porcentaje
15001,Tunja,1.01
15047,Aquitania,19.6
15051,Arcabuco,28.45
15087,Belén,18.67
15090,Berbeo,27.62
15092,Betéitiva,1.68
15097,Boavita,4.31
15106,Briceño,21.89
15114,Busbanzá,0.1
15162,Cerinza,6.26
15180,Chiscas,23.02
15183,Chita,26.09
15185,Chitaraque,27.1
15187,Chivatá,0.17
15204,Combita,3.2
15212,Coper,27.29
15215,Corrales,0.15
15218,Covarachia,6.09
15224,Cucaita,2.17
15226,Cuìtiva,0.18
15232,Chíquiza,7.42
15238,Duitama,18.31
15244,El Cocuy,2.53
15248,El Espino,16.1
15272,Firavitoba,0.31
15276,Floresta,2.24
15293,Gachantivá,8.65
15296,Gameza,3.26
15317,Guacamayas,24.86
15332,Güicán,15.86
15362,Iza,0.41
15368,Jericó,0.04
15401,La Victoria,29.79
15403,La Uvita,8.23
15407,Villa De Leyva,9.95
15442,Maripí,26.5
15455,Miraflores,30.24
15464,Mongua,22.37
15466,Monguì,0.71
15469,Moniquira,19.99
15476,Motavita,0.89
15480,Muzo,27.26
15491,Nobsa,4.66
15500,Oicata,0.06
15507,Otanche,43.34
15514,Páez,46.33
15516,Paipa,15.58
15522,Panqueba,16.02
15531,Pauna,30.82
15537,Paz De Río,3.99
15542,Pesca,14.46
15572,Puerto Boyacá,13.82
15580,Quípama,23.04
15621,Rondón,27.08
15638,Sáchica,0.11
15646,Samacá,6.36
15660,San Eduardo,37.24
15664,San José De Pare,8.87
15673,San Mateo,25.51
15681,San Pablo De Borbur,29.59
15686,Santana,8.26
15693,Santa Rosa De Viterbo,7.29
15696,Santa Sofía,1.23
15720,Sativanorte,1.61
15723,Sativasur,0.79
15740,Siachoque,0.12
15753,Soatá,9.59
15755,Socotá,21.24
15757,Socha,2.42
15759,Sogamoso,1.35
15762,Sora,0.29
15763,Sotaquirá,24.33
15764,Soracá,0.07
15774,Susacón,6.26
15776,Sutamarchàn,0.49
15790,Tasco,2.16
15806,Tibasosa,0.86
15808,Tinjacá,1.48
15810,Tipacoque,11.02
15814,Toca,0.01
15816,Togüí,27.02
15820,Tópaga,4.49
15822,Tota,4.21
15832,Tununguá,27.7
15837,Tuta,0.37
15839,Tutazá,6.58
15897,Zetaquirá,33.98
