Provincia,Cuerpos de agua,SI,Zona urbana,Á agrícolas de producción,ÁF de Producción,ÁF de Protección,Áreas protegidas
Centro,1111.1,0.61,2686.16,5959.93,108850.91,33930.82,9455.69
Gutiérrez,130.97,0,200.96,0,21445.02,58044.98,118405.46
Lengupá,355.11,0,617.13,0,64460.98,33713.9,2209.66
Manejo especial,2307.89,0,350.09,16323.15,98448.3,13186.26,15678.87
Márquez,40.78,2750.06,16.37,0,12548.66,2971.61,0
Norte,324.15,0,354.62,168.47,65480.77,45231.61,1181.36
Occidente,690.73,9944.33,120.53,0,109248.61,51183.92,5763.81
Ricaurte,582.62,0,706.47,15559.69,76908.86,27350.51,7539.18
Sugamuxi,5763.76,0.03,3193.14,5691.16,104774.27,96017.54,40588.67
Tundama,329.34,5721.17,1788.67,8444.96,65758.32,40609.09,18255.87
Valderrama,240.34,0,332.13,0,65399.6,108549.86,31763.57
