geo,Municipio,Porcentaje,Año
15001,Tunja,31.35,2020
15001,Tunja,31.4,2021
15001,Tunja,38.83,2022
15001,Tunja,47.01,2023
15001,Tunja,47.01,2024
15001,Tunja,6.54,2025
15022,Almeida,40.49,2020
15022,Almeida,31.26,2021
15022,Almeida,13.95,2022
15022,Almeida,14.3,2023
15022,Almeida,14.3,2024
15022,Almeida,14.3,2025
15047,Aquitania,0.5,2020
15047,Aquitania,9.96,2021
15047,Aquitania,17.29,2022
15047,Aquitania,11.66,2023
15047,Aquitania,90.02,2024
15047,Aquitania,90.13,2025
15051,Arcabuco,49.14,2020
15051,Arcabuco,49.14,2021
15051,Arcabuco,49.24,2022
15051,Arcabuco,19.56,2023
15051,Arcabuco,19.56,2025
15087,Belén,99.49,2020
15087,Belén,99.49,2021
15087,Belén,100,2022
15087,Belén,0,2025
15090,Berbeo,36.75,2020
15090,Berbeo,40.59,2021
15090,Berbeo,85.71,2022
15090,Berbeo,44.09,2023
15090,Berbeo,44.67,2024
15090,Berbeo,44.82,2025
15092,Betéitiva,0,2020
15092,Betéitiva,0,2021
15092,Betéitiva,92.95,2022
15092,Betéitiva,1.5,2023
15092,Betéitiva,15.37,2024
15092,Betéitiva,15.37,2025
15097,Boavita,10.1,2020
15097,Boavita,56.38,2021
15097,Boavita,20,2022
15097,Boavita,71.4,2023
15097,Boavita,72.9,2024
15097,Boavita,73.76,2025
15104,Boyacá,97.79,2020
15104,Boyacá,97.79,2021
15104,Boyacá,97.75,2022
15104,Boyacá,81.57,2023
15104,Boyacá,81.57,2024
15104,Boyacá,81.64,2025
15106,Briceño,46.62,2020
15106,Briceño,51.5,2021
15106,Briceño,46.79,2022
15106,Briceño,46.79,2023
15106,Briceño,44.7,2024
15106,Briceño,44.7,2025
15109,Buenavista,0,2020
15109,Buenavista,0,2021
15109,Buenavista,0,2022
15109,Buenavista,0,2024
15109,Buenavista,0,2025
15114,Busbanzá,99.45,2020
15114,Busbanzá,95.8,2021
15114,Busbanzá,100,2022
15114,Busbanzá,100,2023
15114,Busbanzá,95.8,2024
15114,Busbanzá,100,2025
15131,Caldas,100,2020
15131,Caldas,78.26,2021
15131,Caldas,78.26,2022
15131,Caldas,77.78,2023
15131,Caldas,100,2024
15131,Caldas,39.65,2025
15135,Campohermoso,100,2022
15135,Campohermoso,100,2023
15135,Campohermoso,100,2024
15162,Cerinza,0,2020
15162,Cerinza,0,2021
15162,Cerinza,0,2022
15162,Cerinza,95.42,2023
15162,Cerinza,95.42,2024
15162,Cerinza,95.42,2025
15172,Chinavita,94.19,2020
15172,Chinavita,94.19,2021
15172,Chinavita,94.19,2022
15172,Chinavita,94.19,2023
15172,Chinavita,94.19,2025
15176,Chiquinquirá,74.63,2020
15176,Chiquinquirá,74.47,2021
15176,Chiquinquirá,74.69,2022
15176,Chiquinquirá,74.74,2023
15180,Chiscas,48.31,2020
15180,Chiscas,48.28,2021
15180,Chiscas,15.23,2022
15180,Chiscas,48.43,2023
15180,Chiscas,48.43,2024
15180,Chiscas,48.43,2025
15183,Chita,55.05,2020
15183,Chita,55.05,2021
15183,Chita,58.58,2022
15183,Chita,44.81,2023
15183,Chita,49.63,2024
15183,Chita,54.77,2025
15185,Chitaraque,69.42,2020
15185,Chitaraque,56.6,2021
15185,Chitaraque,100,2022
15185,Chitaraque,15.51,2023
15185,Chitaraque,10.28,2024
15185,Chitaraque,10.28,2025
15187,Chivatá,42.76,2020
15187,Chivatá,42.76,2021
15187,Chivatá,58.83,2022
15187,Chivatá,100,2023
15187,Chivatá,100,2024
15189,Ciénega,100,2020
15189,Ciénega,100,2021
15189,Ciénega,100,2022
15189,Ciénega,100,2023
15189,Ciénega,58,2025
15204,Combita,27.35,2020
15204,Combita,27.35,2021
15204,Combita,27.74,2022
15204,Combita,30.04,2023
15204,Combita,30.04,2024
15204,Combita,42.06,2025
15212,Coper,0,2021
15212,Coper,0,2022
15212,Coper,27,2023
15212,Coper,100,2024
15212,Coper,100,2025
15215,Corrales,0,2020
15215,Corrales,0,2021
15215,Corrales,10.07,2022
15215,Corrales,10.31,2023
15215,Corrales,8.55,2024
15215,Corrales,9.32,2025
15218,Covarachia,52.53,2022
15218,Covarachia,52.53,2023
15218,Covarachia,52.53,2024
15218,Covarachia,52.53,2025
15223,Cubará,38.74,2020
15223,Cubará,89.02,2021
15223,Cubará,89.07,2022
15223,Cubará,89.07,2023
15223,Cubará,89.88,2024
15224,Cucaita,52.68,2020
15224,Cucaita,40.37,2021
15224,Cucaita,50.68,2022
15224,Cucaita,92.72,2023
15224,Cucaita,92.72,2024
15224,Cucaita,92.72,2025
15226,Cuìtiva,64.02,2020
15226,Cuìtiva,64.02,2021
15226,Cuìtiva,64.91,2022
15226,Cuìtiva,64.91,2023
15226,Cuìtiva,64.91,2024
15226,Cuìtiva,100,2025
15232,Chíquiza,72.14,2020
15232,Chíquiza,100,2021
15232,Chíquiza,100,2022
15232,Chíquiza,100,2023
15232,Chíquiza,100,2024
15232,Chíquiza,100,2025
15236,Chivor,0,2020
15236,Chivor,24.48,2021
15236,Chivor,33.55,2022
15236,Chivor,41.87,2023
15236,Chivor,54.71,2024
15236,Chivor,39.06,2025
15238,Duitama,99.31,2020
15238,Duitama,99.28,2021
15238,Duitama,98.59,2022
15238,Duitama,98.6,2023
15238,Duitama,97.17,2024
15238,Duitama,73.61,2025
15244,El Cocuy,0,2020
15244,El Cocuy,0,2021
15244,El Cocuy,0.41,2022
15244,El Cocuy,60.63,2023
15244,El Cocuy,85.15,2024
15244,El Cocuy,85.39,2025
15248,El Espino,100,2020
15248,El Espino,100,2021
15248,El Espino,100,2022
15248,El Espino,100,2023
15248,El Espino,100,2024
15248,El Espino,100,2025
15272,Firavitoba,100,2020
15272,Firavitoba,99.72,2021
15272,Firavitoba,94.11,2022
15272,Firavitoba,0,2023
15272,Firavitoba,0,2024
15272,Firavitoba,0,2025
15276,Floresta,100,2020
15276,Floresta,100,2021
15293,Gachantivá,56.94,2020
15293,Gachantivá,56.94,2021
15293,Gachantivá,56.94,2022
15293,Gachantivá,55.64,2023
15293,Gachantivá,55.71,2024
15293,Gachantivá,55.71,2025
15296,Gameza,10.12,2020
15296,Gameza,10.12,2021
15296,Gameza,10.12,2022
15296,Gameza,12.26,2023
15296,Gameza,12.26,2024
15296,Gameza,12.26,2025
15299,Garagoa,0,2020
15299,Garagoa,51.82,2022
15299,Garagoa,96.46,2023
15299,Garagoa,96.46,2024
15299,Garagoa,96.46,2025
15317,Guacamayas,17.02,2020
15317,Guacamayas,21.15,2021
15317,Guacamayas,23.82,2022
15317,Guacamayas,23.82,2023
15317,Guacamayas,100,2024
15317,Guacamayas,19.38,2025
15322,Guateque,7.74,2020
15322,Guateque,7.72,2021
15322,Guateque,5.23,2022
15322,Guateque,7.87,2023
15322,Guateque,7.87,2024
15322,Guateque,5.23,2025
15325,Guayatá,23.15,2020
15325,Guayatá,23.1,2021
15325,Guayatá,23.09,2022
15325,Guayatá,23.11,2023
15325,Guayatá,41.24,2024
15325,Guayatá,99.79,2025
15332,Güicán,10.24,2020
15332,Güicán,10.24,2021
15332,Güicán,10.24,2022
15332,Güicán,1.13,2023
15332,Güicán,1.13,2024
15332,Güicán,1.64,2025
15362,Iza,78.77,2021
15362,Iza,78.82,2022
15362,Iza,78.82,2024
15362,Iza,78.82,2025
15367,Jenesano,98.89,2020
15367,Jenesano,98.89,2021
