geo,Municipio,Horas,Año
15001,Tunja,24,2020
15001,Tunja,24,2021
15001,Tunja,24,2022
15001,Tunja,24,2023
15001,Tunja,23.92,2024
15001,Tunja,24,2025
15051,Arcabuco,24,2020
15051,Arcabuco,24,2021
15051,Arcabuco,24,2022
15051,Arcabuco,24,2023
15051,Arcabuco,24,2024
15051,Arcabuco,24,2025
15087,Belén,23.6,2020
15087,Belén,23.6,2021
15087,Belén,23.6,2022
15087,Belén,23.9,2023
15087,Belén,23.76,2024
15087,Belén,23.6,2025
15090,Berbeo,24,2021
15090,Berbeo,24,2022
15090,Berbeo,24,2025
15092,Betéitiva,14.97,2020
15092,Betéitiva,18,2021
15092,Betéitiva,18,2022
15092,Betéitiva,16.6,2023
15092,Betéitiva,24,2024
15092,Betéitiva,9.91,2025
15097,Boavita,23.97,2020
15097,Boavita,24,2021
15097,Boavita,24,2022
15097,Boavita,24,2023
15097,Boavita,24,2024
15097,Boavita,24,2025
15104,Boyacá,24,2020
15104,Boyacá,0.8,2022
15104,Boyacá,24,2024
15106,Briceño,24,2020
15106,Briceño,22.29,2021
15106,Briceño,14.66,2022
15106,Briceño,24,2023
15106,Briceño,24,2024
15106,Briceño,24,2025
15114,Busbanzá,19.13,2020
15114,Busbanzá,22.43,2021
15114,Busbanzá,24,2022
15114,Busbanzá,24,2023
15114,Busbanzá,24,2024
15114,Busbanzá,24,2025
15131,Caldas,9.45,2020
15131,Caldas,21.5,2021
15131,Caldas,18,2023
15131,Caldas,24,2024
15131,Caldas,21.77,2025
15135,Campohermoso,23.3,2020
15135,Campohermoso,12.37,2021
15135,Campohermoso,23.97,2022
15135,Campohermoso,24,2023
15135,Campohermoso,24,2024
15135,Campohermoso,21.78,2025
15162,Cerinza,24,2020
15162,Cerinza,0.8,2022
15162,Cerinza,24,2023
15162,Cerinza,24,2024
15176,Chiquinquirá,8.12,2021
15176,Chiquinquirá,8.04,2022
15176,Chiquinquirá,23.93,2024
15176,Chiquinquirá,10.79,2025
15180,Chiscas,24,2020
15180,Chiscas,24,2021
15180,Chiscas,24,2022
15180,Chiscas,24,2023
15180,Chiscas,24,2024
15180,Chiscas,24,2025
15183,Chita,24,2020
15183,Chita,24,2021
15183,Chita,24,2022
15183,Chita,24,2023
15183,Chita,24,2024
15183,Chita,24,2025
15187,Chivatá,24,2020
15187,Chivatá,7.64,2021
15187,Chivatá,14.18,2022
15187,Chivatá,6,2023
15187,Chivatá,24,2024
15187,Chivatá,24,2025
15189,Ciénega,24,2020
15189,Ciénega,0.8,2022
15189,Ciénega,24,2024
15204,Combita,24,2025
15212,Coper,24,2022
15212,Coper,24,2023
15212,Coper,24,2024
15212,Coper,24,2025
15215,Corrales,24,2020
15215,Corrales,16.49,2021
15215,Corrales,18.67,2022
15215,Corrales,20.2,2023
15215,Corrales,24,2024
15215,Corrales,24,2025
15223,Cubará,24,2020
15223,Cubará,24,2021
15223,Cubará,24,2022
15223,Cubará,22.3,2023
15223,Cubará,23.93,2024
15223,Cubará,24,2025
15224,Cucaita,10.57,2020
15224,Cucaita,16.41,2021
15224,Cucaita,16.19,2022
15224,Cucaita,14.6,2023
15224,Cucaita,14.6,2024
15224,Cucaita,20.13,2025
15232,Chíquiza,22.02,2020
15232,Chíquiza,24,2021
15232,Chíquiza,24,2022
15232,Chíquiza,24,2023
15232,Chíquiza,24,2024
15232,Chíquiza,24,2025
15236,Chivor,24,2021
15236,Chivor,23.81,2022
15236,Chivor,24,2023
15236,Chivor,24,2024
15236,Chivor,23.96,2025
15238,Duitama,23.84,2020
15238,Duitama,23.59,2021
15238,Duitama,23.27,2022
15238,Duitama,23.6,2023
15238,Duitama,23.49,2024
15238,Duitama,24,2025
15244,El Cocuy,24,2020
15244,El Cocuy,24,2021
15244,El Cocuy,24,2022
15244,El Cocuy,24,2023
15244,El Cocuy,24,2024
15244,El Cocuy,24,2025
15248,El Espino,24,2020
15248,El Espino,24,2021
15248,El Espino,24,2022
15248,El Espino,24,2023
15248,El Espino,24,2024
15248,El Espino,24,2025
15276,Floresta,24,2020
15276,Floresta,24,2021
15276,Floresta,24,2022
15276,Floresta,24,2023
15276,Floresta,24,2024
15276,Floresta,24,2025
15293,Gachantivá,24,2020
15293,Gachantivá,24,2021
15293,Gachantivá,24,2022
15293,Gachantivá,24,2023
15293,Gachantivá,24,2024
15293,Gachantivá,24,2025
15296,Gameza,24,2020
15296,Gameza,24,2021
15296,Gameza,24,2022
15299,Garagoa,24,2020
15299,Garagoa,24,2021
15299,Garagoa,24,2022
15299,Garagoa,24,2023
15299,Garagoa,23.82,2024
15299,Garagoa,22.58,2025
15322,Guateque,24,2025
15325,Guayatá,21.88,2020
15325,Guayatá,21.67,2021
15325,Guayatá,18.17,2025
15332,Güicán,24,2020
15332,Güicán,24,2021
15332,Güicán,23.01,2022
15332,Güicán,22.4,2023
15332,Güicán,23.71,2024
15332,Güicán,23.73,2025
15367,Jenesano,24,2023
15367,Jenesano,24,2024
15367,Jenesano,24,2025
15368,Jericó,24,2020
15368,Jericó,24,2021
15368,Jericó,21.31,2022
15368,Jericó,23.3,2023
15368,Jericó,24,2024
15368,Jericó,24,2025
15380,La Capilla,24,2020
15380,La Capilla,23.93,2021
15380,La Capilla,23.93,2022
15380,La Capilla,24,2023
15380,La Capilla,24,2024
15380,La Capilla,23.47,2025
15401,La Victoria,24,2020
15401,La Victoria,24,2021
15401,La Victoria,23.34,2022
15401,La Victoria,24,2023
15401,La Victoria,20.61,2024
15401,La Victoria,23.47,2025
15403,La Uvita,24,2020
15403,La Uvita,24,2021
15403,La Uvita,24,2022
15403,La Uvita,18.26,2025
15407,Villa De Leyva,23.47,2020
15407,Villa De Leyva,24,2021
15407,Villa De Leyva,24,2022
15407,Villa De Leyva,24,2023
15407,Villa De Leyva,23.74,2024
15407,Villa De Leyva,24,2025
15425,Macanal,24,2020
15425,Macanal,22.82,2021
15425,Macanal,24,2022
15425,Macanal,22,2023
15425,Macanal,23.96,2024
15425,Macanal,24,2025
15442,Maripí,0.8,2021
15442,Maripí,23.42,2022
15442,Maripí,24,2023
15442,Maripí,24,2024
15442,Maripí,24,2025
15455,Miraflores,23.19,2020
15455,Miraflores,23.93,2021
15455,Miraflores,22.01,2022
15455,Miraflores,22.1,2023
15455,Miraflores,23.38,2024
15455,Miraflores,24,2025
15469,Moniquira,24,2021
15469,Moniquira,22.93,2022
15469,Moniquira,24,2025
15476,Motavita,0.27,2020
15476,Motavita,2.67,2021
15476,Motavita,24,2025
15480,Muzo,24,2020
15480,Muzo,24,2021
