geo,Municipio,Acueductos
15001,Tunja,20
15022,Almeida,9
15047,Aquitania,29
15051,Arcabuco,7
15087,Belén,64
15090,Berbeo,10
15092,Betéitiva,33
15097,Boavita,30
15104,Boyacá,25
15106,Briceño,12
15109,Buenavista,20
15114,Busbanzá,2
15131,Caldas,12
15135,Campohermoso,6
15162,Cerinza,20
15172,Chinavita,19
15176,Chiquinquirá,23
15180,Chiscas,27
15183,Chita,10
15185,Chitaraque,14
15187,Chivatá,4
15189,Ciénega,11
15204,Combita,35
15212,Coper,13
15215,Corrales,8
15218,Covarachia,7
15223,Cubará,13
15224,Cucaita,8
15226,Cuìtiva,6
15232,Chíquiza,14
15236,Chivor,7
15238,Duitama,29
15244,El Cocuy,17
15248,El Espino,19
15272,Firavitoba,13
15276,Floresta,21
15293,Gachantivá,20
15296,Gameza,8
15299,Garagoa,18
15317,Guacamayas,15
15322,Guateque,12
15325,Guayatá,5
15332,Güicán,15
15362,Iza,1
15367,Jenesano,36
15368,Jericó,20
15377,Labranza Grande,17
15380,La Capilla,5
15401,La Victoria,11
15403,La Uvita,8
15407,Villa De Leyva,17
15425,Macanal,19
15442,Maripí,18
15455,Miraflores,21
15464,Mongua,21
15466,Monguì,20
15469,Moniquira,25
15476,Motavita,7
15480,Muzo,9
15491,Nobsa,9
15494,Nuevo Colón,38
15500,Oicata,3
15507,Otanche,12
15511,Pachavita,27
15514,Páez,4
15516,Paipa,49
15518,Pajarito,4
15522,Panqueba,10
15531,Pauna,23
15533,Paya,6
15537,Paz De Río,13
15542,Pesca,29
15550,Pisba,11
15572,Puerto Boyacá,38
15580,Quípama,15
15599,Ramiriquí,40
15600,Ráquira,17
15621,Rondón,12
15632,Saboyá,32
15638,Sáchica,11
15646,Samacá,36
15660,San Eduardo,10
15664,San José De Pare,9
15667,San Luis De Gaceno,10
15673,San Mateo,2
15676,San Miguel De Sema,10
15681,San Pablo De Borbur,13
15686,Santana,6
15690,Santa María,4
15693,Santa Rosa De Viterbo,37
15696,Santa Sofía,14
15720,Sativanorte,6
15723,Sativasur,2
15740,Siachoque,7
15753,Soatá,11
15755,Socotá,19
15757,Socha,11
15759,Sogamoso,2
15761,Somondoco,9
15762,Sora,5
15763,Sotaquirá,18
15764,Soracá,14
15774,Susacón,5
15776,Sutamarchàn,6
15778,Sutatenza,7
15790,Tasco,6
15798,Tenza,12
15804,Tibana,70
15806,Tibasosa,14
15808,Tinjacá,5
15810,Tipacoque,20
15814,Toca,8
15816,Togüí,7
15820,Tópaga,10
15822,Tota,14
15832,Tununguá,12
15835,Turmequé,35
15837,Tuta,7
15839,Tutazá,11
15842,Umbita,40
15861,Ventaquemada,45
15879,Viracachá,7
15897,Zetaquirá,20
