geo,Municipio,Suscriptores
15001,Tunja,1276
15022,Almeida,793
15047,Aquitania,1352
15051,Arcabuco,1277
15087,Belén,3148
15090,Berbeo,570
15092,Betéitiva,981
15097,Boavita,1389
15104,Boyacá,2600
15106,Briceño,775
15109,Buenavista,1027
15114,Busbanzá,732
15131,Caldas,1054
15135,Campohermoso,310
15162,Cerinza,925
15172,Chinavita,1209
15176,Chiquinquirá,2224
15180,Chiscas,320
15183,Chita,2643
15185,Chitaraque,561
15187,Chivatá,607
15189,Ciénega,1971
15204,Combita,4931
15212,Coper,540
15215,Corrales,220
15218,Covarachia,330
15223,Cubará,538
15224,Cucaita,775
15226,Cuìtiva,808
15232,Chíquiza,1604
15236,Chivor,338
15238,Duitama,6328
15244,El Cocuy,844
15248,El Espino,198
15272,Firavitoba,827
15276,Floresta,765
15293,Gachantivá,639
15296,Gameza,901
15299,Garagoa,1910
15317,Guacamayas,506
15322,Guateque,241
15325,Guayatá,1064
15332,Güicán,505
15362,Iza,0
15367,Jenesano,3329
15368,Jericó,1142
15377,Labranza Grande,488
15380,La Capilla,700
15401,La Victoria,200
15403,La Uvita,383
15407,Villa De Leyva,3629
15425,Macanal,1161
15442,Maripí,574
15455,Miraflores,1193
15464,Mongua,1633
15466,Monguì,1831
15469,Moniquira,3468
15476,Motavita,1583
15480,Muzo,340
15491,Nobsa,2184
15494,Nuevo Colón,1760
15500,Oicata,757
15507,Otanche,322
15511,Pachavita,1323
15514,Páez,0
15516,Paipa,7738
15518,Pajarito,191
15522,Panqueba,387
15531,Pauna,915
15533,Paya,75
15537,Paz De Río,978
15542,Pesca,2086
15550,Pisba,222
15572,Puerto Boyacá,3856
15580,Quípama,301
15599,Ramiriquí,2672
15600,Ráquira,1287
15621,Rondón,517
15632,Saboyá,4421
15638,Sáchica,802
15646,Samacá,3891
15660,San Eduardo,278
15664,San José De Pare,579
15667,San Luis De Gaceno,388
15673,San Mateo,740
15676,San Miguel De Sema,597
15681,San Pablo De Borbur,865
15686,Santana,689
15690,Santa María,99
15693,Santa Rosa De Viterbo,1324
15696,Santa Sofía,1440
15720,Sativanorte,986
15723,Sativasur,371
15740,Siachoque,2029
15753,Soatá,799
15755,Socotá,1346
15757,Socha,730
15759,Sogamoso,116
15761,Somondoco,486
15762,Sora,810
15763,Sotaquirá,3904
15764,Soracá,767
15774,Susacón,704
15776,Sutamarchàn,858
15778,Sutatenza,169
15790,Tasco,2128
15798,Tenza,448
15804,Tibana,3541
15806,Tibasosa,2622
15808,Tinjacá,252
15810,Tipacoque,1138
15814,Toca,1773
15816,Togüí,952
15820,Tópaga,530
15822,Tota,1538
15832,Tununguá,427
15835,Turmequé,2322
15837,Tuta,2689
15839,Tutazá,1002
15842,Umbita,4046
15861,Ventaquemada,7059
15879,Viracachá,1554
15897,Zetaquirá,1105
