geo,Municipio,IRCA,Año
15001,Tunja,13.97,2020
15001,Tunja,11.4,2021
15001,Tunja,14.54,2022
15001,Tunja,11.49,2023
15001,Tunja,12.07,2024
15001,Tunja,8.32,2025
15022,Almeida,2.79,2022
15022,Almeida,40.65,2023
15022,Almeida,32.5,2024
15022,Almeida,73,2025
15047,Aquitania,70.8,2021
15047,Aquitania,46.99,2022
15047,Aquitania,62.06,2023
15047,Aquitania,48.07,2024
15047,Aquitania,70.77,2025
15051,Arcabuco,50.2,2022
15051,Arcabuco,67.1,2023
15051,Arcabuco,62.58,2024
15051,Arcabuco,76.41,2025
15087,Belén,67.46,2022
15087,Belén,72.7,2023
15087,Belén,58.95,2024
15087,Belén,57.65,2025
15090,Berbeo,83.09,2022
15090,Berbeo,83.65,2023
15090,Berbeo,83.56,2024
15090,Berbeo,87.59,2025
15092,Betéitiva,72.08,2020
15092,Betéitiva,25.8,2021
15092,Betéitiva,20.82,2022
15092,Betéitiva,6.48,2023
15092,Betéitiva,52.75,2024
15092,Betéitiva,42.16,2025
15097,Boavita,86.7,2022
15097,Boavita,64.4,2023
15097,Boavita,71.7,2024
15097,Boavita,57.69,2025
15104,Boyacá,37.98,2022
15104,Boyacá,42.7,2023
15104,Boyacá,45.81,2024
15104,Boyacá,27.21,2025
15106,Briceño,90.4,2022
15106,Briceño,65.2,2023
15106,Briceño,77.44,2024
15106,Briceño,89.12,2025
15109,Buenavista,75.3,2021
15109,Buenavista,50.1,2022
15109,Buenavista,68.12,2023
15109,Buenavista,64.1,2024
15109,Buenavista,50.26,2025
15114,Busbanzá,1.9,2021
15114,Busbanzá,13.8,2022
15114,Busbanzá,16.3,2023
15114,Busbanzá,9.15,2024
15114,Busbanzá,27.22,2025
15131,Caldas,54.6,2020
15131,Caldas,77.1,2021
15131,Caldas,73.19,2022
15131,Caldas,71.45,2023
15131,Caldas,67.55,2024
15131,Caldas,64.02,2025
15135,Campohermoso,0,2022
15135,Campohermoso,13.4,2023
15135,Campohermoso,8.28,2024
15135,Campohermoso,11.22,2025
15162,Cerinza,0,2020
15162,Cerinza,23.9,2021
15162,Cerinza,15.17,2022
15162,Cerinza,7.8,2023
15162,Cerinza,22.13,2024
15162,Cerinza,1.96,2025
15172,Chinavita,82.5,2020
15172,Chinavita,77.2,2021
15172,Chinavita,67.4,2022
15172,Chinavita,68.6,2023
15172,Chinavita,80.08,2024
15172,Chinavita,82.08,2025
15176,Chiquinquirá,31.8,2020
15176,Chiquinquirá,42.7,2021
15176,Chiquinquirá,27.23,2022
15176,Chiquinquirá,30.79,2023
15176,Chiquinquirá,27.07,2024
15176,Chiquinquirá,25.92,2025
15180,Chiscas,44.8,2021
15180,Chiscas,32.6,2022
15180,Chiscas,18,2023
15180,Chiscas,38.81,2024
15180,Chiscas,12.87,2025
15183,Chita,48.8,2021
15183,Chita,40.5,2022
15183,Chita,75.1,2023
15183,Chita,27.38,2024
15183,Chita,17.96,2025
15185,Chitaraque,52.74,2022
15185,Chitaraque,52.29,2023
15185,Chitaraque,54,2024
15185,Chitaraque,53.36,2025
15187,Chivatá,4.74,2020
15187,Chivatá,4.1,2021
15187,Chivatá,13.02,2022
15187,Chivatá,4.53,2023
15187,Chivatá,17.61,2024
15187,Chivatá,7.49,2025
15189,Ciénega,47.68,2020
15189,Ciénega,50.6,2021
15189,Ciénega,47.97,2022
15189,Ciénega,46.94,2023
15189,Ciénega,49.62,2024
15189,Ciénega,62.33,2025
15204,Combita,6.64,2020
15204,Combita,10.2,2021
15204,Combita,9.58,2022
15204,Combita,8.81,2023
15204,Combita,7.05,2024
15204,Combita,9.16,2025
15212,Coper,70.1,2021
15212,Coper,34.5,2022
15212,Coper,34.85,2023
15212,Coper,43.68,2024
15212,Coper,77.55,2025
15215,Corrales,14.3,2020
15215,Corrales,37.9,2021
15215,Corrales,23.5,2022
15215,Corrales,21.5,2023
15215,Corrales,32.71,2024
15215,Corrales,48.8,2025
15218,Covarachia,27.3,2022
15218,Covarachia,10,2023
15218,Covarachia,29.86,2024
15218,Covarachia,24.17,2025
15223,Cubará,90.6,2021
15223,Cubará,73,2022
15223,Cubará,79.7,2023
15223,Cubará,53.52,2024
15223,Cubará,64.07,2025
15224,Cucaita,7.2,2020
15224,Cucaita,8.8,2021
15224,Cucaita,24.73,2022
15224,Cucaita,17.06,2023
15224,Cucaita,26.35,2024
15224,Cucaita,30.91,2025
15226,Cuìtiva,5.4,2020
15226,Cuìtiva,7.5,2021
15226,Cuìtiva,6.6,2022
15226,Cuìtiva,6.1,2023
15226,Cuìtiva,13.78,2024
15226,Cuìtiva,0,2025
15232,Chíquiza,42.4,2022
15232,Chíquiza,34.9,2023
15232,Chíquiza,9.46,2024
15232,Chíquiza,15.39,2025
15236,Chivor,76.9,2022
15236,Chivor,57.6,2023
15236,Chivor,77.14,2024
15236,Chivor,74.26,2025
15238,Duitama,5.71,2020
15238,Duitama,7.7,2021
15238,Duitama,8.45,2022
15238,Duitama,5.7,2023
15238,Duitama,12.09,2024
15238,Duitama,2.63,2025
15244,El Cocuy,80,2021
15244,El Cocuy,78.1,2022
15244,El Cocuy,73.53,2023
15244,El Cocuy,43.6,2024
15244,El Cocuy,52.05,2025
15248,El Espino,31.4,2021
15248,El Espino,38.64,2022
15248,El Espino,75.22,2023
15248,El Espino,42.78,2024
15248,El Espino,50.38,2025
15272,Firavitoba,22.15,2022
15272,Firavitoba,9.87,2023
15272,Firavitoba,19.96,2024
15272,Firavitoba,13.56,2025
15276,Floresta,55.5,2021
15276,Floresta,47.6,2022
15276,Floresta,36.83,2023
15276,Floresta,38.57,2024
15276,Floresta,47.32,2025
15293,Gachantivá,79.84,2022
15293,Gachantivá,77.98,2023
15293,Gachantivá,77.79,2024
15293,Gachantivá,87.54,2025
15296,Gameza,12.18,2020
15296,Gameza,30.6,2021
15296,Gameza,62.46,2022
15296,Gameza,50.78,2023
15296,Gameza,63.03,2024
15296,Gameza,68.45,2025
15299,Garagoa,40.66,2020
15299,Garagoa,25.7,2021
15299,Garagoa,27.26,2022
15299,Garagoa,24.05,2023
15299,Garagoa,35.73,2024
15299,Garagoa,14.07,2025
15317,Guacamayas,72.2,2021
15317,Guacamayas,44.29,2022
15317,Guacamayas,55.65,2023
15317,Guacamayas,60.08,2024
15317,Guacamayas,61.02,2025
15322,Guateque,90.5,2022
15322,Guateque,87.4,2023
15322,Guateque,81,2024
15322,Guateque,64.43,2025
15325,Guayatá,17.58,2020
15325,Guayatá,20.8,2021
15325,Guayatá,47.26,2022
15325,Guayatá,34.45,2023
15325,Guayatá,42.86,2024
15325,Guayatá,43.81,2025
15332,Güicán,80.58,2022
15332,Güicán,71.54,2023
15332,Güicán,68.41,2024
15332,Güicán,76.22,2025
15367,Jenesano,14.4,2020
15367,Jenesano,14.1,2021
15367,Jenesano,18.14,2022
15367,Jenesano,24.87,2023
15367,Jenesano,13.73,2024
15367,Jenesano,14.27,2025
15368,Jericó,62.79,2022
15368,Jericó,70.8,2023
15368,Jericó,53.17,2024
15368,Jericó,74.85,2025
15377,Labranza Grande,66.8,2020
15377,Labranza Grande,68.6,2021
15377,Labranza Grande,68.2,2022
15377,Labranza Grande,65.5,2023
15377,Labranza Grande,56.72,2024
15377,Labranza Grande,69.75,2025
15380,La Capilla,83.14,2020
15380,La Capilla,81.2,2021
15380,La Capilla,85.55,2022
15380,La Capilla,73.67,2023
15380,La Capilla,83.06,2024
15380,La Capilla,79.64,2025
15401,La Victoria,2.7,2020
15401,La Victoria,0,2021
15401,La Victoria,1.8,2022
15401,La Victoria,5.9,2023
15401,La Victoria,12.13,2024
15401,La Victoria,8.28,2025
15403,La Uvita,66.3,2022
15403,La Uvita,64.3,2023
15403,La Uvita,49.01,2024
15403,La Uvita,49.04,2025
15407,Villa De Leyva,5.27,2020
15407,Villa De Leyva,5.8,2021
15407,Villa De Leyva,8.25,2022
15407,Villa De Leyva,15.36,2023
15407,Villa De Leyva,10.56,2024
15407,Villa De Leyva,5.27,2025
15425,Macanal,63.15,2022
15425,Macanal,63.9,2023
15425,Macanal,68.57,2024
15425,Macanal,73.37,2025
15442,Maripí,4.8,2020
15442,Maripí,12.5,2021
15442,Maripí,19.3,2022
15442,Maripí,3.5,2023
15442,Maripí,7.29,2024
15442,Maripí,9.13,2025
15455,Miraflores,9.07,2020
15455,Miraflores,17.2,2021
15455,Miraflores,23.88,2022
15455,Miraflores,16.97,2023
15455,Miraflores,19.6,2024
15455,Miraflores,21.4,2025
15464,Mongua,60.5,2021
15464,Mongua,53.42,2022
15464,Mongua,58.25,2023
15464,Mongua,72.76,2024
15464,Mongua,41.02,2025
15466,Monguì,81.15,2020
15466,Monguì,83.8,2021
15466,Monguì,90.3,2022
15466,Monguì,83.7,2023
15466,Monguì,89.03,2024
15466,Monguì,78.97,2025
15469,Moniquira,61.6,2021
15469,Moniquira,72.9,2022
15469,Moniquira,74.21,2023
15469,Moniquira,70.95,2024
15469,Moniquira,73.35,2025
15476,Motavita,37,2020
15476,Motavita,4.1,2021
15476,Motavita,2.91,2022
15476,Motavita,1.2,2023
15476,Motavita,11.25,2024
15476,Motavita,6.54,2025
15480,Muzo,69.43,2022
15480,Muzo,69.2,2023
15480,Muzo,63.76,2024
15480,Muzo,57.98,2025
15491,Nobsa,6.55,2020
15491,Nobsa,2.6,2021
15491,Nobsa,9.63,2022
15491,Nobsa,15.47,2023
15491,Nobsa,12.82,2024
15491,Nobsa,17.11,2025
15494,Nuevo Colón,6,2020
15494,Nuevo Colón,11,2021
15494,Nuevo Colón,18.43,2022
15494,Nuevo Colón,25.58,2023
15494,Nuevo Colón,29.98,2024
15494,Nuevo Colón,8.25,2025
15500,Oicata,11.98,2020
15500,Oicata,3.9,2021
15500,Oicata,18.72,2022
15500,Oicata,3.21,2023
15500,Oicata,22.96,2024
15500,Oicata,15,2025
15507,Otanche,79,2021
15507,Otanche,76.1,2022
15507,Otanche,68.1,2023
15507,Otanche,68.41,2024
15507,Otanche,87.05,2025
15511,Pachavita,12.73,2020
15511,Pachavita,38.5,2021
15511,Pachavita,40.63,2022
15511,Pachavita,59.89,2023
15511,Pachavita,57.41,2024
15511,Pachavita,48.96,2025
15514,Páez,57.8,2022
15514,Páez,66.42,2023
15514,Páez,69.01,2024
15514,Páez,57.9,2025
15516,Paipa,25.5,2020
15516,Paipa,22,2021
15516,Paipa,17.06,2022
15516,Paipa,19.99,2023
15516,Paipa,21.79,2024
15516,Paipa,18.2,2025
15518,Pajarito,3.5,2022
15518,Pajarito,0,2023
15518,Pajarito,13.98,2024
15518,Pajarito,0,2025
15522,Panqueba,68.7,2022
15522,Panqueba,61.5,2023
15522,Panqueba,74.34,2024
15522,Panqueba,68.04,2025
15531,Pauna,74.4,2022
15531,Pauna,14,2023
15531,Pauna,58.11,2024
15531,Pauna,9.04,2025
15533,Paya,9,2022
15533,Paya,1.5,2023
15533,Paya,8.5,2024
15533,Paya,4.03,2025
15537,Paz De Río,43.11,2022
15537,Paz De Río,44.4,2023
15537,Paz De Río,46.19,2024
15537,Paz De Río,42.91,2025
15542,Pesca,14,2020
15542,Pesca,51.8,2021
15542,Pesca,48.02,2022
15542,Pesca,45.13,2023
15542,Pesca,65.28,2024
15542,Pesca,70.92,2025
15550,Pisba,2.31,2022
15550,Pisba,2.75,2023
15550,Pisba,15.37,2024
15550,Pisba,17.54,2025
15572,Puerto Boyacá,43.4,2021
15572,Puerto Boyacá,47.51,2022
15572,Puerto Boyacá,42.27,2023
15572,Puerto Boyacá,52.45,2024
15572,Puerto Boyacá,30.52,2025
15580,Quípama,26.9,2020
15580,Quípama,13.6,2021
15580,Quípama,8.57,2022
15580,Quípama,18.5,2023
15580,Quípama,6.25,2024
15580,Quípama,3.15,2025
15599,Ramiriquí,2.32,2020
15599,Ramiriquí,49.1,2021
15599,Ramiriquí,34.62,2022
15599,Ramiriquí,44.95,2023
15599,Ramiriquí,42.48,2024
15599,Ramiriquí,39.29,2025
15600,Ráquira,26.8,2021
15600,Ráquira,48.37,2022
15600,Ráquira,35.13,2023
15600,Ráquira,35.98,2024
15600,Ráquira,44.47,2025
15621,Rondón,82.05,2022
15621,Rondón,79.95,2023
15621,Rondón,69.48,2024
15621,Rondón,0,2025
15632,Saboyá,80.2,2021
15632,Saboyá,79.56,2022
15632,Saboyá,62.84,2023
15632,Saboyá,32.98,2024
15632,Saboyá,40.69,2025
15638,Sáchica,8.3,2022
15638,Sáchica,16.3,2023
15638,Sáchica,13.8,2024
15638,Sáchica,14.61,2025
15646,Samacá,18.48,2020
15646,Samacá,41.7,2021
15646,Samacá,38.84,2022
15646,Samacá,48.27,2023
15646,Samacá,31.57,2024
15646,Samacá,33.69,2025
15660,San Eduardo,78.9,2022
15660,San Eduardo,76.5,2023
15660,San Eduardo,81.02,2024
15660,San Eduardo,82.41,2025
15664,San José De Pare,13.1,2020
15664,San José De Pare,3.9,2021
15664,San José De Pare,11.7,2022
15664,San José De Pare,28.36,2023
15664,San José De Pare,53.85,2024
15664,San José De Pare,39.52,2025
15667,San Luis De Gaceno,31.59,2022
15667,San Luis De Gaceno,29.04,2023
15667,San Luis De Gaceno,34.48,2024
15667,San Luis De Gaceno,98.06,2025
15673,San Mateo,49.68,2022
15673,San Mateo,30.17,2023
15673,San Mateo,38.35,2024
15673,San Mateo,12.91,2025
15676,San Miguel De Sema,53.55,2022
15676,San Miguel De Sema,53.2,2023
15676,San Miguel De Sema,23.16,2024
15676,San Miguel De Sema,43.74,2025
15681,San Pablo De Borbur,32.39,2022
15681,San Pablo De Borbur,45.4,2023
15681,San Pablo De Borbur,63.03,2024
15681,San Pablo De Borbur,59.64,2025
15686,Santana,89.5,2021
15686,Santana,60.33,2022
15686,Santana,49.85,2023
15686,Santana,36.45,2024
15686,Santana,40.75,2025
15690,Santa María,6,2022
15690,Santa María,6.4,2023
15690,Santa María,0,2024
15690,Santa María,3.57,2025
15693,Santa Rosa De Viterbo,19.51,2020
15693,Santa Rosa De Viterbo,12.7,2021
15693,Santa Rosa De Viterbo,18.34,2022
15693,Santa Rosa De Viterbo,22.84,2023
15693,Santa Rosa De Viterbo,18.52,2024
15693,Santa Rosa De Viterbo,15.75,2025
15696,Santa Sofía,63.4,2022
15696,Santa Sofía,48.86,2023
15696,Santa Sofía,42.29,2024
15696,Santa Sofía,41.09,2025
15720,Sativanorte,24.3,2022
15720,Sativanorte,40.19,2023
15720,Sativanorte,33.45,2024
15720,Sativanorte,2.94,2025
15723,Sativasur,12.2,2022
15723,Sativasur,4.9,2023
15723,Sativasur,7.19,2024
15723,Sativasur,2.66,2025
15740,Siachoque,26.6,2022
15740,Siachoque,95,2023
15740,Siachoque,20.79,2024
15740,Siachoque,46.47,2025
15753,Soatá,76.3,2021
15753,Soatá,81.55,2022
15753,Soatá,90.46,2023
15753,Soatá,75.31,2024
15753,Soatá,89.54,2025
15755,Socotá,85.7,2021
15755,Socotá,91.11,2022
15755,Socotá,88.64,2023
15755,Socotá,84.04,2024
15755,Socotá,63.79,2025
15757,Socha,69.2,2021
15757,Socha,78.6,2022
15757,Socha,71,2023
15757,Socha,70.68,2024
15757,Socha,70.57,2025
15759,Sogamoso,6.1,2022
15759,Sogamoso,0.6,2023
15759,Sogamoso,6.3,2024
15759,Sogamoso,2.9,2025
15761,Somondoco,62.43,2022
15761,Somondoco,71.77,2023
15761,Somondoco,80.47,2024
15761,Somondoco,49.48,2025
15762,Sora,45.78,2022
15762,Sora,17.4,2023
15762,Sora,30.12,2024
15762,Sora,25.52,2025
15763,Sotaquirá,12.8,2022
15763,Sotaquirá,10.76,2023
15763,Sotaquirá,20.6,2024
15763,Sotaquirá,8.16,2025
15764,Soracá,16.8,2020
15764,Soracá,29.1,2021
15764,Soracá,32.61,2022
15764,Soracá,39.83,2023
15764,Soracá,32.7,2024
15764,Soracá,44.52,2025
15774,Susacón,4.4,2020
15774,Susacón,1.9,2021
15774,Susacón,21.1,2022
15774,Susacón,24.3,2023
15774,Susacón,37.19,2024
15774,Susacón,2.55,2025
15776,Sutamarchàn,88.98,2022
15776,Sutamarchàn,84.03,2023
15776,Sutamarchàn,79.24,2024
15776,Sutamarchàn,74.27,2025
15778,Sutatenza,20.1,2021
15778,Sutatenza,44.6,2022
15778,Sutatenza,35.8,2023
15778,Sutatenza,28.38,2024
15778,Sutatenza,27.59,2025
15790,Tasco,2.58,2020
15790,Tasco,12.1,2021
15790,Tasco,12.87,2022
15790,Tasco,5.79,2023
