geo,Municipio,Expedientes,Año
15001,Tunja,20,2020
15001,Tunja,35,2021
15001,Tunja,2,2022
15047,Aquitania,5,2020
15047,Aquitania,4,2021
15051,Arcabuco,6,2020
15051,Arcabuco,8,2021
15051,Arcabuco,2,2022
15087,Belén,1,2020
15087,Belén,3,2021
15087,Belén,1,2022
15090,Berbeo,2,2020
15090,Berbeo,1,2021
15092,Betéitiva,1,2020
15092,Betéitiva,3,2021
15097,Boavita,1,2020
15097,Boavita,1,2022
15106,Briceño,3,2020
15106,Briceño,2,2021
15114,Busbanzá,1,2020
15180,Chiscas,1,2021
15183,Chita,4,2020
15183,Chita,2,2021
15185,Chitaraque,1,2020
15187,Chivatá,7,2020
15187,Chivatá,2,2021
15187,Chivatá,2,2022
15204,Combita,7,2020
15204,Combita,9,2021
15204,Combita,2,2022
15204,Combita,1,2023
15212,Coper,2,2020
15215,Corrales,6,2020
15215,Corrales,9,2021
15215,Corrales,3,2022
15224,Cucaita,5,2020
15224,Cucaita,5,2021
15224,Cucaita,1,2022
15226,Cuìtiva,1,2021
15238,Duitama,8,2020
15238,Duitama,26,2021
15238,Duitama,1,2023
15248,El Espino,1,2022
15272,Firavitoba,8,2020
15272,Firavitoba,25,2021
15272,Firavitoba,1,2022
15276,Floresta,1,2021
15293,Gachantivá,3,2020
15293,Gachantivá,1,2021
15296,Gameza,7,2020
15296,Gameza,3,2021
15332,Güicán,1,2020
15362,Iza,3,2020
15362,Iza,4,2021
15362,Iza,1,2022
15368,Jericó,5,2020
15368,Jericó,3,2021
15368,Jericó,1,2022
15401,La Victoria,1,2021
15403,La Uvita,4,2021
15407,Villa De Leyva,2,2020
15407,Villa De Leyva,10,2021
15407,Villa De Leyva,1,2022
15442,Maripí,8,2020
15442,Maripí,8,2021
15442,Maripí,2,2022
15455,Miraflores,4,2020
15455,Miraflores,10,2021
15464,Mongua,8,2020
15464,Mongua,13,2021
15464,Mongua,1,2022
15466,Monguì,2,2020
15466,Monguì,1,2021
15469,Moniquira,4,2020
15469,Moniquira,6,2021
15476,Motavita,7,2020
15476,Motavita,3,2021
15480,Muzo,10,2020
15480,Muzo,3,2021
15480,Muzo,1,2022
15491,Nobsa,8,2020
15491,Nobsa,28,2021
15491,Nobsa,5,2022
15500,Oicata,1,2020
15500,Oicata,1,2021
15507,Otanche,2,2020
15507,Otanche,1,2021
15507,Otanche,2,2022
15514,Páez,1,2020
15514,Páez,8,2021
15514,Páez,1,2022
15516,Paipa,34,2020
15516,Paipa,45,2021
15516,Paipa,7,2022
15522,Panqueba,1,2020
15531,Pauna,3,2020
15531,Pauna,4,2021
15531,Pauna,1,2022
15537,Paz De Río,1,2020
15537,Paz De Río,2,2021
15542,Pesca,12,2020
15542,Pesca,10,2021
15542,Pesca,1,2023
15572,Puerto Boyacá,5,2020
15572,Puerto Boyacá,7,2021
15572,Puerto Boyacá,5,2022
15580,Quípama,4,2020
15580,Quípama,5,2021
15580,Quípama,1,2022
15621,Rondón,3,2020
15621,Rondón,2,2021
15638,Sáchica,1,2020
15638,Sáchica,3,2021
15646,Samacá,9,2020
15646,Samacá,13,2021
15646,Samacá,1,2022
15646,Samacá,1,2023
15664,San José De Pare,1,2020
15673,San Mateo,3,2020
15673,San Mateo,1,2023
15681,San Pablo De Borbur,10,2020
15681,San Pablo De Borbur,5,2021
15681,San Pablo De Borbur,4,2022
15693,Santa Rosa De Viterbo,2,2020
15693,Santa Rosa De Viterbo,7,2021
15696,Santa Sofía,1,2021
15720,Sativanorte,3,2020
15720,Sativanorte,1,2021
15720,Sativanorte,2,2022
15723,Sativasur,8,2020
15723,Sativasur,3,2021
15723,Sativasur,2,2023
15740,Siachoque,2,2020
15740,Siachoque,2,2021
15753,Soatá,5,2020
15753,Soatá,3,2021
15755,Socotá,13,2020
15755,Socotá,10,2021
15755,Socotá,1,2022
15757,Socha,18,2020
15757,Socha,11,2021
15757,Socha,2,2022
15759,Sogamoso,66,2020
15759,Sogamoso,88,2021
15759,Sogamoso,16,2022
15762,Sora,1,2020
15762,Sora,1,2022
15763,Sotaquirá,2,2020
15763,Sotaquirá,1,2021
15764,Soracá,2,2020
15764,Soracá,4,2021
15774,Susacón,1,2020
15776,Sutamarchàn,1,2020
15776,Sutamarchàn,1,2021
15790,Tasco,16,2020
15790,Tasco,26,2021
15790,Tasco,4,2022
15806,Tibasosa,9,2020
15806,Tibasosa,28,2021
15806,Tibasosa,2,2022
15808,Tinjacá,1,2020
15808,Tinjacá,1,2021
15814,Toca,2,2020
15814,Toca,3,2021
15816,Togüí,1,2020
15816,Togüí,2,2021
15820,Tópaga,18,2020
15820,Tópaga,38,2021
15820,Tópaga,10,2022
15822,Tota,1,2021
15837,Tuta,4,2020
15837,Tuta,9,2021
15837,Tuta,1,2022
15839,Tutazá,1,2021
15897,Zetaquirá,5,2021
