geo,Municipio,Eventos,Año
15001,Tunja,8,2020
15001,Tunja,1,2021
15001,Tunja,5,2023
15001,Tunja,27,2024
15001,Tunja,4,2025
15022,Almeida,3,2020
15022,Almeida,1,2022
15022,Almeida,2,2023
15022,Almeida,6,2024
15047,Aquitania,10,2020
15047,Aquitania,8,2021
15047,Aquitania,4,2022
15047,Aquitania,4,2023
15047,Aquitania,19,2024
15047,Aquitania,2,2025
15051,Arcabuco,1,2020
15051,Arcabuco,3,2023
15051,Arcabuco,2,2024
15051,Arcabuco,2,2025
15087,Belén,2,2020
15087,Belén,1,2021
15087,Belén,1,2024
15087,Belén,1,2025
15090,Berbeo,1,2020
15092,Betéitiva,2,2022
15092,Betéitiva,2,2023
15092,Betéitiva,6,2024
15092,Betéitiva,1,2025
15097,Boavita,5,2020
15097,Boavita,1,2022
15097,Boavita,3,2023
15097,Boavita,3,2024
15106,Briceño,1,2022
15106,Briceño,1,2023
15109,Buenavista,2,2021
15109,Buenavista,1,2022
15109,Buenavista,2,2024
15114,Busbanzá,1,2024
15131,Caldas,1,2020
15131,Caldas,1,2024
15135,Campohermoso,2,2022
15162,Cerinza,2,2024
15172,Chinavita,3,2020
15172,Chinavita,1,2021
15172,Chinavita,3,2022
15172,Chinavita,2,2023
15172,Chinavita,5,2024
15172,Chinavita,1,2025
15176,Chiquinquirá,4,2020
15176,Chiquinquirá,3,2021
15176,Chiquinquirá,2,2022
15176,Chiquinquirá,6,2024
15176,Chiquinquirá,2,2025
15180,Chiscas,1,2020
15180,Chiscas,1,2023
15180,Chiscas,2,2024
15180,Chiscas,1,2025
15183,Chita,8,2020
15183,Chita,3,2021
15183,Chita,3,2022
15183,Chita,4,2024
15183,Chita,1,2025
15185,Chitaraque,1,2022
15187,Chivatá,1,2020
15187,Chivatá,1,2022
15187,Chivatá,5,2024
15189,Ciénega,2,2020
15189,Ciénega,1,2022
15189,Ciénega,1,2024
15189,Ciénega,1,2025
15204,Combita,1,2023
15204,Combita,10,2024
15212,Coper,1,2021
15212,Coper,2,2022
15212,Coper,1,2025
15215,Corrales,1,2023
15215,Corrales,4,2024
15215,Corrales,3,2025
15218,Covarachia,2,2020
15218,Covarachia,1,2022
15218,Covarachia,3,2024
15223,Cubará,2,2020
15223,Cubará,1,2021
15223,Cubará,1,2023
15223,Cubará,5,2024
15224,Cucaita,1,2020
15224,Cucaita,1,2021
15224,Cucaita,3,2024
15226,Cuìtiva,3,2020
15226,Cuìtiva,3,2021
15226,Cuìtiva,2,2022
15226,Cuìtiva,2,2023
15226,Cuìtiva,3,2024
15232,Chíquiza,2,2020
15232,Chíquiza,1,2022
15232,Chíquiza,2,2023
15232,Chíquiza,10,2024
15232,Chíquiza,3,2025
15236,Chivor,1,2020
15236,Chivor,1,2021
15236,Chivor,1,2023
15236,Chivor,3,2024
15238,Duitama,7,2020
15238,Duitama,2,2021
15238,Duitama,5,2022
15238,Duitama,6,2023
15238,Duitama,9,2024
15238,Duitama,6,2025
15244,El Cocuy,3,2022
15244,El Cocuy,1,2025
15248,El Espino,3,2020
15248,El Espino,1,2021
15248,El Espino,3,2022
15248,El Espino,2,2023
15248,El Espino,7,2024
15248,El Espino,1,2025
15272,Firavitoba,3,2020
15272,Firavitoba,3,2021
15272,Firavitoba,4,2022
15272,Firavitoba,1,2023
15272,Firavitoba,8,2024
15272,Firavitoba,3,2025
15276,Floresta,2,2020
15276,Floresta,6,2021
15276,Floresta,1,2022
15276,Floresta,2,2023
15276,Floresta,2,2024
15293,Gachantivá,2,2024
15296,Gameza,3,2020
15296,Gameza,2,2022
15296,Gameza,4,2023
15296,Gameza,1,2024
15299,Garagoa,1,2020
15299,Garagoa,1,2021
15299,Garagoa,2,2022
15299,Garagoa,2,2023
15299,Garagoa,6,2024
15317,Guacamayas,3,2020
15317,Guacamayas,2,2021
15322,Guateque,3,2020
15322,Guateque,6,2021
15322,Guateque,3,2022
15322,Guateque,7,2023
15322,Guateque,7,2024
15325,Guayatá,4,2020
15325,Guayatá,1,2023
15325,Guayatá,5,2024
15332,Güicán,2,2023
15332,Güicán,3,2024
15332,Güicán,2,2025
15362,Iza,3,2020
15362,Iza,4,2021
15362,Iza,1,2022
15362,Iza,3,2023
15362,Iza,3,2024
15367,Jenesano,2,2020
15367,Jenesano,2,2022
15367,Jenesano,6,2023
15367,Jenesano,6,2024
15368,Jericó,6,2020
15368,Jericó,1,2021
15368,Jericó,2,2024
15368,Jericó,4,2025
15377,Labranza Grande,2,2020
15377,Labranza Grande,2,2021
15377,Labranza Grande,3,2023
15377,Labranza Grande,6,2024
15377,Labranza Grande,2,2025
15380,La Capilla,2,2024
15401,La Victoria,1,2023
15401,La Victoria,1,2024
15403,La Uvita,1,2020
15403,La Uvita,1,2022
15403,La Uvita,2,2024
15407,Villa De Leyva,1,2021
15407,Villa De Leyva,1,2022
15407,Villa De Leyva,3,2023
15407,Villa De Leyva,6,2024
15425,Macanal,2,2020
15425,Macanal,2,2021
15425,Macanal,1,2022
15425,Macanal,1,2023
15425,Macanal,4,2024
15442,Maripí,1,2021
15442,Maripí,2,2022
15442,Maripí,1,2024
15442,Maripí,2,2025
15455,Miraflores,2,2024
15464,Mongua,5,2020
15464,Mongua,2,2021
15464,Mongua,2,2022
15464,Mongua,1,2023
15464,Mongua,1,2024
15466,Monguì,2,2020
15466,Monguì,2,2021
15466,Monguì,1,2023
15466,Monguì,2,2024
15466,Monguì,1,2025
15469,Moniquira,5,2020
15469,Moniquira,1,2022
15469,Moniquira,1,2023
15469,Moniquira,15,2024
15469,Moniquira,2,2025
15476,Motavita,2,2020
15476,Motavita,1,2022
15476,Motavita,4,2024
15480,Muzo,4,2021
15480,Muzo,2,2022
15480,Muzo,2,2023
15480,Muzo,5,2024
15480,Muzo,4,2025
15491,Nobsa,1,2020
15491,Nobsa,1,2021
15491,Nobsa,5,2022
15491,Nobsa,2,2023
15491,Nobsa,2,2024
15491,Nobsa,6,2025
15494,Nuevo Colón,1,2020
15494,Nuevo Colón,2,2022
15494,Nuevo Colón,5,2023
15494,Nuevo Colón,9,2024
15494,Nuevo Colón,3,2025
15500,Oicata,3,2020
15500,Oicata,1,2023
15500,Oicata,3,2024
15507,Otanche,1,2020
15507,Otanche,3,2021
15507,Otanche,1,2022
15507,Otanche,1,2023
15507,Otanche,3,2024
15511,Pachavita,1,2024
15514,Páez,2,2020
15514,Páez,1,2022
15514,Páez,2,2023
15514,Páez,1,2025
15516,Paipa,8,2020
15516,Paipa,2,2021
15516,Paipa,5,2022
15516,Paipa,9,2023
15516,Paipa,13,2024
15518,Pajarito,2,2021
15518,Pajarito,1,2022
15518,Pajarito,5,2023
15518,Pajarito,3,2024
15522,Panqueba,1,2020
15522,Panqueba,1,2021
15522,Panqueba,4,2024
15531,Pauna,1,2020
15531,Pauna,3,2022
15531,Pauna,1,2023
15531,Pauna,6,2024
15533,Paya,2,2023
15533,Paya,1,2024
15533,Paya,4,2025
15537,Paz De Río,3,2020
15537,Paz De Río,2,2021
15537,Paz De Río,1,2022
15537,Paz De Río,3,2023
15537,Paz De Río,7,2024
15537,Paz De Río,1,2025
15542,Pesca,12,2020
15542,Pesca,3,2021
15542,Pesca,2,2022
15542,Pesca,3,2023
15542,Pesca,22,2024
15542,Pesca,12,2025
15550,Pisba,1,2022
15550,Pisba,1,2023
15550,Pisba,2,2025
15572,Puerto Boyacá,5,2020
15572,Puerto Boyacá,3,2021
15572,Puerto Boyacá,7,2022
15572,Puerto Boyacá,9,2023
15572,Puerto Boyacá,5,2024
15572,Puerto Boyacá,2,2025
15580,Quípama,1,2020
15580,Quípama,3,2021
15580,Quípama,4,2022
15580,Quípama,1,2023
15580,Quípama,2,2024
15580,Quípama,1,2025
15599,Ramiriquí,1,2020
15599,Ramiriquí,1,2023
15599,Ramiriquí,7,2024
15599,Ramiriquí,2,2025
15600,Ráquira,2,2020
15600,Ráquira,1,2021
15600,Ráquira,5,2022
15600,Ráquira,7,2023
15600,Ráquira,5,2024
15600,Ráquira,4,2025
15621,Rondón,1,2020
15621,Rondón,1,2023
15621,Rondón,2,2024
15621,Rondón,1,2025
15632,Saboyá,2,2020
15632,Saboyá,1,2021
15632,Saboyá,1,2022
15632,Saboyá,4,2023
15632,Saboyá,10,2024
15638,Sáchica,3,2024
15638,Sáchica,3,2025
15646,Samacá,7,2020
15646,Samacá,3,2021
15646,Samacá,5,2022
15646,Samacá,2,2023
15646,Samacá,8,2024
15646,Samacá,6,2025
15660,San Eduardo,1,2020
15660,San Eduardo,1,2023
15664,San José De Pare,2,2020
