geo,Municipio,Casos,Año
15001,Tunja,605,2020
15001,Tunja,613,2021
15001,Tunja,932,2022
15001,Tunja,1066,2023
15001,Tunja,1080,2024
15001,Tunja,1235,2025
15022,Almeida,8,2020
15022,Almeida,3,2021
15022,Almeida,9,2022
15022,Almeida,2,2023
15022,Almeida,13,2024
15022,Almeida,17,2025
15047,Aquitania,82,2020
15047,Aquitania,88,2021
15047,Aquitania,123,2022
15047,Aquitania,134,2023
15047,Aquitania,119,2024
15047,Aquitania,117,2025
15051,Arcabuco,18,2020
15051,Arcabuco,19,2021
15051,Arcabuco,23,2022
15051,Arcabuco,19,2023
15051,Arcabuco,40,2024
15051,Arcabuco,41,2025
15087,Belén,41,2020
15087,Belén,33,2021
15087,Belén,32,2022
15087,Belén,56,2023
15087,Belén,60,2024
15087,Belén,54,2025
15090,Berbeo,5,2020
15090,Berbeo,8,2021
15090,Berbeo,7,2022
15090,Berbeo,4,2023
15090,Berbeo,11,2024
15090,Berbeo,15,2025
15092,Betéitiva,7,2020
15092,Betéitiva,1,2021
15092,Betéitiva,8,2022
15092,Betéitiva,6,2023
15092,Betéitiva,3,2024
15092,Betéitiva,2,2025
15097,Boavita,28,2020
15097,Boavita,25,2021
15097,Boavita,30,2022
15097,Boavita,35,2023
15097,Boavita,47,2024
15097,Boavita,50,2025
15106,Briceño,2,2020
15106,Briceño,4,2021
15106,Briceño,7,2022
15106,Briceño,3,2023
15106,Briceño,8,2024
15106,Briceño,11,2025
15109,Buenavista,27,2020
15109,Buenavista,15,2021
15109,Buenavista,11,2022
15109,Buenavista,11,2023
15109,Buenavista,12,2024
15109,Buenavista,31,2025
15114,Busbanzá,3,2020
15114,Busbanzá,6,2021
15114,Busbanzá,4,2022
15114,Busbanzá,5,2023
15114,Busbanzá,3,2024
15114,Busbanzá,11,2025
15131,Caldas,13,2020
15131,Caldas,11,2021
15131,Caldas,12,2022
15131,Caldas,17,2023
15131,Caldas,15,2024
15131,Caldas,11,2025
15135,Campohermoso,6,2020
15135,Campohermoso,9,2021
15135,Campohermoso,9,2022
15135,Campohermoso,3,2023
15135,Campohermoso,4,2024
15135,Campohermoso,9,2025
15162,Cerinza,14,2020
15162,Cerinza,15,2021
15162,Cerinza,5,2022
15162,Cerinza,18,2023
15162,Cerinza,17,2024
15162,Cerinza,20,2025
15172,Chinavita,14,2020
15172,Chinavita,9,2021
15172,Chinavita,13,2022
15172,Chinavita,19,2023
15172,Chinavita,12,2024
15172,Chinavita,11,2025
15176,Chiquinquirá,132,2020
15176,Chiquinquirá,115,2021
15176,Chiquinquirá,171,2022
15176,Chiquinquirá,233,2023
15176,Chiquinquirá,248,2024
15176,Chiquinquirá,243,2025
15180,Chiscas,2,2020
15180,Chiscas,7,2021
15180,Chiscas,4,2022
15180,Chiscas,4,2023
15180,Chiscas,7,2024
15180,Chiscas,3,2025
15183,Chita,31,2020
15183,Chita,38,2021
15183,Chita,44,2022
15183,Chita,46,2023
15183,Chita,57,2024
15183,Chita,47,2025
15185,Chitaraque,23,2020
15185,Chitaraque,23,2021
15185,Chitaraque,30,2022
15185,Chitaraque,40,2023
15185,Chitaraque,53,2024
15185,Chitaraque,38,2025
