geo,Municipio,Directo,Año
15001,Tunja,0,2020
15001,Tunja,0,2021
15001,Tunja,0,2022
15001,Tunja,0,2023
15001,Tunja,0,2024
15001,Tunja,0,2025
15022,Almeida,0,2020
15022,Almeida,0,2021
15022,Almeida,0,2022
15022,Almeida,0,2023
15022,Almeida,0,2024
15022,Almeida,0,2025
15047,Aquitania,1,2020
15047,Aquitania,1,2021
15047,Aquitania,1,2022
15047,Aquitania,1,2023
15047,Aquitania,1,2024
15047,Aquitania,1,2025
15051,Arcabuco,0,2020
15051,Arcabuco,0,2021
15051,Arcabuco,0,2022
15051,Arcabuco,0,2023
15051,Arcabuco,0,2024
15051,Arcabuco,0,2025
15087,Belén,0,2020
15087,Belén,0,2021
15087,Belén,0,2022
15087,Belén,0,2023
15087,Belén,0,2024
15087,Belén,0,2025
15090,Berbeo,1,2020
15090,Berbeo,1,2021
15090,Berbeo,1,2022
15090,Berbeo,1,2023
15090,Berbeo,1,2024
15090,Berbeo,1,2025
15092,Betéitiva,1,2020
15092,Betéitiva,1,2021
15092,Betéitiva,1,2022
15092,Betéitiva,1,2023
15092,Betéitiva,1,2024
15092,Betéitiva,1,2025
15097,Boavita,1,2020
15097,Boavita,1,2021
15097,Boavita,1,2022
15097,Boavita,1,2023
15097,Boavita,1,2024
15097,Boavita,1,2025
15104,Boyacá,0,2020
15104,Boyacá,0,2021
15104,Boyacá,0,2022
15104,Boyacá,0,2023
15104,Boyacá,0,2024
15104,Boyacá,0,2025
15106,Briceño,1,2020
15106,Briceño,1,2021
15106,Briceño,1,2022
15106,Briceño,1,2023
15106,Briceño,1,2024
15106,Briceño,1,2025
15109,Buenavista,0,2020
15109,Buenavista,0,2021
15109,Buenavista,0,2022
15109,Buenavista,0,2023
15109,Buenavista,0,2024
15109,Buenavista,0,2025
15114,Busbanzá,1,2020
15114,Busbanzá,1,2021
15114,Busbanzá,1,2022
15114,Busbanzá,1,2023
15114,Busbanzá,1,2024
15114,Busbanzá,1,2025
15131,Caldas,1,2020
15131,Caldas,1,2021
15131,Caldas,1,2022
15131,Caldas,1,2023
15131,Caldas,1,2024
15131,Caldas,1,2025
15135,Campohermoso,1,2020
15135,Campohermoso,1,2021
15135,Campohermoso,1,2022
15135,Campohermoso,1,2023
15135,Campohermoso,1,2024
15135,Campohermoso,1,2025
15162,Cerinza,0,2020
15162,Cerinza,0,2021
15162,Cerinza,0,2022
15162,Cerinza,0,2023
15162,Cerinza,0,2024
15162,Cerinza,0,2025
15172,Chinavita,0,2020
15172,Chinavita,0,2021
15172,Chinavita,0,2022
15172,Chinavita,0,2023
15172,Chinavita,0,2024
15172,Chinavita,0,2025
15176,Chiquinquirá,0,2020
