geo,Municipio,Toneladas,Año
15001,Tunja,145.31,2020
15001,Tunja,155.64,2021
15001,Tunja,164.2,2022
15001,Tunja,166.69,2023
15001,Tunja,173.97,2024
15022,Almeida,0.09,2020
15022,Almeida,0.16,2021
15022,Almeida,0.08,2022
15022,Almeida,0.06,2023
15022,Almeida,0.13,2024
15047,Aquitania,3.66,2020
15047,Aquitania,3.71,2021
15047,Aquitania,6.06,2022
15047,Aquitania,3.32,2023
15047,Aquitania,3.37,2024
15051,Arcabuco,0.76,2020
15051,Arcabuco,0.88,2021
15051,Arcabuco,0.92,2022
15051,Arcabuco,0.96,2023
15051,Arcabuco,0.93,2024
15087,Belén,1.4,2020
15087,Belén,1.46,2021
15087,Belén,10.39,2022
15087,Belén,1.61,2023
15087,Belén,1.86,2024
15090,Berbeo,0.09,2020
15090,Berbeo,0.18,2021
15090,Berbeo,0.21,2022
15090,Berbeo,0.21,2023
15090,Berbeo,0.23,2024
15092,Betéitiva,0.05,2020
15092,Betéitiva,0.05,2021
15092,Betéitiva,0.12,2022
15092,Betéitiva,0.08,2023
15092,Betéitiva,0.1,2024
15097,Boavita,0.65,2020
15097,Boavita,0.8,2021
15097,Boavita,1.18,2022
15097,Boavita,0.74,2023
15097,Boavita,0.7,2024
15104,Boyacá,0.89,2020
15104,Boyacá,0.2,2021
15104,Boyacá,0.29,2022
15104,Boyacá,0.26,2023
15104,Boyacá,0.36,2024
15106,Briceño,0.13,2020
15106,Briceño,0.31,2021
15106,Briceño,0.26,2022
15106,Briceño,0.23,2023
15106,Briceño,0.29,2024
15109,Buenavista,0.39,2020
15109,Buenavista,0.4,2021
15109,Buenavista,0.34,2022
15109,Buenavista,0.4,2023
15109,Buenavista,0.38,2024
15114,Busbanzá,0.02,2020
15114,Busbanzá,0.02,2021
15114,Busbanzá,0.14,2022
15114,Busbanzá,0.1,2023
15114,Busbanzá,0.11,2024
15131,Caldas,0.16,2020
15131,Caldas,0.16,2021
15131,Caldas,0.18,2022
15131,Caldas,0.46,2023
15131,Caldas,0.26,2024
15135,Campohermoso,0.23,2020
15135,Campohermoso,0.3,2021
15135,Campohermoso,0.3,2022
15135,Campohermoso,0.28,2023
15135,Campohermoso,0.29,2024
15162,Cerinza,0.34,2020
15162,Cerinza,0.37,2021
15162,Cerinza,0.84,2022
15162,Cerinza,0.45,2023
15162,Cerinza,0.46,2024
15172,Chinavita,0.36,2020
15172,Chinavita,0.39,2021
15172,Chinavita,0.43,2022
15172,Chinavita,0.36,2023
15172,Chinavita,0.37,2024
15176,Chiquinquirá,31.96,2020
15176,Chiquinquirá,35.46,2021
15176,Chiquinquirá,38.77,2022
15176,Chiquinquirá,70.02,2023
15176,Chiquinquirá,1.05,2024
15180,Chiscas,0.2,2020
15180,Chiscas,0.19,2021
15180,Chiscas,0.2,2022
15180,Chiscas,0.17,2023
15180,Chiscas,0.17,2024
15183,Chita,0.62,2020
15183,Chita,0.63,2021
15183,Chita,1.16,2022
15183,Chita,0.83,2023
15183,Chita,0.75,2024
15185,Chitaraque,0.45,2020
15185,Chitaraque,0.42,2021
15185,Chitaraque,0.41,2022
15185,Chitaraque,0.43,2023
15185,Chitaraque,0.47,2024
15187,Chivatá,2.29,2020
15187,Chivatá,3.58,2021
