Sitio,Toneladas/día
Relleno Sanitario Parque Ambiental Pirgua,478.83
Relleno Sanitario La Dorada Caldas Y Corregimiento De Guarinocito,26.74
Relleno Sanitario Parque Ecológico Reciclante,1.36
Relleno Sanitario Prado Paraje De La Ceiba,1.1
Relleno Sanitario Carapacho,1.07
Relleno Sanitario La Esperanza,0.89
Relleno Sanitario El Cascajar,0.83
Relleno Sanitario De San Miguel De Sema,0.39
Relleno Sanitario Planta De Manejo Integral De Residuos Sólidos De Aguazul,0.36
Relleno Sanitario Nuevo Mondoñedo,0.2
