geo,Municipio,ICEE,Año
15001,Tunja,100,2020
15001,Tunja,100,2021
15001,Tunja,100,2022
15001,Tunja,100,2023
15001,Tunja,100,2024
15022,Almeida,73.73,2020
15022,Almeida,75.4,2021
15022,Almeida,75.54,2022
15022,Almeida,76.82,2023
15022,Almeida,79.65,2024
15047,Aquitania,88.6,2020
15047,Aquitania,98.71,2021
15047,Aquitania,89.39,2022
15047,Aquitania,90.3,2023
15047,Aquitania,92.13,2024
15051,Arcabuco,95.5,2020
15051,Arcabuco,98.86,2021
15051,Arcabuco,100,2022
15051,Arcabuco,100,2023
15051,Arcabuco,100,2024
15087,Belén,89.64,2020
15087,Belén,91.84,2021
15087,Belén,91.87,2022
15087,Belén,93.72,2023
15087,Belén,99.05,2024
15090,Berbeo,93.59,2020
15090,Berbeo,94.06,2021
15090,Berbeo,97.07,2022
15090,Berbeo,95.09,2023
15090,Berbeo,94.66,2024
15092,Betéitiva,64.28,2020
15092,Betéitiva,64.59,2021
15092,Betéitiva,65.22,2022
15092,Betéitiva,61.54,2023
15092,Betéitiva,61.53,2024
15097,Boavita,86.28,2020
15097,Boavita,90.61,2021
15097,Boavita,91.44,2022
15097,Boavita,89.4,2023
15097,Boavita,93.39,2024
15104,Boyacá,100,2020
15104,Boyacá,100,2021
15104,Boyacá,100,2022
15104,Boyacá,75.51,2023
15104,Boyacá,77.07,2024
15106,Briceño,93.54,2020
15106,Briceño,100,2021
15106,Briceño,88.5,2022
15106,Briceño,89.66,2023
15106,Briceño,91.09,2024
15109,Buenavista,84.86,2020
15109,Buenavista,85.74,2021
15109,Buenavista,86.43,2022
15109,Buenavista,89.1,2023
15109,Buenavista,91.67,2024
15114,Busbanzá,58.53,2020
15114,Busbanzá,58.55,2021
15114,Busbanzá,59.27,2022
15114,Busbanzá,57.29,2023
15114,Busbanzá,58.59,2024
15131,Caldas,80,2020
15131,Caldas,85.35,2021
15131,Caldas,96.28,2022
15131,Caldas,80.97,2023
15131,Caldas,82.39,2024
15135,Campohermoso,76.89,2020
15135,Campohermoso,77,2021
15135,Campohermoso,74.82,2022
15135,Campohermoso,79.21,2023
15135,Campohermoso,78.6,2024
15162,Cerinza,83.12,2020
15162,Cerinza,84.13,2021
15162,Cerinza,84.61,2022
15162,Cerinza,86.03,2023
15162,Cerinza,86.79,2024
