geo,Municipio,Viviendas,Año
15001,Tunja,0,2020
15001,Tunja,0,2021
15001,Tunja,0,2022
15001,Tunja,0,2023
15001,Tunja,0,2024
15022,Almeida,310,2020
15022,Almeida,293,2021
15022,Almeida,294,2022
15022,Almeida,281,2023
15022,Almeida,248,2024
15047,Aquitania,849,2020
15047,Aquitania,97,2021
15047,Aquitania,806,2022
15047,Aquitania,744,2023
15047,Aquitania,608,2024
15051,Arcabuco,113,2020
15051,Arcabuco,29,2021
15051,Arcabuco,0,2022
15051,Arcabuco,0,2023
15051,Arcabuco,0,2024
15087,Belén,428,2020
15087,Belén,341,2021
15087,Belén,344,2022
15087,Belén,269,2023
15087,Belén,41,2024
15090,Berbeo,49,2020
15090,Berbeo,46,2021
15090,Berbeo,23,2022
15090,Berbeo,39,2023
15090,Berbeo,43,2024
15092,Betéitiva,518,2020
15092,Betéitiva,518,2021
15092,Betéitiva,513,2022
15092,Betéitiva,573,2023
15092,Betéitiva,575,2024
15097,Boavita,403,2020
15097,Boavita,278,2021
15097,Boavita,256,2022
15097,Boavita,320,2023
15097,Boavita,201,2024
15104,Boyacá,0,2020
15104,Boyacá,0,2021
15104,Boyacá,0,2022
15104,Boyacá,775,2023
15104,Boyacá,730,2024
15106,Briceño,72,2020
15106,Briceño,0,2021
15106,Briceño,131,2022
15106,Briceño,119,2023
15106,Briceño,103,2024
15109,Buenavista,378,2020
15109,Buenavista,360,2021
15109,Buenavista,346,2022
15109,Buenavista,281,2023
15109,Buenavista,216,2024
15114,Busbanzá,231,2020
15114,Busbanzá,235,2021
15114,Busbanzá,235,2022
15114,Busbanzá,252,2023
15114,Busbanzá,248,2024
15131,Caldas,330,2020
15131,Caldas,245,2021
15131,Caldas,63,2022
15131,Caldas,326,2023
15131,Caldas,303,2024
15135,Campohermoso,380,2020
15135,Campohermoso,383,2021
15135,Campohermoso,424,2022
15135,Campohermoso,354,2023
15135,Campohermoso,367,2024
15162,Cerinza,414,2020
15162,Cerinza,393,2021
15162,Cerinza,385,2022
15162,Cerinza,353,2023
15162,Cerinza,336,2024
15172,Chinavita,397,2020
15172,Chinavita,402,2021
15172,Chinavita,403,2022
15172,Chinavita,407,2023
15172,Chinavita,404,2024
15176,Chiquinquirá,0,2020
15176,Chiquinquirá,0,2021
15176,Chiquinquirá,0,2022
15176,Chiquinquirá,0,2023
15176,Chiquinquirá,0,2024
15180,Chiscas,431,2020
15180,Chiscas,441,2021
15180,Chiscas,449,2022
15180,Chiscas,466,2023
15180,Chiscas,471,2024
15183,Chita,2225,2020
15183,Chita,2232,2021
15183,Chita,2237,2022
15183,Chita,2176,2023
15183,Chita,2115,2024
15185,Chitaraque,259,2020
