Área OCDE,Año,Boyacá,Nacional
Ciencias agrícolas,2013,10,126
Ciencias médicas y de la salud,2013,5,166
Ciencias naturales y exactas,2013,6,272
Ciencias sociales y humanidades,2013,21,231
Ingeniería y tecnología,2013,2,212
Sin clasificar,2013,0,0
Ciencias agrícolas,2014,0,72
Ciencias médicas y de la salud,2014,1,199
Ciencias naturales y exactas,2014,6,351
Ciencias sociales y humanidades,2014,7,173
Ingeniería y tecnología,2014,2,216
Sin clasificar,2014,0,0
Ciencias agrícolas,2015,0,44
Ciencias médicas y de la salud,2015,0,119
Ciencias naturales y exactas,2015,0,241
Ciencias sociales y humanidades,2015,0,4
Ingeniería y tecnología,2015,0,150
Sin clasificar,2015,0,0
Ciencias agrícolas,2016,0,33
Ciencias médicas y de la salud,2016,0,57
Ciencias naturales y exactas,2016,0,93
Ciencias sociales y humanidades,2016,1,110
Ingeniería y tecnología,2016,0,427
Sin clasificar,2016,0,0
Ciencias agrícolas,2017,2,54
Ciencias médicas y de la salud,2017,0,26
Ciencias naturales y exactas,2017,4,99
Ciencias sociales y humanidades,2017,2,94
Ingeniería y tecnología,2017,0,79
Sin clasificar,2017,6,771
Ciencias agrícolas,2018,0,9
Ciencias médicas y de la salud,2018,1,138
Ciencias naturales y exactas,2018,1,137
Ciencias sociales y humanidades,2018,1,148
Ingeniería y tecnología,2018,0,60
Sin clasificar,2018,0,350
Ciencias agrícolas,2019,0,20
Ciencias médicas y de la salud,2019,0,250
Ciencias naturales y exactas,2019,2,100
Ciencias sociales y humanidades,2019,0,88
Ingeniería y tecnología,2019,3,173
Sin clasificar,2019,0,4
