Área OCDE,Año,Doctorado,Maestría
Ciencias agrícolas,2010,0,1
Ciencias médicas y de la salud,2010,0,0
Ciencias naturales y exactas,2010,0,1
Ciencias sociales y humanidades,2010,2,6
Ingeniería y tecnología,2010,0,4
Sin Clasificar,2010,0,0
Ciencias agrícolas,2011,0,1
Ciencias médicas y de la salud,2011,0,0
Ciencias naturales y exactas,2011,0,1
Ciencias sociales y humanidades,2011,3,12
Ingeniería y tecnología,2011,1,4
Sin Clasificar,2011,0,0
Ciencias agrícolas,2012,0,2
Ciencias médicas y de la salud,2012,0,0
Ciencias naturales y exactas,2012,0,1
Ciencias sociales y humanidades,2012,3,17
Ingeniería y tecnología,2012,1,4
Sin Clasificar,2012,0,0
Ciencias agrícolas,2013,0,3
Ciencias médicas y de la salud,2013,0,0
Ciencias naturales y exactas,2013,0,3
Ciencias sociales y humanidades,2013,3,19
Ingeniería y tecnología,2013,1,6
Sin Clasificar,2013,0,0
Ciencias agrícolas,2014,0,3
Ciencias médicas y de la salud,2014,0,0
Ciencias naturales y exactas,2014,0,3
Ciencias sociales y humanidades,2014,3,22
Ingeniería y tecnología,2014,1,7
Sin Clasificar,2014,0,0
Ciencias agrícolas,2015,0,3
Ciencias médicas y de la salud,2015,0,0
Ciencias naturales y exactas,2015,0,3
Ciencias sociales y humanidades,2015,3,25
Ingeniería y tecnología,2015,1,8
Sin Clasificar,2015,0,0
Ciencias agrícolas,2016,0,4
Ciencias médicas y de la salud,2016,0,3
Ciencias naturales y exactas,2016,3,5
Ciencias sociales y humanidades,2016,5,41
Ingeniería y tecnología,2016,1,15
Sin Clasificar,2016,0,0
Ciencias agrícolas,2017,0,4
Ciencias médicas y de la salud,2017,0,0
Ciencias naturales y exactas,2017,3,5
Ciencias sociales y humanidades,2017,5,40
Ingeniería y tecnología,2017,1,16
Sin Clasificar,2017,0,7
Ciencias agrícolas,2018,0,8
Ciencias médicas y de la salud,2018,0,2
Ciencias naturales y exactas,2018,3,10
Ciencias sociales y humanidades,2018,3,86
Ingeniería y tecnología,2018,4,28
Sin Clasificar,2018,4,0
Ciencias agrícolas,2019,0,6
Ciencias médicas y de la salud,2019,0,1
Ciencias naturales y exactas,2019,3,6
Ciencias sociales y humanidades,2019,2,39
Ingeniería y tecnología,2019,3,14
Sin Clasificar,2019,1,2
