Actividad,Año,Cantidad
Fabricación de productos farmacéuticos¬ sustancias químicas medicinales y productos botánicos de uso farmacéutico.,2015,2
Fabricación de productos informáticos¬ electrónicos y ópticos,2015,0
Fabricación de instrumentos¬ aparatos y materiales médicos y odontológicos (incluido mobiliario),2015,2
Fabricación de aeronaves o naves espaciales,2015,0
Fabricación de sustancias y productos químicos,2015,4
Fabricación de maquinaria y equipo n.c.p.,2015,2
Fabricación de vehículos automotores¬ remolques y semiremolques,2015,0
Coquización¬ fabricación de productos de la refinación del petróleo y actividad de mezcla de combustibles,2015,1
Fabricación de productos de caucho y de plástico,2015,0
Fabricación de otros productos minerales no metálicos,2015,22
Fabricación de productos metalúrgicos básicos,2015,4
Fabricación de productos elaborados de metal¬ excepto maquinaria y equipo,2015,55
Mantenimiento y reparación especializado de equipo de transporte¬ excepto los vehículos automotores¬ motocicletas y bicicletas,2015,2
Fabricación de productos farmacéuticos¬ sustancias químicas medicinales y productos botánicos de uso farmacéutico.,2016,0
Fabricación de productos informáticos¬ electrónicos y ópticos,2016,1
Fabricación de instrumentos¬ aparatos y materiales médicos y odontológicos (incluido mobiliario),2016,3
Fabricación de aeronaves o naves espaciales,2016,0
Fabricación de sustancias y productos químicos,2016,38
Fabricación de maquinaria y equipo n.c.p.,2016,4
Fabricación de vehículos automotores¬ remolques y semiremolques,2016,2
Coquización¬ fabricación de productos de la refinación del petróleo y actividad de mezcla de combustibles,2016,11
Fabricación de productos de caucho y de plástico,2016,3
Fabricación de otros productos minerales no metálicos,2016,27
Fabricación de productos metalúrgicos básicos,2016,2
Fabricación de productos elaborados de metal¬ excepto maquinaria y equipo,2016,70
Mantenimiento y reparación especializado de equipo de transporte¬ excepto los vehículos automotores¬ motocicletas y bicicletas,2016,0
Fabricación de productos farmacéuticos¬ sustancias químicas medicinales y productos botánicos de uso farmacéutico.,2017,2
Fabricación de productos informáticos¬ electrónicos y ópticos,2017,5
Fabricación de instrumentos¬ aparatos y materiales médicos y odontológicos (incluido mobiliario),2017,4
Fabricación de aeronaves o naves espaciales,2017,0
Fabricación de sustancias y productos químicos,2017,15
Fabricación de maquinaria y equipo n.c.p.,2017,1
Fabricación de vehículos automotores¬ remolques y semiremolques,2017,3
Coquización¬ fabricación de productos de la refinación del petróleo y actividad de mezcla de combustibles,2017,6
