Entidad,Año,Fuentes externas,Fuentes internas
Bases de datos científicas y tecnológicas,2008,5,0
Cámaras de Comercio,2008,2,0
Casa matriz,2008,0,3
Centros de Desarrollo Tecnológico (CDT),2008,0,0
Centros de formación y/o Tecnoparques,2008,2,0
Centros de Investigación Autónomos,2008,0,0
Centros Regionales de Productividad,2008,2,0
Clientes,2008,18,0
Competidores u otras empresas del sector (excepto el departamento de I+D),2008,11,0
Consultores¬ expertos o investigadores,2008,9,0
Departamento de Producción,2008,0,24
Departamento de Ventas y Mercadeo,2008,0,17
Departamento I+D de otra empresa del sector,2008,3,0
Departamento interno de I+D,2008,0,8
Directivos de la Empresa,2008,0,34
Empresas de otro sector,2008,5,0
Ferias y exposiciones,2008,4,0
Grupos Interdisciplinarios,2008,0,7
Incubadoras de Empresas de Base Tecnológica (IEBT),2008,1,0
Instituciones Públicas (Ministerios¬ entidades descentralizadas¬ secretarías),2008,7,0
Internet,2008,15,0
Libros¬ revistas o catálogos,2008,10,0
Normas y reglamentos técnicos,2008,12,0
Otra empresa relacionada (si hace parte de un conglomerado),2008,,0
Parques Tecnológicos,2008,0,0
Proveedores,2008,12,0
Seminarios y conferencias,2008,10,0
Sistema de información de derechos de autor,2008,0,0
Sistemas de información de propiedad industrial (banco de patentes),2008,0,0
Universidades,2008,2,0
Bases de datos científicas y tecnológicas,2010,6,0
Cámaras de Comercio,2010,7,0
Casa matriz,2010,0,1
Centros de Desarrollo Tecnológico (CDT),2010,3,0
Centros de formación y/o Tecnoparques,2010,10,0
Centros de Investigación Autónomos,2010,1,0
Centros Regionales de Productividad,2010,2,0
Clientes,2010,27,0
Competidores u otras empresas del sector (excepto el departamento de I+D),2010,14,0
Consultores¬ expertos o investigadores,2010,7,0
Departamento de Producción,2010,0,32
Departamento de Ventas y Mercadeo,2010,0,21
Departamento I+D de otra empresa del sector,2010,3,0
Departamento interno de I+D,2010,0,13
Directivos de la Empresa,2010,0,43
Empresas de otro sector,2010,7,0
Ferias y exposiciones,2010,11,0
Grupos Interdisciplinarios,2010,0,14
Incubadoras de Empresas de Base Tecnológica (IEBT),2010,0,0
Instituciones Públicas (Ministerios¬ entidades descentralizadas¬ secretarías),2010,12,0
Internet,2010,31,0
Libros¬ revistas o catálogos,2010,19,0
Normas y reglamentos técnicos,2010,23,0
Otra empresa relacionada (si hace parte de un conglomerado),2010,0,5
Parques Tecnológicos,2010,1,0
Proveedores,2010,20,0
Seminarios y conferencias,2010,18,0
Sistema de información de derechos de autor,2010,2,0
Sistemas de información de propiedad industrial (banco de patentes),2010,2,0
Universidades,2010,4,0
Bases de datos científicas y tecnológicas,2012,3,0
Cámaras de Comercio,2012,4,0
Casa matriz,2012,0,0
Centros de Desarrollo Tecnológico (CDT),2012,1,0
Centros de formación y/o Tecnoparques,2012,2,0
Centros de Investigación Autónomos,2012,3,0
Centros Regionales de Productividad,2012,1,0
Clientes,2012,25,0
Competidores u otras empresas del sector (excepto el departamento de I+D),2012,13,0
Consultores¬ expertos o investigadores,2012,12,0
Departamento de Producción,2012,0,30
Departamento de Ventas y Mercadeo,2012,0,21
Departamento I+D de otra empresa del sector,2012,1,0
Departamento interno de I+D,2012,0,5
Directivos de la Empresa,2012,0,66
Empresas de otro sector,2012,6,0
Ferias y exposiciones,2012,10,0
Grupos Interdisciplinarios,2012,0,5
Incubadoras de Empresas de Base Tecnológica (IEBT),2012,0,0
Instituciones Públicas (Ministerios¬ entidades descentralizadas¬ secretarías),2012,8,0
Internet,2012,37,0
Libros¬ revistas o catálogos,2012,19,0
Normas y reglamentos técnicos,2012,20,0
Otra empresa relacionada (si hace parte de un conglomerado),2012,0,4
Parques Tecnológicos,2012,2,0
Proveedores,2012,20,0
Seminarios y conferencias,2012,14,0
Sistema de información de derechos de autor,2012,1,0
Sistemas de información de propiedad industrial (banco de patentes),2012,2,0
Universidades,2012,6,0
Bases de datos científicas y tecnológicas,2014,9,0
Cámaras de Comercio,2014,13,0
Casa matriz,2014,0,1
Centros de Desarrollo Tecnológico (CDT),2014,3,0
Centros de formación y/o Tecnoparques,2014,3,0
Centros de Investigación Autónomos,2014,1,0
Centros Regionales de Productividad,2014,1,0
Clientes,2014,38,0
Competidores u otras empresas del sector (excepto el departamento de I+D),2014,6,0
Consultores¬ expertos o investigadores,2014,19,0
Departamento de Producción,2014,0,42
Departamento de Ventas y Mercadeo,2014,0,28
Departamento I+D de otra empresa del sector,2014,7,0
Departamento interno de I+D,2014,0,10
Directivos de la Empresa,2014,0,76
Empresas de otro sector,2014,15,0
Ferias y exposiciones,2014,11,0
Grupos Interdisciplinarios,2014,0,10
Incubadoras de Empresas de Base Tecnológica (IEBT),2014,1,0
Instituciones Públicas (Ministerios¬ entidades descentralizadas¬ secretarías),2014,25,0
Internet,2014,51,0
Libros¬ revistas o catálogos,2014,22,0
Normas y reglamentos técnicos,2014,42,0
Otra empresa relacionada (si hace parte de un conglomerado),2014,0,6
Parques Tecnológicos,2014,1,0
Proveedores,2014,44,0
Seminarios y conferencias,2014,23,0
Sistema de información de derechos de autor,2014,4,0
Sistemas de información de propiedad industrial (banco de patentes),2014,2,0
Universidades,2014,12,0
