Año,Empesas,Instituciones de educación superior,Entidades Gubernamentales,Centros de investigación y desarrollo tecnológico,Hospitales y Clínicas,IPSFL al servicio de las empresas,ONG¬ asociaciones y agremiaciones profesionales
2008,693,5764,34,0,0,464,0
2009,499,6124,572,0,0,169,0
2010,567,6273,451,0,0,166,0
2011,663,1541,90,0,0,163,0
2012,1380,7011,108,0,0,456,0
2013,4000,6273,1270,0,0,24,0
2014,3395,12468,4076,1375,0,54,0
2015,3965,12229,4981,1112,0,59,0
2016,2474,11083,2552,1116,0,11,0
2017,4081,15254,2578,1659,0,54,3
2018,1504,19593,11521,53,0,113,2
2019,962,35904,4346,434,0,341,0
2020,866,23995,4469,468,0,370,0
