Años,Empesas,Instituciones de educación superior,Entidades Gubernamentales,Centros de investigación y desarrollo tecnológico,Hospitales y Clínicas,IPSFL al servicio de las empresas,ONG¬ asociaciones y agremiaciones profesionales
2008,1187,7061,2333,0,0,694,0
2009,805,7416,4156,0,0,431,0
2010,934,7583,2502,0,0,421,0
2011,983,2184,3821,0,0,463,0
2012,5843,8236,2403,0,0,2034,0
2013,13036,8249,7089,0,59,901,0
2014,10960,21159,7561,1376,59,1849,0
2015,11097,19653,19304,1349,59,2163,0
2016,11431,22214,19803,1428,46,1120,387
2017,19833,29559,12543,1753,44,567,5
2018,5588,39056,19267,306,42,1492,4
2019,5246,57022,23518,570,40,1089,0
2020,5162,54619,13360,630,109,923,0
