geo,Municipio,Año,Trimestre,Índice
15759,SOGAMOSO,2022,1,23.314342
15293,GACHANTIVA,2022,2,1.755594
15842,UMBITA,2022,1,2.208682
15377,LABRANZAGRANDE,2021,1,0.553250
15531,PAUNA,2020,4,0.708254
15293,GACHANTIVA,2021,2,1.155058
15638,SACHICA,2021,4,3.070482
15814,TOCA,2022,3,5.981146
15759,SOGAMOSO,2021,3,22.551933
15511,PACHAVITA,2022,4,0.311648
15778,SUTATENZA,2022,3,0.294584
15897,ZETAQUIRA,2022,3,4.283940
15244,EL COCUY,2021,1,2.117264
15511,PACHAVITA,2022,3,0.350604
15798,TENZA,2022,3,0.249190
15162,CERINZA,2022,4,5.376623
15180,CHISCAS,2021,2,1.649028
15455,MIRAFLORES,2020,2,4.184054
15362,IZA,2020,4,4.170804
15522,PANQUEBA,2022,1,0.340522
15189,CIENEGA,2022,4,4.538890
15518,PAJARITO,2022,2,3.329322
15761,SOMONDOCO,2022,3,0.232481
15514,PAEZ,2022,3,0.822320
15822,TOTA,2021,3,0.926097
15753,SOATA,2021,4,9.436009
15469,MONIQUIRA,2021,3,7.775891
15638,SACHICA,2021,2,2.442428
15720,SATIVANORTE,2022,2,0.614035
15131,CALDAS,2020,3,0.531582
15861,VENTAQUEMADA,2022,1,0.774217
15092,BETEITIVA,2021,4,1.102757
15757,SOCHA,2021,3,6.580864
15638,SACHICA,2020,2,0.934415
15804,TIBANA,2020,2,1.514663
15455,MIRAFLORES,2022,2,11.289109
15693,SANTA ROSA DE VITERBO,2021,4,1.632145
15837,TUTA,2021,4,6.758477
15189,CIENEGA,2021,2,4.979079
15238,DUITAMA,2022,2,21.518754
15673,SAN MATEO,2021,2,0.722752
15822,TOTA,2022,1,0.919963
15476,MOTAVITA,2020,4,0.589664
15212,COPER,2020,2,0.405405
15131,CALDAS,2022,3,0.306843
15762,SORA,2022,4,1.793581
15518,PAJARITO,2020,3,2.815177
15218,COVARACHIA,2021,2,1.576734
15109,BUENAVISTA,2020,3,0.599201
15681,SAN PABLO DE BORBUR,2022,2,0.604839
15755,SOCOTA,2021,4,1.206434
15837,TUTA,2022,4,5.376344
15293,GACHANTIVA,2022,1,1.721170
15403,LA UVITA,2021,2,0.449006
15810,TIPACOQUE,2021,3,0.381008
15092,BETEITIVA,2020,2,0.904977
15047,AQUITANIA,2022,1,1.214299
15185,CHITARAQUE,2020,3,0.267023
15180,CHISCAS,2022,3,1.507049
15162,CERINZA,2022,3,4.493506
15296,GAMEZA,2020,4,0.866586
15762,SORA,2022,1,1.164254
15469,MONIQUIRA,2022,3,6.778239
15776,SUTAMARCHAN,2020,3,1.935279
15723,SATIVASUR,2021,1,1.966041
15776,SUTAMARCHAN,2020,2,0.428299
15380,LA CAPILLA,2020,4,0.546448
15664,SAN JOSE DE PARE,2020,3,0.507218
15621,RONDON,2022,1,0.240770
15516,PAIPA,2021,1,17.531990
15223,CUBARA,2022,2,1.806848
15051,ARCABUCO,2021,3,5.635179
15839,TUTAZA,2022,4,1.595495
15114,BUSBANZA,2021,3,8.762887
15764,SORACA,2020,4,1.024723
15491,NOBSA,2021,1,13.090065
15380,LA CAPILLA,2021,3,0.507798
15022,ALMEIDA,2020,4,0.457317
15131,CALDAS,2021,3,0.868756
15494,NUEVO COLON,2021,3,1.959676
15051,ARCABUCO,2020,3,6.057597
15835,TURMEQUE,2021,4,2.213789
15212,COPER,2022,3,0.240513
